cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FILLER_0_0_1014,0,0,0,56808,2160,57996,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1036,0,0,0,57996,2160,59184,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1058,0,0,0,59184,2160,60372,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1080,0,0,0,60372,2160,61560,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1102,0,0,0,61560,2160,62748,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_112,0,0,0,8100,2160,9288,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1124,0,0,0,62748,2160,63936,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1146,0,0,0,63936,2160,65124,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1168,0,0,0,65124,2160,66312,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1190,0,0,0,66312,2160,67500,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1212,0,0,0,67500,2160,68688,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1234,0,0,0,68688,2160,69876,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1256,0,0,0,69876,2160,71064,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1278,0,0,0,71064,2160,72252,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1300,0,0,0,72252,2160,73440,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1322,0,0,0,73440,2160,74628,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_134,0,0,0,9288,2160,10476,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1344,0,0,0,74628,2160,75816,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1366,0,0,0,75816,2160,76572,2430,0,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1380,0,0,0,76572,2160,76896,2430,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1388,0,0,0,77004,2160,78192,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1410,0,0,0,78192,2160,79380,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1432,0,0,0,79380,2160,80568,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1454,0,0,0,80568,2160,81756,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1476,0,0,0,81756,2160,82944,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1498,0,0,0,82944,2160,84132,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1520,0,0,0,84132,2160,85320,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1542,0,0,0,85320,2160,86508,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_156,0,0,0,10476,2160,11664,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1564,0,0,0,86508,2160,87696,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1586,0,0,0,87696,2160,88884,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1608,0,0,0,88884,2160,90072,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1630,0,0,0,90072,2160,91260,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1652,0,0,0,91260,2160,92448,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1674,0,0,0,92448,2160,93636,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1696,0,0,0,93636,2160,94824,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1718,0,0,0,94824,2160,96012,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1740,0,0,0,96012,2160,97200,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1762,0,0,0,97200,2160,98388,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_178,0,0,0,11664,2160,12852,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1784,0,0,0,98388,2160,99576,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1806,0,0,0,99576,2160,100764,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1828,0,0,0,100764,2160,101520,2430,0,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1842,0,0,0,101520,2160,101844,2430,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1850,0,0,0,101952,2160,103140,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1872,0,0,0,103140,2160,104328,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1894,0,0,0,104328,2160,105516,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1916,0,0,0,105516,2160,106704,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1938,0,0,0,106704,2160,107892,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1960,0,0,0,107892,2160,109080,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1982,0,0,0,109080,2160,110268,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2,0,0,0,2160,2160,3348,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_200,0,0,0,12852,2160,14040,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2004,0,0,0,110268,2160,111456,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2026,0,0,0,111456,2160,112644,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2048,0,0,0,112644,2160,113832,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2070,0,0,0,113832,2160,115020,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2092,0,0,0,115020,2160,116208,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2114,0,0,0,116208,2160,117396,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2136,0,0,0,117396,2160,118584,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2158,0,0,0,118584,2160,119772,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2180,0,0,0,119772,2160,120960,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2202,0,0,0,120960,2160,122148,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_222,0,0,0,14040,2160,15228,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2224,0,0,0,122148,2160,123336,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2246,0,0,0,123336,2160,124524,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2268,0,0,0,124524,2160,125712,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2290,0,0,0,125712,2160,126468,2430,0,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2304,0,0,0,126468,2160,126792,2430,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2312,0,0,0,126900,2160,128088,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2334,0,0,0,128088,2160,129276,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2356,0,0,0,129276,2160,130464,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2378,0,0,0,130464,2160,131652,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_24,0,0,0,3348,2160,4536,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2400,0,0,0,131652,2160,132840,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2422,0,0,0,132840,2160,134028,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_244,0,0,0,15228,2160,16416,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2444,0,0,0,134028,2160,135216,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2466,0,0,0,135216,2160,136404,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2488,0,0,0,136404,2160,137592,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2510,0,0,0,137592,2160,138780,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2532,0,0,0,138780,2160,138834,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_266,0,0,0,16416,2160,17604,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_288,0,0,0,17604,2160,18792,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_310,0,0,0,18792,2160,19980,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_332,0,0,0,19980,2160,21168,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_354,0,0,0,21168,2160,22356,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_376,0,0,0,22356,2160,23544,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_398,0,0,0,23544,2160,24732,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_420,0,0,0,24732,2160,25920,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_442,0,0,0,25920,2160,26676,2430,0,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0
FILLER_0_0_456,0,0,0,26676,2160,27000,2430,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_0_46,0,0,0,4536,2160,5724,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
