src,tar,src_type,tar_type,is_net,arc_delay
_0_/A,_0_/Y,pin,pin,0,1.2582561728646802e-11
_10000_/A,_10000_/Y,pin,pin,0,2.1175419057106737e-11
_10000_/B,_10000_/Y,pin,pin,0,1.744818699245254e-11
_10001_/A1,_10001_/Y,pin,pin,0,3.139263501927836e-11
_10001_/A2,_10001_/Y,pin,pin,0,2.0341070841589648e-11
_10001_/B1,_10001_/Y,pin,pin,0,3.298973247356507e-11
_10001_/B2,_10001_/Y,pin,pin,0,1.9974794387978e-11
_10001_/C,_10001_/Y,pin,pin,0,1.986167480483303e-11
_10002_/A1,_10002_/Y,pin,pin,0,1.9563333591987586e-11
_10002_/A2,_10002_/Y,pin,pin,0,1.6156532708921922e-11
_10002_/B1,_10002_/Y,pin,pin,0,2.3838176224644236e-11
_10002_/B2,_10002_/Y,pin,pin,0,1.5385231283415735e-11
_10002_/C,_10002_/Y,pin,pin,0,1.4762472494433965e-11
_10003_/A1,_10003_/Y,pin,pin,0,2.432298112919895e-11
_10003_/A2,_10003_/Y,pin,pin,0,1.647650071934237e-11
_10003_/B1,_10003_/Y,pin,pin,0,2.7813798139653123e-11
_10003_/B2,_10003_/Y,pin,pin,0,1.6033622346478538e-11
_10003_/C,_10003_/Y,pin,pin,0,1.530710801167512e-11
_10004_/A1,_10004_/Y,pin,pin,0,3.5208794213481553e-11
_10004_/A2,_10004_/Y,pin,pin,0,2.4094750500358586e-11
_10004_/B1,_10004_/Y,pin,pin,0,3.380864685431639e-11
_10004_/B2,_10004_/Y,pin,pin,0,2.35489041461312e-11
_10004_/C,_10004_/Y,pin,pin,0,2.3125163242654345e-11
_10005_/A1,_10005_/Y,pin,pin,0,3.832359082855952e-11
_10005_/A2,_10005_/Y,pin,pin,0,2.317348396507768e-11
_10005_/B1,_10005_/Y,pin,pin,0,2.821394333440974e-11
_10005_/B2,_10005_/Y,pin,pin,0,2.2643416655587778e-11
_10005_/C,_10005_/Y,pin,pin,0,2.23403986282511e-11
_10006_/A1,_10006_/Y,pin,pin,0,3.170095783100457e-11
_10006_/A2,_10006_/Y,pin,pin,0,2.0671029124508244e-11
_10006_/B1,_10006_/Y,pin,pin,0,3.340407117580213e-11
_10006_/B2,_10006_/Y,pin,pin,0,2.0274186843249886e-11
_10006_/C,_10006_/Y,pin,pin,0,2.023563781816673e-11
_10007_/A,_10007_/Y,pin,pin,0,1.8758652617356653e-11
_10007_/B,_10007_/Y,pin,pin,0,2.0138085643495174e-11
_10008_/A1,_10008_/Y,pin,pin,0,3.4787370900568604e-11
_10008_/A2,_10008_/Y,pin,pin,0,2.3273497712361646e-11
_10008_/B1,_10008_/Y,pin,pin,0,3.261828654399501e-11
_10008_/B2,_10008_/Y,pin,pin,0,2.2747409858525636e-11
_10008_/C,_10008_/Y,pin,pin,0,2.2210823458213014e-11
_10009_/A,_10009_/Y,pin,pin,0,1.7956603218238776e-11
_10009_/B,_10009_/Y,pin,pin,0,1.560272570866328e-11
