src,tar,src_type,tar_type
clkbuf_0_nvdla_core_clk,clkbuf_1_1_0_nvdla_core_clk,cell,cell
clkbuf_0_nvdla_core_clk,clkbuf_1_0_0_nvdla_core_clk,cell,cell
clkbuf_1_0_0_nvdla_core_clk,clkbuf_2_1_0_nvdla_core_clk,cell,cell
clkbuf_1_0_0_nvdla_core_clk,clkbuf_2_0_0_nvdla_core_clk,cell,cell
clkbuf_1_1_0_nvdla_core_clk,clkbuf_2_3_0_nvdla_core_clk,cell,cell
clkbuf_1_1_0_nvdla_core_clk,clkbuf_2_2_0_nvdla_core_clk,cell,cell
clkbuf_2_0_0_nvdla_core_clk,clkbuf_2_0_1_nvdla_core_clk,cell,cell
clkbuf_2_0_1_nvdla_core_clk,clkbuf_3_1_0_nvdla_core_clk,cell,cell
clkbuf_2_0_1_nvdla_core_clk,clkbuf_3_0_0_nvdla_core_clk,cell,cell
clkbuf_2_1_0_nvdla_core_clk,clkbuf_2_1_1_nvdla_core_clk,cell,cell
clkbuf_2_1_1_nvdla_core_clk,clkbuf_3_3_0_nvdla_core_clk,cell,cell
clkbuf_2_1_1_nvdla_core_clk,clkbuf_3_2_0_nvdla_core_clk,cell,cell
clkbuf_2_2_0_nvdla_core_clk,clkbuf_2_2_1_nvdla_core_clk,cell,cell
clkbuf_2_2_1_nvdla_core_clk,clkbuf_3_5_0_nvdla_core_clk,cell,cell
clkbuf_2_2_1_nvdla_core_clk,clkbuf_3_4_0_nvdla_core_clk,cell,cell
clkbuf_2_3_0_nvdla_core_clk,clkbuf_2_3_1_nvdla_core_clk,cell,cell
clkbuf_2_3_1_nvdla_core_clk,clkbuf_3_7_0_nvdla_core_clk,cell,cell
clkbuf_2_3_1_nvdla_core_clk,clkbuf_3_6_0_nvdla_core_clk,cell,cell
clkbuf_3_0_0_nvdla_core_clk,clkbuf_4_1_0_nvdla_core_clk,cell,cell
clkbuf_3_0_0_nvdla_core_clk,clkbuf_4_0_0_nvdla_core_clk,cell,cell
clkbuf_3_1_0_nvdla_core_clk,clkbuf_4_3_0_nvdla_core_clk,cell,cell
clkbuf_3_1_0_nvdla_core_clk,clkbuf_4_2_0_nvdla_core_clk,cell,cell
clkbuf_3_2_0_nvdla_core_clk,clkbuf_4_5_0_nvdla_core_clk,cell,cell
clkbuf_3_2_0_nvdla_core_clk,clkbuf_4_4_0_nvdla_core_clk,cell,cell
clkbuf_3_3_0_nvdla_core_clk,clkbuf_4_7_0_nvdla_core_clk,cell,cell
clkbuf_3_3_0_nvdla_core_clk,clkbuf_4_6_0_nvdla_core_clk,cell,cell
clkbuf_3_4_0_nvdla_core_clk,clkbuf_4_9_0_nvdla_core_clk,cell,cell
clkbuf_3_4_0_nvdla_core_clk,clkbuf_4_8_0_nvdla_core_clk,cell,cell
clkbuf_3_5_0_nvdla_core_clk,clkbuf_4_11_0_nvdla_core_clk,cell,cell
clkbuf_3_5_0_nvdla_core_clk,clkbuf_4_10_0_nvdla_core_clk,cell,cell
clkbuf_3_6_0_nvdla_core_clk,clkbuf_4_13_0_nvdla_core_clk,cell,cell
clkbuf_3_6_0_nvdla_core_clk,clkbuf_4_12_0_nvdla_core_clk,cell,cell
clkbuf_3_7_0_nvdla_core_clk,clkbuf_4_15_0_nvdla_core_clk,cell,cell
clkbuf_3_7_0_nvdla_core_clk,clkbuf_4_14_0_nvdla_core_clk,cell,cell
clkbuf_4_0_0_nvdla_core_clk,clkbuf_6_3_0_nvdla_core_clk,cell,cell
clkbuf_4_0_0_nvdla_core_clk,clkbuf_6_2_0_nvdla_core_clk,cell,cell
clkbuf_4_0_0_nvdla_core_clk,clkbuf_6_1_0_nvdla_core_clk,cell,cell
clkbuf_4_0_0_nvdla_core_clk,clkbuf_6_0_0_nvdla_core_clk,cell,cell
clkbuf_4_10_0_nvdla_core_clk,clkbuf_6_43_0_nvdla_core_clk,cell,cell
clkbuf_4_10_0_nvdla_core_clk,clkbuf_6_42_0_nvdla_core_clk,cell,cell
clkbuf_4_10_0_nvdla_core_clk,clkbuf_6_41_0_nvdla_core_clk,cell,cell
clkbuf_4_10_0_nvdla_core_clk,clkbuf_6_40_0_nvdla_core_clk,cell,cell
clkbuf_4_11_0_nvdla_core_clk,clkbuf_6_47_0_nvdla_core_clk,cell,cell
clkbuf_4_11_0_nvdla_core_clk,clkbuf_6_46_0_nvdla_core_clk,cell,cell
clkbuf_4_11_0_nvdla_core_clk,clkbuf_6_45_0_nvdla_core_clk,cell,cell
clkbuf_4_11_0_nvdla_core_clk,clkbuf_6_44_0_nvdla_core_clk,cell,cell
clkbuf_4_12_0_nvdla_core_clk,clkbuf_6_51_0_nvdla_core_clk,cell,cell
clkbuf_4_12_0_nvdla_core_clk,clkbuf_6_50_0_nvdla_core_clk,cell,cell
clkbuf_4_12_0_nvdla_core_clk,clkbuf_6_49_0_nvdla_core_clk,cell,cell
clkbuf_4_12_0_nvdla_core_clk,clkbuf_6_48_0_nvdla_core_clk,cell,cell
clkbuf_4_13_0_nvdla_core_clk,clkbuf_6_55_0_nvdla_core_clk,cell,cell
clkbuf_4_13_0_nvdla_core_clk,clkbuf_6_54_0_nvdla_core_clk,cell,cell
clkbuf_4_13_0_nvdla_core_clk,clkbuf_6_53_0_nvdla_core_clk,cell,cell
clkbuf_4_13_0_nvdla_core_clk,clkbuf_6_52_0_nvdla_core_clk,cell,cell
clkbuf_4_14_0_nvdla_core_clk,clkbuf_6_59_0_nvdla_core_clk,cell,cell
clkbuf_4_14_0_nvdla_core_clk,clkbuf_6_58_0_nvdla_core_clk,cell,cell
clkbuf_4_14_0_nvdla_core_clk,clkbuf_6_57_0_nvdla_core_clk,cell,cell
clkbuf_4_14_0_nvdla_core_clk,clkbuf_6_56_0_nvdla_core_clk,cell,cell
clkbuf_4_15_0_nvdla_core_clk,clkbuf_6_63_0_nvdla_core_clk,cell,cell
clkbuf_4_15_0_nvdla_core_clk,clkbuf_6_62_0_nvdla_core_clk,cell,cell
clkbuf_4_15_0_nvdla_core_clk,clkbuf_6_61_0_nvdla_core_clk,cell,cell
clkbuf_4_15_0_nvdla_core_clk,clkbuf_6_60_0_nvdla_core_clk,cell,cell
clkbuf_4_1_0_nvdla_core_clk,clkbuf_6_7_0_nvdla_core_clk,cell,cell
clkbuf_4_1_0_nvdla_core_clk,clkbuf_6_6_0_nvdla_core_clk,cell,cell
clkbuf_4_1_0_nvdla_core_clk,clkbuf_6_5_0_nvdla_core_clk,cell,cell
clkbuf_4_1_0_nvdla_core_clk,clkbuf_6_4_0_nvdla_core_clk,cell,cell
clkbuf_4_2_0_nvdla_core_clk,clkbuf_6_11_0_nvdla_core_clk,cell,cell
clkbuf_4_2_0_nvdla_core_clk,clkbuf_6_10_0_nvdla_core_clk,cell,cell
clkbuf_4_2_0_nvdla_core_clk,clkbuf_6_9_0_nvdla_core_clk,cell,cell
clkbuf_4_2_0_nvdla_core_clk,clkbuf_6_8_0_nvdla_core_clk,cell,cell
clkbuf_4_3_0_nvdla_core_clk,clkbuf_6_15_0_nvdla_core_clk,cell,cell
clkbuf_4_3_0_nvdla_core_clk,clkbuf_6_14_0_nvdla_core_clk,cell,cell
clkbuf_4_3_0_nvdla_core_clk,clkbuf_6_13_0_nvdla_core_clk,cell,cell
clkbuf_4_3_0_nvdla_core_clk,clkbuf_6_12_0_nvdla_core_clk,cell,cell
clkbuf_4_4_0_nvdla_core_clk,clkbuf_6_19_0_nvdla_core_clk,cell,cell
clkbuf_4_4_0_nvdla_core_clk,clkbuf_6_18_0_nvdla_core_clk,cell,cell
clkbuf_4_4_0_nvdla_core_clk,clkbuf_6_17_0_nvdla_core_clk,cell,cell
clkbuf_4_4_0_nvdla_core_clk,clkbuf_6_16_0_nvdla_core_clk,cell,cell
clkbuf_4_5_0_nvdla_core_clk,clkbuf_6_23_0_nvdla_core_clk,cell,cell
clkbuf_4_5_0_nvdla_core_clk,clkbuf_6_22_0_nvdla_core_clk,cell,cell
clkbuf_4_5_0_nvdla_core_clk,clkbuf_6_21_0_nvdla_core_clk,cell,cell
clkbuf_4_5_0_nvdla_core_clk,clkbuf_6_20_0_nvdla_core_clk,cell,cell
clkbuf_4_6_0_nvdla_core_clk,clkbuf_6_27_0_nvdla_core_clk,cell,cell
clkbuf_4_6_0_nvdla_core_clk,clkbuf_6_26_0_nvdla_core_clk,cell,cell
clkbuf_4_6_0_nvdla_core_clk,clkbuf_6_25_0_nvdla_core_clk,cell,cell
clkbuf_4_6_0_nvdla_core_clk,clkbuf_6_24_0_nvdla_core_clk,cell,cell
clkbuf_4_7_0_nvdla_core_clk,clkbuf_6_31_0_nvdla_core_clk,cell,cell
clkbuf_4_7_0_nvdla_core_clk,clkbuf_6_30_0_nvdla_core_clk,cell,cell
clkbuf_4_7_0_nvdla_core_clk,clkbuf_6_29_0_nvdla_core_clk,cell,cell
clkbuf_4_7_0_nvdla_core_clk,clkbuf_6_28_0_nvdla_core_clk,cell,cell
clkbuf_4_8_0_nvdla_core_clk,clkbuf_6_35_0_nvdla_core_clk,cell,cell
clkbuf_4_8_0_nvdla_core_clk,clkbuf_6_34_0_nvdla_core_clk,cell,cell
clkbuf_4_8_0_nvdla_core_clk,clkbuf_6_33_0_nvdla_core_clk,cell,cell
clkbuf_4_8_0_nvdla_core_clk,clkbuf_6_32_0_nvdla_core_clk,cell,cell
clkbuf_4_9_0_nvdla_core_clk,clkbuf_6_39_0_nvdla_core_clk,cell,cell
clkbuf_4_9_0_nvdla_core_clk,clkbuf_6_38_0_nvdla_core_clk,cell,cell
clkbuf_4_9_0_nvdla_core_clk,clkbuf_6_37_0_nvdla_core_clk,cell,cell
clkbuf_4_9_0_nvdla_core_clk,clkbuf_6_36_0_nvdla_core_clk,cell,cell
clkbuf_6_0_0_nvdla_core_clk,clkbuf_8_3__f_nvdla_core_clk,cell,cell
clkbuf_6_0_0_nvdla_core_clk,clkbuf_8_2__f_nvdla_core_clk,cell,cell
clkbuf_6_0_0_nvdla_core_clk,clkbuf_8_1__f_nvdla_core_clk,cell,cell
clkbuf_6_0_0_nvdla_core_clk,clkbuf_8_0__f_nvdla_core_clk,cell,cell
clkbuf_6_10_0_nvdla_core_clk,clkbuf_8_43__f_nvdla_core_clk,cell,cell
clkbuf_6_10_0_nvdla_core_clk,clkbuf_8_42__f_nvdla_core_clk,cell,cell
clkbuf_6_10_0_nvdla_core_clk,clkbuf_8_41__f_nvdla_core_clk,cell,cell
clkbuf_6_10_0_nvdla_core_clk,clkbuf_8_40__f_nvdla_core_clk,cell,cell
clkbuf_6_11_0_nvdla_core_clk,clkbuf_8_47__f_nvdla_core_clk,cell,cell
clkbuf_6_11_0_nvdla_core_clk,clkbuf_8_46__f_nvdla_core_clk,cell,cell
clkbuf_6_11_0_nvdla_core_clk,clkbuf_8_45__f_nvdla_core_clk,cell,cell
clkbuf_6_11_0_nvdla_core_clk,clkbuf_8_44__f_nvdla_core_clk,cell,cell
clkbuf_6_12_0_nvdla_core_clk,clkbuf_8_51__f_nvdla_core_clk,cell,cell
clkbuf_6_12_0_nvdla_core_clk,clkbuf_8_50__f_nvdla_core_clk,cell,cell
clkbuf_6_12_0_nvdla_core_clk,clkbuf_8_49__f_nvdla_core_clk,cell,cell
clkbuf_6_12_0_nvdla_core_clk,clkbuf_8_48__f_nvdla_core_clk,cell,cell
clkbuf_6_13_0_nvdla_core_clk,clkbuf_8_55__f_nvdla_core_clk,cell,cell
clkbuf_6_13_0_nvdla_core_clk,clkbuf_8_54__f_nvdla_core_clk,cell,cell
clkbuf_6_13_0_nvdla_core_clk,clkbuf_8_53__f_nvdla_core_clk,cell,cell
clkbuf_6_13_0_nvdla_core_clk,clkbuf_8_52__f_nvdla_core_clk,cell,cell
clkbuf_6_14_0_nvdla_core_clk,clkbuf_8_59__f_nvdla_core_clk,cell,cell
clkbuf_6_14_0_nvdla_core_clk,clkbuf_8_58__f_nvdla_core_clk,cell,cell
clkbuf_6_14_0_nvdla_core_clk,clkbuf_8_57__f_nvdla_core_clk,cell,cell
clkbuf_6_14_0_nvdla_core_clk,clkbuf_8_56__f_nvdla_core_clk,cell,cell
clkbuf_6_15_0_nvdla_core_clk,clkbuf_8_63__f_nvdla_core_clk,cell,cell
