src,tar,src_type,tar_type
net53041,_0_,net,cell
net53051,_0_,net,cell
_0_,net54019,cell,net
net176900,_100000_,net,cell
_100000_,net7082,cell,net
net170730,_100001_,net,cell
_100001_,net8493,cell,net
net54036,_100002_,net,cell
net54708,_100002_,net,cell
net54045,_100002_,net,cell
_100002_,net54709,cell,net
net54036,_100003_,net,cell
net54727,_100003_,net,cell
_100003_,net54728,cell,net
net182037,_100004_,net,cell
_100004_,net6458,cell,net
net177928,_100005_,net,cell
_100005_,net8637,cell,net
net174842,_100006_,net,cell
_100006_,net7344,cell,net
net179981,_100007_,net,cell
_100007_,net6582,cell,net
net179983,_100008_,net,cell
_100008_,net6660,cell,net
net143004,_100009_,net,cell
_100009_,net6760,cell,net
net103675,_10000_,net,cell
_10000_,net103676,cell,net
net143007,_100010_,net,cell
_100010_,net7046,cell,net
net178954,_100011_,net,cell
_100011_,net6764,cell,net
net185124,_100012_,net,cell
_100012_,net7518,cell,net
net178953,_100013_,net,cell
_100013_,net6784,cell,net
net185123,_100014_,net,cell
_100014_,net7495,cell,net
net184093,_100015_,net,cell
_100015_,net8353,cell,net
net185122,_100016_,net,cell
_100016_,net7498,cell,net
net685,_100017_,net,cell
net53759,_100017_,net,cell
net53925,_100017_,net,cell
_100017_,net53926,cell,net
net53757,_100018_,net,cell
net53758,_100018_,net,cell
_100018_,net53759,cell,net
net54651,_100019_,net,cell
net54033,_100019_,net,cell
net54658,_100019_,net,cell
_100019_,net54659,cell,net
net102233,_10001_,net,cell
net103515,_10001_,net,cell
net143154,_10001_,net,cell
net162024,_10001_,net,cell
_10001_,net103690,cell,net
net7608,_100020_,net,cell
net6761,_100020_,net,cell
net8457,_100020_,net,cell
_100020_,net169703,cell,net
net5045,_100021_,net,cell
net167879,_100021_,net,cell
net4540,_100021_,net,cell
net168456,_100021_,net,cell
_100021_,net128953,cell,net
net1222,_100022_,net,cell
net167894,_100022_,net,cell
net4545,_100022_,net,cell
net168471,_100022_,net,cell
_100022_,net128962,cell,net
net4540,_100023_,net,cell
net125182,_100023_,net,cell
net5045,_100023_,net,cell
net125183,_100023_,net,cell
_100023_,net128956,cell,net
net4540,_100024_,net,cell
net104674,_100024_,net,cell
net5045,_100024_,net,cell
net104676,_100024_,net,cell
_100024_,net128616,cell,net
net5045,_100025_,net,cell
net167899,_100025_,net,cell
net4540,_100025_,net,cell
net168476,_100025_,net,cell
_100025_,net128615,cell,net
net4540,_100026_,net,cell
net125143,_100026_,net,cell
net5045,_100026_,net,cell
net125144,_100026_,net,cell
_100026_,net128946,cell,net
net4545,_100027_,net,cell
net125027,_100027_,net,cell
net5051,_100027_,net,cell
net125028,_100027_,net,cell
_100027_,net128943,cell,net
net5051,_100028_,net,cell
net167889,_100028_,net,cell
net4545,_100028_,net,cell
net168466,_100028_,net,cell
_100028_,net128944,cell,net
net5051,_100029_,net,cell
net167898,_100029_,net,cell
net4545,_100029_,net,cell
net168475,_100029_,net,cell
_100029_,net128906,cell,net
net143141,_10002_,net,cell
net162011,_10002_,net,cell
net615,_10002_,net,cell
net103536,_10002_,net,cell
_10002_,net103693,cell,net
net1222,_100030_,net,cell
net167895,_100030_,net,cell
net4543,_100030_,net,cell
net168472,_100030_,net,cell
_100030_,net128942,cell,net
net5045,_100031_,net,cell
net167877,_100031_,net,cell
net4540,_100031_,net,cell
net168454,_100031_,net,cell
_100031_,net128951,cell,net
net4545,_100032_,net,cell
net125284,_100032_,net,cell
net5051,_100032_,net,cell
net125285,_100032_,net,cell
_100032_,net128960,cell,net
net5051,_100033_,net,cell
net167886,_100033_,net,cell
net4545,_100033_,net,cell
net168463,_100033_,net,cell
_100033_,net128959,cell,net
net162578,_100034_,net,cell
net1129,_100034_,net,cell
net103441,_100034_,net,cell
_100034_,net128632,cell,net
net162579,_100035_,net,cell
net1129,_100035_,net,cell
net162594,_100035_,net,cell
net100710,_100035_,net,cell
_100035_,net128633,cell,net
net162589,_100036_,net,cell
net1129,_100036_,net,cell
net162604,_100036_,net,cell
net100710,_100036_,net,cell
_100036_,net128629,cell,net
net162583,_100037_,net,cell
net1129,_100037_,net,cell
net162598,_100037_,net,cell
net100710,_100037_,net,cell
_100037_,net128623,cell,net
net162582,_100038_,net,cell
net1129,_100038_,net,cell
net162597,_100038_,net,cell
net100710,_100038_,net,cell
_100038_,net128622,cell,net
net162581,_100039_,net,cell
net1129,_100039_,net,cell
net162596,_100039_,net,cell
net100710,_100039_,net,cell
_100039_,net128621,cell,net
net102730,_10003_,net,cell
net103355,_10003_,net,cell
net143150,_10003_,net,cell
net162020,_10003_,net,cell
_10003_,net103377,cell,net
net103646,_100040_,net,cell
net1129,_100040_,net,cell
net103648,_100040_,net,cell
_100040_,net128634,cell,net
net103384,_100041_,net,cell
net100710,_100041_,net,cell
net103386,_100041_,net,cell
net1129,_100041_,net,cell
_100041_,net128626,cell,net
net162575,_100042_,net,cell
net1129,_100042_,net,cell
net162590,_100042_,net,cell
net100710,_100042_,net,cell
_100042_,net128620,cell,net
net103453,_100043_,net,cell
net100710,_100043_,net,cell
net103455,_100043_,net,cell
net1129,_100043_,net,cell
_100043_,net128627,cell,net
net162577,_100044_,net,cell
net1129,_100044_,net,cell
net103446,_100044_,net,cell
_100044_,net128631,cell,net
net103486,_100045_,net,cell
net100710,_100045_,net,cell
net103488,_100045_,net,cell
net1129,_100045_,net,cell
_100045_,net128628,cell,net
net162576,_100046_,net,cell
net1129,_100046_,net,cell
net162591,_100046_,net,cell
net100710,_100046_,net,cell
_100046_,net128630,cell,net
net162585,_100047_,net,cell
net1129,_100047_,net,cell
net162600,_100047_,net,cell
net100710,_100047_,net,cell
_100047_,net128625,cell,net
net162584,_100048_,net,cell
net1129,_100048_,net,cell
net162599,_100048_,net,cell
net100710,_100048_,net,cell
_100048_,net128624,cell,net
net162580,_100049_,net,cell
net1129,_100049_,net,cell
_100049_,net103648,cell,net
net102928,_10004_,net,cell
net103610,_10004_,net,cell
net143144,_10004_,net,cell
net162014,_10004_,net,cell
_10004_,net103636,cell,net
net103440,_100050_,net,cell
net1129,_100050_,net,cell
_100050_,net103441,cell,net
net103445,_100051_,net,cell
net1129,_100051_,net,cell
_100051_,net103446,cell,net
net103731,_100052_,net,cell
net104136,_100052_,net,cell
net104149,_100052_,net,cell
net103928,_100052_,net,cell
_100052_,net104147,cell,net
net189378,_100053_,net,cell
net53734,_100053_,net,cell
net683,_100053_,net,cell
net53930,_100053_,net,cell
_100053_,net54069,cell,net
net54197,_100054_,net,cell
net54206,_100054_,net,cell
net54207,_100054_,net,cell
_100054_,net54208,cell,net
net54186,_100055_,net,cell
net54195,_100055_,net,cell
net54196,_100055_,net,cell
_100055_,net54197,cell,net
net54117,_100056_,net,cell
net54116,_100056_,net,cell
_100056_,net54142,cell,net
net54117,_100057_,net,cell
net54119,_100057_,net,cell
net54116,_100057_,net,cell
net54118,_100057_,net,cell
_100057_,net54143,cell,net
net54111,_100058_,net,cell
_100058_,net54132,cell,net
net54110,_100058_,net,cell
net54285,_100059_,net,cell
net54286,_100059_,net,cell
net54287,_100059_,net,cell
_100059_,net54288,cell,net
net143147,_10005_,net,cell
net162017,_10005_,net,cell
net101571,_10005_,net,cell
net103281,_10005_,net,cell
_10005_,net103415,cell,net
net54312,_100060_,net,cell
net54314,_100060_,net,cell
net54317,_100060_,net,cell
_100060_,net54318,cell,net
net54553,_100061_,net,cell
net54597,_100061_,net,cell
_100061_,net54859,cell,net
net54151,_100062_,net,cell
net54211,_100062_,net,cell
net54216,_100062_,net,cell
_100062_,net54217,cell,net
net53598,_100063_,net,cell
net53599,_100063_,net,cell
_100063_,net53600,cell,net
net54545,_100064_,net,cell
net54565,_100064_,net,cell
_100064_,net54566,cell,net
net54545,_100065_,net,cell
net54565,_100065_,net,cell
_100065_,net55167,cell,net
net54248,_100066_,net,cell
net54263,_100066_,net,cell
net54264,_100066_,net,cell
_100066_,net54265,cell,net
net54256,_100067_,net,cell
