src,tar,src_type,tar_type,is_net,arc_delay
_0_/A,_0_/Y,pin,pin,0,7.255980538634077e-12
_10000_/A1,_10000_/Y,pin,pin,0,1.271057131074782e-11
_10000_/A2,_10000_/Y,pin,pin,0,1.521745229826621e-11
_10000_/B,_10000_/Y,pin,pin,0,1.3460625843120244e-11
_10001_/A,_10001_/Y,pin,pin,0,7.421245909466911e-12
_10002_/A,_10002_/Y,pin,pin,0,1.687542813821885e-11
_10002_/B,_10002_/Y,pin,pin,0,1.2902447339702139e-11
_10003_/A,_10003_/Y,pin,pin,0,1.0836513977818818e-11
_10003_/B,_10003_/Y,pin,pin,0,9.337257529662413e-12
_10004_/A,_10004_/Y,pin,pin,0,7.863928258577957e-12
_10005_/A,_10005_/Y,pin,pin,0,6.894096404863603e-12
_10006_/A1,_10006_/Y,pin,pin,0,1.2529361229085545e-11
_10006_/A2,_10006_/Y,pin,pin,0,1.378272843077788e-11
_10006_/B,_10006_/Y,pin,pin,0,1.3563463720223101e-11
_10007_/A,_10007_/Y,pin,pin,0,8.354604334737115e-12
_10008_/A1,_10008_/Y,pin,pin,0,1.2629505947991948e-11
_10008_/A2,_10008_/Y,pin,pin,0,1.5020261076581498e-11
_10008_/B,_10008_/Y,pin,pin,0,1.0622128177040224e-11
_10009_/A,_10009_/Y,pin,pin,0,1.0950727304115393e-11
_10009_/B,_10009_/Y,pin,pin,0,1.0497927180330713e-11
_1000_/A,_1000_/Y,pin,pin,0,7.872692081578592e-12
_10010_/A,_10010_/Y,pin,pin,0,1.1491093666882168e-11
_10011_/A1,_10011_/Y,pin,pin,0,1.9418225707945602e-11
_10011_/A2,_10011_/Y,pin,pin,0,2.121865183557503e-11
_10011_/B,_10011_/Y,pin,pin,0,1.960547175994254e-11
_10012_/A,_10012_/Y,pin,pin,0,1.1298776150803214e-11
_10013_/A1,_10013_/Y,pin,pin,0,1.6482155917874053e-11
_10013_/A2,_10013_/Y,pin,pin,0,1.714452885215323e-11
_10013_/B1,_10013_/Y,pin,pin,0,1.7447309222373697e-11
_10013_/B2,_10013_/Y,pin,pin,0,1.674141728025269e-11
_10014_/A1,_10014_/Y,pin,pin,0,1.3270474996662784e-11
_10014_/A2,_10014_/Y,pin,pin,0,1.5443930856395838e-11
_10014_/B1,_10014_/Y,pin,pin,0,1.475777833270797e-11
_10014_/B2,_10014_/Y,pin,pin,0,1.706419033853379e-11
_10015_/A1,_10015_/Y,pin,pin,0,1.806033447793176e-11
_10015_/A2,_10015_/Y,pin,pin,0,2.040553143123347e-11
_10015_/B1,_10015_/Y,pin,pin,0,1.930320486787096e-11
_10015_/B2,_10015_/Y,pin,pin,0,1.9631171688239135e-11
_10016_/A,_10016_/Y,pin,pin,0,9.136620279792673e-12
_10017_/A,_10017_/Y,pin,pin,0,9.221571423134733e-12
_10018_/A1,_10018_/Y,pin,pin,0,2.4331387599163534e-11
_10018_/A2,_10018_/Y,pin,pin,0,2.5133563633095157e-11
_10018_/B1,_10018_/Y,pin,pin,0,2.6925017770906834e-11
_10018_/B2,_10018_/Y,pin,pin,0,2.683100096267932e-11
_10019_/A,_10019_/Y,pin,pin,0,8.20180034999396e-12
_1001_/A,_1001_/Y,pin,pin,0,1.7866177287606533e-11
_10020_/A,_10020_/Y,pin,pin,0,1.3123694839189959e-11
_10021_/A1,_10021_/Y,pin,pin,0,1.2252063946727176e-11
_10021_/A2,_10021_/Y,pin,pin,0,9.707229811639628e-12
_10021_/B1,_10021_/Y,pin,pin,0,1.3109444953196547e-11
_10021_/B2,_10021_/Y,pin,pin,0,1.3142332708215854e-11
_10022_/A1,_10022_/Y,pin,pin,0,2.4037796059195315e-11
_10022_/A2,_10022_/Y,pin,pin,0,2.171607164924705e-11
_10022_/B,_10022_/Y,pin,pin,0,2.356813876003283e-11
_10022_/C,_10022_/Y,pin,pin,0,1.8886768884951444e-11
_10023_/A,_10023_/Y,pin,pin,0,8.59684805981642e-12
_10024_/A,_10024_/Y,pin,pin,0,1.737640413501662e-11
_10024_/B,_10024_/Y,pin,pin,0,1.1807886265979839e-11
_10025_/A,_10025_/Y,pin,pin,0,1.012606491712642e-11
_10026_/A,_10026_/Y,pin,pin,0,1.0183885852665941e-11
_10027_/A,_10027_/Y,pin,pin,0,1.2732343825094805e-11
_10027_/B,_10027_/Y,pin,pin,0,1.1257318861812582e-11
_10028_/A,_10028_/Y,pin,pin,0,9.21124634900572e-12
_10029_/A,_10029_/Y,pin,pin,0,1.0026999196222075e-11
_1002_/A,_1002_/Y,pin,pin,0,9.51847541758033e-12
_10030_/A,_10030_/Y,pin,pin,0,7.0924412176598395e-12
_10031_/A1,_10031_/Y,pin,pin,0,9.67557631237348e-12
_10031_/A2,_10031_/Y,pin,pin,0,1.3275266302903432e-11
_10031_/B1,_10031_/Y,pin,pin,0,1.3039630139544123e-11
_10031_/B2,_10031_/Y,pin,pin,0,1.1409775034498804e-11
_10032_/A,_10032_/Y,pin,pin,0,7.463393618400982e-12
_10033_/A,_10033_/Y,pin,pin,0,1.6023730953218518e-11
_10033_/B,_10033_/Y,pin,pin,0,1.4078915984427898e-11
_10034_/A1,_10034_/Y,pin,pin,0,1.4960171990097137e-11
_10034_/A2,_10034_/Y,pin,pin,0,1.4336328131581144e-11
_10034_/B,_10034_/Y,pin,pin,0,1.1706021568747005e-11
_10035_/A,_10035_/Y,pin,pin,0,1.0606485308095603e-11
_10036_/A1,_10036_/Y,pin,pin,0,1.468560342776648e-11
_10036_/A2,_10036_/Y,pin,pin,0,1.749814876328415e-11
_10036_/B1,_10036_/Y,pin,pin,0,1.4264754308324079e-11
_10036_/B2,_10036_/Y,pin,pin,0,1.7681078823272856e-11
_10037_/A1,_10037_/Y,pin,pin,0,1.4325973567153039e-11
_10037_/A2,_10037_/Y,pin,pin,0,1.6117570819651483e-11
_10037_/B1,_10037_/Y,pin,pin,0,1.622998957451216e-11
_10037_/B2,_10037_/Y,pin,pin,0,1.6501675026425744e-11
_10038_/A,_10038_/Y,pin,pin,0,8.286185973482851e-12
_10039_/A,_10039_/Y,pin,pin,0,8.034071671825238e-12
_1003_/A,_1003_/Y,pin,pin,0,1.674634216020099e-11
_10040_/A,_10040_/Y,pin,pin,0,2.0815132603657638e-11
_10041_/A,_10041_/Y,pin,pin,0,8.541046342402936e-12
_10042_/A,_10042_/Y,pin,pin,0,1.0684016171769173e-11
_10043_/A1,_10043_/Y,pin,pin,0,1.037493008171353e-11
_10043_/A2,_10043_/Y,pin,pin,0,1.2941070957894762e-11
_10043_/B,_10043_/Y,pin,pin,0,1.3394128688115625e-11
_10044_/A1,_10044_/Y,pin,pin,0,1.6829655724581727e-11
_10044_/A2,_10044_/Y,pin,pin,0,1.6455279847060744e-11
_10044_/B1,_10044_/Y,pin,pin,0,1.5589278132277506e-11
_10044_/B2,_10044_/Y,pin,pin,0,1.7178890254765378e-11
_10045_/A,_10045_/Y,pin,pin,0,2.2192921111940933e-11
_10045_/B,_10045_/Y,pin,pin,0,2.4274721122097276e-11
_10046_/A1,_10046_/Y,pin,pin,0,3.6411783310708046e-11
_10046_/A2,_10046_/Y,pin,pin,0,3.5162924655329775e-11
_10046_/B1,_10046_/Y,pin,pin,0,3.4759421035923665e-11
_10046_/B2,_10046_/Y,pin,pin,0,3.416933055944149e-11
_10046_/C,_10046_/Y,pin,pin,0,3.5312083118688165e-11
_10047_/A,_10047_/Y,pin,pin,0,6.701096708777721e-12
_10048_/A,_10048_/Y,pin,pin,0,8.26233786249686e-12
_10049_/A,_10049_/Y,pin,pin,0,7.483104413896768e-12
_1004_/A,_1004_/Y,pin,pin,0,8.832220545207381e-12
_10050_/A,_10050_/Y,pin,pin,0,9.873320910847028e-12
_10051_/A,_10051_/Y,pin,pin,0,1.0256230760508078e-11
_10052_/A1,_10052_/Y,pin,pin,0,2.0450970777963207e-11
_10052_/A2,_10052_/Y,pin,pin,0,1.743607168369632e-11
_10052_/B,_10052_/Y,pin,pin,0,1.562245124930861e-11
_10053_/A1,_10053_/Y,pin,pin,0,1.4538569133304424e-11
_10053_/A2,_10053_/Y,pin,pin,0,1.1275758972362215e-11
_10053_/B1,_10053_/Y,pin,pin,0,1.3307678743690321e-11
_10053_/B2,_10053_/Y,pin,pin,0,1.094990938199647e-11
_10054_/A1,_10054_/Y,pin,pin,0,1.0179784099006994e-11
_10054_/A2,_10054_/Y,pin,pin,0,1.2533889724719582e-11
_10054_/B,_10054_/Y,pin,pin,0,1.1931346535765108e-11
_10055_/A,_10055_/Y,pin,pin,0,1.434586737597554e-11
_10055_/B,_10055_/Y,pin,pin,0,1.24036137263972e-11
_10056_/A,_10056_/Y,pin,pin,0,1.2693010705000507e-11
_10057_/A,_10057_/Y,pin,pin,0,1.2269873485293292e-11
_10057_/B,_10057_/Y,pin,pin,0,1.1340615946320298e-11
_10058_/A,_10058_/Y,pin,pin,0,1.4539436495042413e-11
_10058_/B,_10058_/Y,pin,pin,0,1.145056618967466e-11
_10059_/A,_10059_/Y,pin,pin,0,1.2293012094377609e-11
_1005_/A,_1005_/Y,pin,pin,0,2.203390248034509e-11
_10060_/A1,_10060_/Y,pin,pin,0,1.1455886586575481e-11
_10060_/A2,_10060_/Y,pin,pin,0,1.1577783870508895e-11
_10060_/B,_10060_/Y,pin,pin,0,1.4036638171233129e-11
_10061_/A1,_10061_/Y,pin,pin,0,9.922067507883714e-12
_10061_/A2,_10061_/Y,pin,pin,0,1.1988051176747838e-11
_10061_/B,_10061_/Y,pin,pin,0,9.984281630626146e-12
_10062_/A1,_10062_/Y,pin,pin,0,1.8566426174260187e-11
_10062_/A2,_10062_/Y,pin,pin,0,1.883382512446463e-11
