pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_0_/A,36595,49545,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_0_,net24983,1.404002695354345e-11,-1.9209339674475245e-10,4.455301960692992e-10,4.4966372292343237e-10,1.9594499989710823e-15
_0_/Y,36754,49545,0,-1,0,0,1,9.216000358691634e-14,3.199999987213431e-10,0,_0_,net0,8.43779386638932e-12,-1.9209339674475245e-10,4.5691969652317255e-10,4.5202991350024035e-10,-1
_10000_/A1,53325,78687,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_10000_,net5918,8.657395980660176e-12,-1.4668630199388133e-10,2.168519946943448e-10,2.1260203320050408e-10,6.174639898401315e-16
_10000_/A2,53433,78685,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_10000_,net3515,1.8691336672871373e-11,-1.3777012863869231e-10,2.0565803227068358e-10,2.0222616636811352e-10,6.479370059692298e-16
_10000_/B,53487,78701,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_10000_,net5917,2.105200909430227e-11,-1.6706155903101205e-10,2.3511825819610976e-10,2.319689162977312e-10,6.226540254057546e-16
_10000_/Y,53504,78687,0,-1,0,0,1,2.3040000896729085e-14,3.199999987213431e-10,0,_10000_,net941,2.109325561439057e-11,-1.6706155903101205e-10,2.4308730028899106e-10,2.485788797024213e-10,-1
_10001_/A,53227,78975,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_10001_,net4261,1.039099969263324e-11,-1.4668630199388133e-10,2.0583507120974787e-10,2.0942660106104682e-10,4.855009682786806e-16
_10001_/Y,53314,78975,0,-1,0,0,1,2.3040000896729085e-14,3.199999987213431e-10,0,_10001_,net5918,8.657395980660176e-12,-1.4668630199388133e-10,2.1684784523579026e-10,2.1259782823079831e-10,-1
_10002_/A,53121,78442,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_10002_,net19381,1.6330218427507148e-11,-1.5895505744989435e-10,2.0250906507257582e-10,2.0348893403632218e-10,1.0628999291367692e-15
_10002_/B,53325,78453,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_10002_,net5916,1.3034539593503869e-11,-1.7367504656640165e-10,2.205572807723044e-10,2.2218189787981402e-10,1.0604499922159546e-15
_10002_/Y,53332,78453,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_10002_,net5917,2.105183735667815e-11,-1.7367504656640165e-10,2.3508434088270747e-10,2.3193512388441917e-10,-1
_10003_/A,53067,78157,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_10003_,net5914,9.317910158734843e-12,-1.7367504656640165e-10,2.1387891457891328e-10,2.0971110958889483e-10,1.0628999291367692e-15
_10003_/B,53271,78147,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_10003_,net5915,9.631675665366934e-12,-1.6076227848937918e-10,2.0136647904678284e-10,1.9831795927682805e-10,1.0604499922159546e-15
_10003_/Y,53278,78147,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_10003_,net5916,1.3034539593503869e-11,-1.7367504656640165e-10,2.2054762183199017e-10,2.2217223893949978e-10,-1
_10004_/A,53173,78705,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_10004_,net19205,1.0200520983438821e-11,-1.6076227848937918e-10,1.9119511529552824e-10,1.934831461714026e-10,6.837159952986067e-16
_10004_/Y,53260,78705,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_10004_,net5915,9.631555102085354e-12,-1.6076227848937918e-10,2.0134707789942752e-10,1.9829854425168492e-10,-1
_10005_/A,52687,78705,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_10005_,net1433,6.840575848821029e-12,-1.7367504656640165e-10,2.0343136897249536e-10,2.0695119229419134e-10,6.837159952986067e-16
_10005_/Y,52774,78705,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_10005_,net5914,9.31754499944315e-12,-1.7367504656640165e-10,2.1384528869905495e-10,2.096785384209099e-10,-1
_10006_/A1,53622,78470,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_10006_,net5913,1.0528132185494421e-11,-1.5745443837644757e-10,2.1781487724581439e-10,2.1345569756192617e-10,1.2392100488659887e-15
