src,tar,src_type,tar_type
clkbuf_0_nvdla_core_clk,clkbuf_1_1_0_nvdla_core_clk,cell,cell
clkbuf_0_nvdla_core_clk,clkbuf_1_0_0_nvdla_core_clk,cell,cell
clkbuf_1_0_0_nvdla_core_clk,clkbuf_2_1_0_nvdla_core_clk,cell,cell
clkbuf_1_0_0_nvdla_core_clk,clkbuf_2_0_0_nvdla_core_clk,cell,cell
clkbuf_1_1_0_nvdla_core_clk,clkbuf_2_3_0_nvdla_core_clk,cell,cell
clkbuf_1_1_0_nvdla_core_clk,clkbuf_2_2_0_nvdla_core_clk,cell,cell
clkbuf_2_0_0_nvdla_core_clk,clkbuf_3_1_0_nvdla_core_clk,cell,cell
clkbuf_2_0_0_nvdla_core_clk,clkbuf_3_0_0_nvdla_core_clk,cell,cell
clkbuf_2_1_0_nvdla_core_clk,clkbuf_3_3_0_nvdla_core_clk,cell,cell
clkbuf_2_1_0_nvdla_core_clk,clkbuf_3_2_0_nvdla_core_clk,cell,cell
clkbuf_2_2_0_nvdla_core_clk,clkbuf_3_5_0_nvdla_core_clk,cell,cell
clkbuf_2_2_0_nvdla_core_clk,clkbuf_3_4_0_nvdla_core_clk,cell,cell
clkbuf_2_3_0_nvdla_core_clk,clkbuf_3_7_0_nvdla_core_clk,cell,cell
clkbuf_2_3_0_nvdla_core_clk,clkbuf_3_6_0_nvdla_core_clk,cell,cell
clkbuf_3_0_0_nvdla_core_clk,clkbuf_6_7_0_nvdla_core_clk,cell,cell
clkbuf_3_0_0_nvdla_core_clk,clkbuf_6_6_0_nvdla_core_clk,cell,cell
clkbuf_3_0_0_nvdla_core_clk,clkbuf_6_5_0_nvdla_core_clk,cell,cell
clkbuf_3_0_0_nvdla_core_clk,clkbuf_6_4_0_nvdla_core_clk,cell,cell
clkbuf_3_0_0_nvdla_core_clk,clkbuf_6_3_0_nvdla_core_clk,cell,cell
clkbuf_3_0_0_nvdla_core_clk,clkbuf_6_2_0_nvdla_core_clk,cell,cell
clkbuf_3_0_0_nvdla_core_clk,clkbuf_6_1_0_nvdla_core_clk,cell,cell
clkbuf_3_0_0_nvdla_core_clk,clkbuf_6_0_0_nvdla_core_clk,cell,cell
clkbuf_3_1_0_nvdla_core_clk,clkbuf_6_15_0_nvdla_core_clk,cell,cell
clkbuf_3_1_0_nvdla_core_clk,clkbuf_6_14_0_nvdla_core_clk,cell,cell
clkbuf_3_1_0_nvdla_core_clk,clkbuf_6_13_0_nvdla_core_clk,cell,cell
clkbuf_3_1_0_nvdla_core_clk,clkbuf_6_12_0_nvdla_core_clk,cell,cell
clkbuf_3_1_0_nvdla_core_clk,clkbuf_6_11_0_nvdla_core_clk,cell,cell
clkbuf_3_1_0_nvdla_core_clk,clkbuf_6_10_0_nvdla_core_clk,cell,cell
clkbuf_3_1_0_nvdla_core_clk,clkbuf_6_9_0_nvdla_core_clk,cell,cell
clkbuf_3_1_0_nvdla_core_clk,clkbuf_6_8_0_nvdla_core_clk,cell,cell
clkbuf_3_2_0_nvdla_core_clk,clkbuf_6_23_0_nvdla_core_clk,cell,cell
clkbuf_3_2_0_nvdla_core_clk,clkbuf_6_22_0_nvdla_core_clk,cell,cell
clkbuf_3_2_0_nvdla_core_clk,clkbuf_6_21_0_nvdla_core_clk,cell,cell
clkbuf_3_2_0_nvdla_core_clk,clkbuf_6_20_0_nvdla_core_clk,cell,cell
clkbuf_3_2_0_nvdla_core_clk,clkbuf_6_19_0_nvdla_core_clk,cell,cell
clkbuf_3_2_0_nvdla_core_clk,clkbuf_6_18_0_nvdla_core_clk,cell,cell
clkbuf_3_2_0_nvdla_core_clk,clkbuf_6_17_0_nvdla_core_clk,cell,cell
clkbuf_3_2_0_nvdla_core_clk,clkbuf_6_16_0_nvdla_core_clk,cell,cell
clkbuf_3_3_0_nvdla_core_clk,clkbuf_6_31_0_nvdla_core_clk,cell,cell
clkbuf_3_3_0_nvdla_core_clk,clkbuf_6_30_0_nvdla_core_clk,cell,cell
clkbuf_3_3_0_nvdla_core_clk,clkbuf_6_29_0_nvdla_core_clk,cell,cell
clkbuf_3_3_0_nvdla_core_clk,clkbuf_6_28_0_nvdla_core_clk,cell,cell
clkbuf_3_3_0_nvdla_core_clk,clkbuf_6_27_0_nvdla_core_clk,cell,cell
clkbuf_3_3_0_nvdla_core_clk,clkbuf_6_26_0_nvdla_core_clk,cell,cell
clkbuf_3_3_0_nvdla_core_clk,clkbuf_6_25_0_nvdla_core_clk,cell,cell
clkbuf_3_3_0_nvdla_core_clk,clkbuf_6_24_0_nvdla_core_clk,cell,cell
clkbuf_3_4_0_nvdla_core_clk,clkbuf_6_39_0_nvdla_core_clk,cell,cell
clkbuf_3_4_0_nvdla_core_clk,clkbuf_6_38_0_nvdla_core_clk,cell,cell
clkbuf_3_4_0_nvdla_core_clk,clkbuf_6_37_0_nvdla_core_clk,cell,cell
clkbuf_3_4_0_nvdla_core_clk,clkbuf_6_36_0_nvdla_core_clk,cell,cell
clkbuf_3_4_0_nvdla_core_clk,clkbuf_6_35_0_nvdla_core_clk,cell,cell
clkbuf_3_4_0_nvdla_core_clk,clkbuf_6_34_0_nvdla_core_clk,cell,cell
clkbuf_3_4_0_nvdla_core_clk,clkbuf_6_33_0_nvdla_core_clk,cell,cell
clkbuf_3_4_0_nvdla_core_clk,clkbuf_6_32_0_nvdla_core_clk,cell,cell
clkbuf_3_5_0_nvdla_core_clk,clkbuf_6_47_0_nvdla_core_clk,cell,cell
clkbuf_3_5_0_nvdla_core_clk,clkbuf_6_46_0_nvdla_core_clk,cell,cell
clkbuf_3_5_0_nvdla_core_clk,clkbuf_6_45_0_nvdla_core_clk,cell,cell
clkbuf_3_5_0_nvdla_core_clk,clkbuf_6_44_0_nvdla_core_clk,cell,cell
clkbuf_3_5_0_nvdla_core_clk,clkbuf_6_43_0_nvdla_core_clk,cell,cell
clkbuf_3_5_0_nvdla_core_clk,clkbuf_6_42_0_nvdla_core_clk,cell,cell
clkbuf_3_5_0_nvdla_core_clk,clkbuf_6_41_0_nvdla_core_clk,cell,cell
clkbuf_3_5_0_nvdla_core_clk,clkbuf_6_40_0_nvdla_core_clk,cell,cell
clkbuf_3_6_0_nvdla_core_clk,clkbuf_6_55_0_nvdla_core_clk,cell,cell
clkbuf_3_6_0_nvdla_core_clk,clkbuf_6_54_0_nvdla_core_clk,cell,cell
clkbuf_3_6_0_nvdla_core_clk,clkbuf_6_53_0_nvdla_core_clk,cell,cell
clkbuf_3_6_0_nvdla_core_clk,clkbuf_6_52_0_nvdla_core_clk,cell,cell
clkbuf_3_6_0_nvdla_core_clk,clkbuf_6_51_0_nvdla_core_clk,cell,cell
clkbuf_3_6_0_nvdla_core_clk,clkbuf_6_50_0_nvdla_core_clk,cell,cell
clkbuf_3_6_0_nvdla_core_clk,clkbuf_6_49_0_nvdla_core_clk,cell,cell
clkbuf_3_6_0_nvdla_core_clk,clkbuf_6_48_0_nvdla_core_clk,cell,cell
clkbuf_3_7_0_nvdla_core_clk,clkbuf_6_63_0_nvdla_core_clk,cell,cell
clkbuf_3_7_0_nvdla_core_clk,clkbuf_6_62_0_nvdla_core_clk,cell,cell
clkbuf_3_7_0_nvdla_core_clk,clkbuf_6_61_0_nvdla_core_clk,cell,cell
clkbuf_3_7_0_nvdla_core_clk,clkbuf_6_60_0_nvdla_core_clk,cell,cell
clkbuf_3_7_0_nvdla_core_clk,clkbuf_6_59_0_nvdla_core_clk,cell,cell
clkbuf_3_7_0_nvdla_core_clk,clkbuf_6_58_0_nvdla_core_clk,cell,cell
clkbuf_3_7_0_nvdla_core_clk,clkbuf_6_57_0_nvdla_core_clk,cell,cell
clkbuf_3_7_0_nvdla_core_clk,clkbuf_6_56_0_nvdla_core_clk,cell,cell
clkbuf_6_0_0_nvdla_core_clk,clkbuf_leaf_735_nvdla_core_clk,cell,cell
clkbuf_6_0_0_nvdla_core_clk,clkbuf_leaf_721_nvdla_core_clk,cell,cell
clkbuf_6_0_0_nvdla_core_clk,clkbuf_leaf_720_nvdla_core_clk,cell,cell
clkbuf_6_0_0_nvdla_core_clk,clkbuf_leaf_719_nvdla_core_clk,cell,cell
clkbuf_6_0_0_nvdla_core_clk,clkbuf_leaf_718_nvdla_core_clk,cell,cell
clkbuf_6_0_0_nvdla_core_clk,clkbuf_leaf_717_nvdla_core_clk,cell,cell
clkbuf_6_0_0_nvdla_core_clk,clkbuf_leaf_4_nvdla_core_clk,cell,cell
clkbuf_6_0_0_nvdla_core_clk,clkbuf_leaf_3_nvdla_core_clk,cell,cell
clkbuf_6_0_0_nvdla_core_clk,clkbuf_leaf_2_nvdla_core_clk,cell,cell
clkbuf_6_0_0_nvdla_core_clk,clkbuf_leaf_1_nvdla_core_clk,cell,cell
clkbuf_6_10_0_nvdla_core_clk,clkbuf_leaf_644_nvdla_core_clk,cell,cell
clkbuf_6_10_0_nvdla_core_clk,clkbuf_leaf_643_nvdla_core_clk,cell,cell
clkbuf_6_10_0_nvdla_core_clk,clkbuf_leaf_80_nvdla_core_clk,cell,cell
clkbuf_6_10_0_nvdla_core_clk,clkbuf_leaf_79_nvdla_core_clk,cell,cell
clkbuf_6_10_0_nvdla_core_clk,clkbuf_leaf_78_nvdla_core_clk,cell,cell
clkbuf_6_10_0_nvdla_core_clk,clkbuf_leaf_77_nvdla_core_clk,cell,cell
clkbuf_6_10_0_nvdla_core_clk,clkbuf_leaf_76_nvdla_core_clk,cell,cell
clkbuf_6_10_0_nvdla_core_clk,clkbuf_leaf_75_nvdla_core_clk,cell,cell
clkbuf_6_10_0_nvdla_core_clk,clkbuf_leaf_74_nvdla_core_clk,cell,cell
clkbuf_6_10_0_nvdla_core_clk,clkbuf_leaf_71_nvdla_core_clk,cell,cell
clkbuf_6_10_0_nvdla_core_clk,clkbuf_leaf_70_nvdla_core_clk,cell,cell
clkbuf_6_11_0_nvdla_core_clk,clkbuf_leaf_642_nvdla_core_clk,cell,cell
clkbuf_6_11_0_nvdla_core_clk,clkbuf_leaf_641_nvdla_core_clk,cell,cell
clkbuf_6_11_0_nvdla_core_clk,clkbuf_leaf_638_nvdla_core_clk,cell,cell
clkbuf_6_11_0_nvdla_core_clk,clkbuf_leaf_637_nvdla_core_clk,cell,cell
clkbuf_6_11_0_nvdla_core_clk,clkbuf_leaf_636_nvdla_core_clk,cell,cell
clkbuf_6_11_0_nvdla_core_clk,clkbuf_leaf_635_nvdla_core_clk,cell,cell
clkbuf_6_11_0_nvdla_core_clk,clkbuf_leaf_632_nvdla_core_clk,cell,cell
clkbuf_6_11_0_nvdla_core_clk,clkbuf_leaf_631_nvdla_core_clk,cell,cell
clkbuf_6_11_0_nvdla_core_clk,clkbuf_leaf_81_nvdla_core_clk,cell,cell
clkbuf_6_12_0_nvdla_core_clk,clkbuf_leaf_634_nvdla_core_clk,cell,cell
clkbuf_6_12_0_nvdla_core_clk,clkbuf_leaf_633_nvdla_core_clk,cell,cell
clkbuf_6_12_0_nvdla_core_clk,clkbuf_leaf_624_nvdla_core_clk,cell,cell
clkbuf_6_12_0_nvdla_core_clk,clkbuf_leaf_622_nvdla_core_clk,cell,cell
clkbuf_6_12_0_nvdla_core_clk,clkbuf_leaf_83_nvdla_core_clk,cell,cell
clkbuf_6_12_0_nvdla_core_clk,clkbuf_leaf_82_nvdla_core_clk,cell,cell
clkbuf_6_13_0_nvdla_core_clk,clkbuf_leaf_673_nvdla_core_clk,cell,cell
clkbuf_6_13_0_nvdla_core_clk,clkbuf_leaf_672_nvdla_core_clk,cell,cell
clkbuf_6_13_0_nvdla_core_clk,clkbuf_leaf_671_nvdla_core_clk,cell,cell
clkbuf_6_13_0_nvdla_core_clk,clkbuf_leaf_627_nvdla_core_clk,cell,cell
clkbuf_6_13_0_nvdla_core_clk,clkbuf_leaf_626_nvdla_core_clk,cell,cell
clkbuf_6_13_0_nvdla_core_clk,clkbuf_leaf_625_nvdla_core_clk,cell,cell
clkbuf_6_13_0_nvdla_core_clk,clkbuf_leaf_596_nvdla_core_clk,cell,cell
clkbuf_6_14_0_nvdla_core_clk,clkbuf_leaf_623_nvdla_core_clk,cell,cell
clkbuf_6_14_0_nvdla_core_clk,clkbuf_leaf_621_nvdla_core_clk,cell,cell
