src,tar,src_type,tar_type
net13744,_0_,net,cell
_0_,net17,cell,net
net76925,_10000_,net,cell
_10000_,net10691,cell,net
net76957,_10001_,net,cell
_10001_,net10690,cell,net
net26502,_10002_,net,cell
_10002_,net15017,cell,net
net77230,_10003_,net,cell
_10003_,net10688,cell,net
net29604,_10004_,net,cell
_10004_,net10687,cell,net
net76926,_10005_,net,cell
_10005_,net10686,cell,net
net77232,_10006_,net,cell
_10006_,net10685,cell,net
net77209,_10007_,net,cell
_10007_,net10684,cell,net
net76924,_10008_,net,cell
_10008_,net10683,cell,net
net26394,_10009_,net,cell
_10009_,net10682,cell,net
net3764,_1000_,net,cell
_1000_,net1159,cell,net
net76962,_10010_,net,cell
_10010_,net10680,cell,net
net77231,_10011_,net,cell
_10011_,net10679,cell,net
net26811,_10012_,net,cell
_10012_,net15390,cell,net
net76937,_10013_,net,cell
_10013_,net10678,cell,net
net77262,_10014_,net,cell
_10014_,net10676,cell,net
net27188,_10015_,net,cell
_10015_,net10674,cell,net
net27204,_10016_,net,cell
_10016_,net10673,cell,net
net27190,_10017_,net,cell
_10017_,net10671,cell,net
net27193,_10018_,net,cell
_10018_,net10669,cell,net
net27392,_10019_,net,cell
_10019_,net10668,cell,net
net3764,_1001_,net,cell
_1001_,net1160,cell,net
net29434,_10020_,net,cell
_10020_,net10666,cell,net
net29595,_10021_,net,cell
_10021_,net10665,cell,net
net27194,_10022_,net,cell
_10022_,net10664,cell,net
net29452,_10023_,net,cell
_10023_,net10663,cell,net
net29277,_10024_,net,cell
_10024_,net10662,cell,net
net77343,_10025_,net,cell
_10025_,net10661,cell,net
net29454,_10026_,net,cell
_10026_,net10660,cell,net
net32727,_10027_,net,cell
_10027_,net7479,cell,net
net29447,_10028_,net,cell
_10028_,net14754,cell,net
net32725,_10029_,net,cell
_10029_,net7956,cell,net
net756,_1002_,net,cell
_1002_,net1162,cell,net
net27215,_10030_,net,cell
_10030_,net10658,cell,net
net29245,_10031_,net,cell
_10031_,net7157,cell,net
net27385,_10032_,net,cell
_10032_,net10657,cell,net
net32730,_10033_,net,cell
_10033_,net12279,cell,net
net79773,_10034_,net,cell
_10034_,net10656,cell,net
net27393,_10035_,net,cell
_10035_,net10655,cell,net
net29589,_10036_,net,cell
_10036_,net10653,cell,net
net29432,_10037_,net,cell
_10037_,net10652,cell,net
net27391,_10038_,net,cell
_10038_,net10651,cell,net
net29603,_10039_,net,cell
_10039_,net10650,cell,net
net9893,_1003_,net,cell
_1003_,net9894,cell,net
net29440,_10040_,net,cell
_10040_,net14839,cell,net
net29461,_10041_,net,cell
_10041_,net15213,cell,net
net29271,_10042_,net,cell
_10042_,net10649,cell,net
net607,_10043_,net,cell
_10043_,net7362,cell,net
net27205,_10044_,net,cell
_10044_,net10648,cell,net
net29591,_10045_,net,cell
_10045_,net10647,cell,net
net29460,_10046_,net,cell
_10046_,net15069,cell,net
net29262,_10047_,net,cell
_10047_,net10646,cell,net
net29284,_10048_,net,cell
_10048_,net10645,cell,net
net27373,_10049_,net,cell
_10049_,net14836,cell,net
net9893,_1004_,net,cell
_1004_,net1163,cell,net
net27370,_10050_,net,cell
_10050_,net10643,cell,net
net26172,_10051_,net,cell
_10051_,net10642,cell,net
net352,_10052_,net,cell
_10052_,net7027,cell,net
net29259,_10053_,net,cell
_10053_,net10641,cell,net
net29275,_10054_,net,cell
_10054_,net10640,cell,net
net29448,_10055_,net,cell
_10055_,net10639,cell,net
net29443,_10056_,net,cell
_10056_,net14960,cell,net
net29592,_10057_,net,cell
_10057_,net10637,cell,net
net27394,_10058_,net,cell
_10058_,net10636,cell,net
net29453,_10059_,net,cell
_10059_,net15225,cell,net
net54,_1005_,net,cell
_1005_,net2373,cell,net
net350,_10060_,net,cell
_10060_,net14606,cell,net
net29287,_10061_,net,cell
_10061_,net10635,cell,net
net29439,_10062_,net,cell
_10062_,net15158,cell,net
net27522,_10063_,net,cell
_10063_,net10632,cell,net
net27155,_10064_,net,cell
_10064_,net11579,cell,net
net26068,_10065_,net,cell
_10065_,net10631,cell,net
net29260,_10066_,net,cell
_10066_,net10630,cell,net
net27371,_10067_,net,cell
_10067_,net15057,cell,net
net27369,_10068_,net,cell
_10068_,net10629,cell,net
net29282,_10069_,net,cell
_10069_,net10627,cell,net
net2373,_1006_,net,cell
_1006_,net2374,cell,net
net29281,_10070_,net,cell
_10070_,net15006,cell,net
net29280,_10071_,net,cell
_10071_,net10626,cell,net
net29274,_10072_,net,cell
_10072_,net10624,cell,net
net27386,_10073_,net,cell
_10073_,net14756,cell,net
net27208,_10074_,net,cell
_10074_,net10623,cell,net
net29265,_10075_,net,cell
_10075_,net10622,cell,net
net27216,_10076_,net,cell
_10076_,net10620,cell,net
net29562,_10077_,net,cell
_10077_,net10619,cell,net
net27198,_10078_,net,cell
_10078_,net10618,cell,net
net29279,_10079_,net,cell
_10079_,net10617,cell,net
net2373,_1007_,net,cell
_1007_,net1164,cell,net
net29462,_10080_,net,cell
_10080_,net10616,cell,net
net29285,_10081_,net,cell
_10081_,net10614,cell,net
net29449,_10082_,net,cell
_10082_,net10613,cell,net
net27212,_10083_,net,cell
_10083_,net10612,cell,net
net27494,_10084_,net,cell
_10084_,net10441,cell,net
net79425,_10085_,net,cell
_10085_,net10606,cell,net
net26395,_10086_,net,cell
_10086_,net10589,cell,net
net76938,_10087_,net,cell
_10087_,net10588,cell,net
net77267,_10088_,net,cell
_10088_,net10587,cell,net
net26503,_10089_,net,cell
_10089_,net14942,cell,net
net2373,_1008_,net,cell
_1008_,net4940,cell,net
net76904,_10090_,net,cell
_10090_,net10586,cell,net
net77211,_10091_,net,cell
_10091_,net10584,cell,net
net79638,_10092_,net,cell
_10092_,net15190,cell,net
