src,tar,src_type,tar_type
_0_/A,_0_,pin,cell
_0_,_0_/Y,cell,pin
_10000_/A,_10000_,pin,cell
_10000_,_10000_/Y,cell,pin
_10001_/A,_10001_,pin,cell
_10001_,_10001_/Y,cell,pin
_10002_/A,_10002_,pin,cell
_10002_,_10002_/Y,cell,pin
_10003_/A,_10003_,pin,cell
_10003_,_10003_/Y,cell,pin
_10004_/A,_10004_,pin,cell
_10004_,_10004_/Y,cell,pin
_10005_/A,_10005_,pin,cell
_10005_,_10005_/Y,cell,pin
_10006_/A,_10006_,pin,cell
_10006_,_10006_/Y,cell,pin
_10007_/A,_10007_,pin,cell
_10007_,_10007_/Y,cell,pin
_10008_/A,_10008_,pin,cell
_10008_,_10008_/Y,cell,pin
_10009_/A,_10009_,pin,cell
_10009_,_10009_/Y,cell,pin
_1000_/A,_1000_,pin,cell
_1000_,_1000_/Y,cell,pin
_10010_/A,_10010_,pin,cell
_10010_,_10010_/Y,cell,pin
_10011_/A,_10011_,pin,cell
_10011_,_10011_/Y,cell,pin
_10012_/A,_10012_,pin,cell
_10012_,_10012_/Y,cell,pin
_10013_/A,_10013_,pin,cell
_10013_,_10013_/Y,cell,pin
_10014_/A,_10014_,pin,cell
_10014_,_10014_/Y,cell,pin
_10015_/A,_10015_,pin,cell
_10015_,_10015_/Y,cell,pin
_10016_/A,_10016_,pin,cell
_10016_,_10016_/Y,cell,pin
_10017_/A,_10017_,pin,cell
_10017_,_10017_/Y,cell,pin
_10018_/A,_10018_,pin,cell
_10018_,_10018_/Y,cell,pin
_10019_/A,_10019_,pin,cell
_10019_,_10019_/Y,cell,pin
_1001_/A,_1001_,pin,cell
_1001_,_1001_/Y,cell,pin
_10020_/A,_10020_,pin,cell
_10020_,_10020_/Y,cell,pin
_10021_/A,_10021_,pin,cell
_10021_,_10021_/Y,cell,pin
_10022_/A,_10022_,pin,cell
_10022_,_10022_/Y,cell,pin
_10023_/A,_10023_,pin,cell
_10023_,_10023_/Y,cell,pin
_10024_/A,_10024_,pin,cell
_10024_,_10024_/Y,cell,pin
_10025_/A,_10025_,pin,cell
_10025_,_10025_/Y,cell,pin
_10026_/A,_10026_,pin,cell
_10026_,_10026_/Y,cell,pin
_10027_/A,_10027_,pin,cell
_10027_,_10027_/Y,cell,pin
_10028_/A,_10028_,pin,cell
_10028_,_10028_/Y,cell,pin
_10029_/A,_10029_,pin,cell
_10029_,_10029_/Y,cell,pin
_1002_/A,_1002_,pin,cell
_1002_,_1002_/Y,cell,pin
_10030_/A,_10030_,pin,cell
_10030_,_10030_/Y,cell,pin
_10031_/A,_10031_,pin,cell
_10031_,_10031_/Y,cell,pin
_10032_/A,_10032_,pin,cell
_10032_,_10032_/Y,cell,pin
_10033_/A,_10033_,pin,cell
_10033_,_10033_/Y,cell,pin
_10034_/A,_10034_,pin,cell
_10034_,_10034_/Y,cell,pin
_10035_/A,_10035_,pin,cell
_10035_,_10035_/Y,cell,pin
_10036_/A,_10036_,pin,cell
_10036_,_10036_/Y,cell,pin
_10037_/A,_10037_,pin,cell
_10037_,_10037_/Y,cell,pin
_10038_/A,_10038_,pin,cell
_10038_,_10038_/Y,cell,pin
_10039_/A,_10039_,pin,cell
_10039_,_10039_/Y,cell,pin
_1003_/A,_1003_,pin,cell
_1003_,_1003_/Y,cell,pin
_10040_/A,_10040_,pin,cell
_10040_,_10040_/Y,cell,pin
_10041_/A,_10041_,pin,cell
_10041_,_10041_/Y,cell,pin
_10042_/A,_10042_,pin,cell
_10042_,_10042_/Y,cell,pin
_10043_/A,_10043_,pin,cell
_10043_,_10043_/Y,cell,pin
_10044_/A,_10044_,pin,cell
_10044_,_10044_/Y,cell,pin
_10045_/A,_10045_,pin,cell
_10045_,_10045_/Y,cell,pin
_10046_/A,_10046_,pin,cell
_10046_,_10046_/Y,cell,pin
_10047_/A,_10047_,pin,cell
_10047_,_10047_/Y,cell,pin
_10048_/A,_10048_,pin,cell
_10048_,_10048_/Y,cell,pin
_10049_/A,_10049_,pin,cell
_10049_,_10049_/Y,cell,pin
_1004_/A,_1004_,pin,cell
_1004_,_1004_/Y,cell,pin
_10050_/A,_10050_,pin,cell
_10050_,_10050_/Y,cell,pin
_10051_/A,_10051_,pin,cell
_10051_,_10051_/Y,cell,pin
_10052_/A,_10052_,pin,cell
_10052_,_10052_/Y,cell,pin
_10053_/A,_10053_,pin,cell
_10053_,_10053_/Y,cell,pin
