cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FILLER_0_0_1013,0,0,0,56754,2160,56808,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1019,0,0,0,57078,2160,57186,2430,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1021,0,0,0,57186,2160,57240,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1057,0,0,0,59130,2160,60318,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1079,0,0,0,60318,2160,61506,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1101,0,0,0,61506,2160,62694,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_112,0,0,0,8100,2160,9288,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1123,0,0,0,62694,2160,63882,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1145,0,0,0,63882,2160,65070,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1167,0,0,0,65070,2160,66258,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1189,0,0,0,66258,2160,67446,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1211,0,0,0,67446,2160,68634,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1233,0,0,0,68634,2160,69822,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1255,0,0,0,69822,2160,71010,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1277,0,0,0,71010,2160,72198,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1299,0,0,0,72198,2160,73386,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1321,0,0,0,73386,2160,74574,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_134,0,0,0,9288,2160,10476,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1343,0,0,0,74574,2160,75762,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1365,0,0,0,75762,2160,76518,2430,0,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1379,0,0,0,76518,2160,76842,2430,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1385,0,0,0,76842,2160,76896,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1388,0,0,0,77004,2160,78192,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1410,0,0,0,78192,2160,79380,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1432,0,0,0,79380,2160,80568,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1454,0,0,0,80568,2160,81756,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1476,0,0,0,81756,2160,82944,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1498,0,0,0,82944,2160,84132,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1520,0,0,0,84132,2160,85320,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1542,0,0,0,85320,2160,86508,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_156,0,0,0,10476,2160,11664,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1564,0,0,0,86508,2160,87696,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1586,0,0,0,87696,2160,88884,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1608,0,0,0,88884,2160,90072,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1630,0,0,0,90072,2160,91260,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1652,0,0,0,91260,2160,92448,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1674,0,0,0,92448,2160,93636,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1696,0,0,0,93636,2160,94824,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1718,0,0,0,94824,2160,96012,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1740,0,0,0,96012,2160,97200,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1762,0,0,0,97200,2160,98388,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_178,0,0,0,11664,2160,12852,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1784,0,0,0,98388,2160,98442,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1788,0,0,0,98604,2160,98928,2430,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1794,0,0,0,98928,2160,98982,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1800,0,0,0,99252,2160,99576,2430,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1816,0,0,0,100116,2160,101304,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1838,0,0,0,101304,2160,101844,2430,0,0,0,DECAPx4_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1850,0,0,0,101952,2160,103140,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1872,0,0,0,103140,2160,104328,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1894,0,0,0,104328,2160,105516,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1916,0,0,0,105516,2160,106056,2430,0,0,0,DECAPx4_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1926,0,0,0,106056,2160,106164,2430,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1928,0,0,0,106164,2160,106218,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1996,0,0,0,109836,2160,110160,2430,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2,0,0,0,2160,2160,3348,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_200,0,0,0,12852,2160,14040,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2002,0,0,0,110160,2160,110268,2430,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2004,0,0,0,110268,2160,110322,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2010,0,0,0,110592,2160,110700,2430,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2012,0,0,0,110700,2160,110754,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2018,0,0,0,111024,2160,111132,2430,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2020,0,0,0,111132,2160,111186,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2026,0,0,0,111456,2160,111672,2430,0,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2035,0,0,0,111942,2160,112482,2430,0,0,0,DECAPx4_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2045,0,0,0,112482,2160,112590,2430,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2047,0,0,0,112590,2160,112644,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2053,0,0,0,112914,2160,113022,2430,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2100,0,0,0,115452,2160,115506,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2164,0,0,0,118908,2160,119016,2430,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2171,0,0,0,119286,2160,119502,2430,0,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2175,0,0,0,119502,2160,119556,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2181,0,0,0,119826,2160,120366,2430,0,0,0,DECAPx4_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2196,0,0,0,120636,2160,120690,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2202,0,0,0,120960,2160,121068,2430,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2209,0,0,0,121338,2160,121662,2430,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_0_222,0,0,0,14040,2160,15228,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2225,0,0,0,122202,2160,122742,2430,0,0,0,DECAPx4_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2245,0,0,0,123282,2160,124470,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2267,0,0,0,124470,2160,124686,2430,0,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2281,0,0,0,125226,2160,125280,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2292,0,0,0,125820,2160,126036,2430,0,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2301,0,0,0,126306,2160,126630,2430,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2307,0,0,0,126630,2160,126738,2430,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2309,0,0,0,126738,2160,126792,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2312,0,0,0,126900,2160,128088,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2334,0,0,0,128088,2160,129276,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2356,0,0,0,129276,2160,130464,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2378,0,0,0,130464,2160,131652,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_24,0,0,0,3348,2160,4536,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2400,0,0,0,131652,2160,132840,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2422,0,0,0,132840,2160,134028,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_244,0,0,0,15228,2160,16416,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2444,0,0,0,134028,2160,135216,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2466,0,0,0,135216,2160,136404,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2488,0,0,0,136404,2160,137592,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2510,0,0,0,137592,2160,138780,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2532,0,0,0,138780,2160,139968,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2554,0,0,0,139968,2160,141156,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2576,0,0,0,141156,2160,142344,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2598,0,0,0,142344,2160,143532,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2620,0,0,0,143532,2160,144720,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2642,0,0,0,144720,2160,145908,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_266,0,0,0,16416,2160,17604,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2664,0,0,0,145908,2160,147096,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2686,0,0,0,147096,2160,148284,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2708,0,0,0,148284,2160,149472,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2730,0,0,0,149472,2160,150228,2430,0,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2744,0,0,0,150228,2160,150552,2430,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2765,0,0,0,151362,2160,151470,2430,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_288,0,0,0,17604,2160,18792,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2887,0,0,0,157950,2160,158004,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2893,0,0,0,158274,2160,158328,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2904,0,0,0,158868,2160,159084,2430,0,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2929,0,0,0,160218,2160,161406,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2951,0,0,0,161406,2160,162594,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2973,0,0,0,162594,2160,163782,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2995,0,0,0,163782,2160,164970,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_3017,0,0,0,164970,2160,166158,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_3039,0,0,0,166158,2160,167346,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_3061,0,0,0,167346,2160,168534,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_3083,0,0,0,168534,2160,169722,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_310,0,0,0,18792,2160,19980,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_3105,0,0,0,169722,2160,170910,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_3127,0,0,0,170910,2160,171018,2430,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_3154,0,0,0,172368,2160,172422,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_3170,0,0,0,173232,2160,173556,2430,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_0_3176,0,0,0,173556,2160,173664,2430,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
