src,tar,src_type,tar_type
cacc2sdp_pd[0],input1/A,net,pin
cacc2sdp_pd[10],input2/A,net,pin
cacc2sdp_pd[11],input3/A,net,pin
cacc2sdp_pd[12],_5471_/A,net,pin
cacc2sdp_pd[13],input4/A,net,pin
cacc2sdp_pd[14],input5/A,net,pin
cacc2sdp_pd[15],_5473_/A,net,pin
cacc2sdp_pd[16],input6/A,net,pin
cacc2sdp_pd[17],input7/A,net,pin
cacc2sdp_pd[18],input8/A,net,pin
cacc2sdp_pd[19],input9/A,net,pin
cacc2sdp_pd[1],input10/A,net,pin
cacc2sdp_pd[20],input11/A,net,pin
cacc2sdp_pd[21],input12/A,net,pin
cacc2sdp_pd[22],input13/A,net,pin
cacc2sdp_pd[23],input14/A,net,pin
cacc2sdp_pd[24],input15/A,net,pin
cacc2sdp_pd[25],input16/A,net,pin
cacc2sdp_pd[26],input17/A,net,pin
cacc2sdp_pd[27],input18/A,net,pin
cacc2sdp_pd[28],input19/A,net,pin
cacc2sdp_pd[29],input20/A,net,pin
cacc2sdp_pd[2],input21/A,net,pin
cacc2sdp_pd[30],input22/A,net,pin
cacc2sdp_pd[31],input23/A,net,pin
cacc2sdp_pd[33],input24/A,net,pin
cacc2sdp_pd[3],input25/A,net,pin
cacc2sdp_pd[4],input26/A,net,pin
cacc2sdp_pd[5],_5470_/A,net,pin
cacc2sdp_pd[6],input27/A,net,pin
cacc2sdp_pd[7],input28/A,net,pin
cacc2sdp_pd[8],input29/A,net,pin
cacc2sdp_pd[9],input30/A,net,pin
output325/Y,cacc2sdp_ready,pin,net
cacc2sdp_valid,input31/A,net,pin
csb2sdp_rdma_req_pd[0],input32/A,net,pin
csb2sdp_rdma_req_pd[1],input33/A,net,pin
csb2sdp_rdma_req_pd[22],input34/A,net,pin
csb2sdp_rdma_req_pd[23],input35/A,net,pin
csb2sdp_rdma_req_pd[24],input36/A,net,pin
csb2sdp_rdma_req_pd[25],input37/A,net,pin
csb2sdp_rdma_req_pd[26],input38/A,net,pin
csb2sdp_rdma_req_pd[27],input39/A,net,pin
csb2sdp_rdma_req_pd[28],input40/A,net,pin
csb2sdp_rdma_req_pd[29],input41/A,net,pin
csb2sdp_rdma_req_pd[2],input42/A,net,pin
csb2sdp_rdma_req_pd[30],input43/A,net,pin
csb2sdp_rdma_req_pd[31],input44/A,net,pin
csb2sdp_rdma_req_pd[32],input45/A,net,pin
csb2sdp_rdma_req_pd[33],input46/A,net,pin
csb2sdp_rdma_req_pd[34],input47/A,net,pin
csb2sdp_rdma_req_pd[35],input48/A,net,pin
csb2sdp_rdma_req_pd[36],input49/A,net,pin
csb2sdp_rdma_req_pd[37],input50/A,net,pin
csb2sdp_rdma_req_pd[38],input51/A,net,pin
csb2sdp_rdma_req_pd[39],input52/A,net,pin
csb2sdp_rdma_req_pd[3],input53/A,net,pin
csb2sdp_rdma_req_pd[40],input54/A,net,pin
csb2sdp_rdma_req_pd[41],input55/A,net,pin
