src,tar,src_type,tar_type
clkbuf_0_clk,clkbuf_1_1_0_clk,cell,cell
clkbuf_0_clk,clkbuf_1_0_0_clk,cell,cell
clkbuf_1_0_0_clk,clkbuf_1_0_1_clk,cell,cell
clkbuf_1_0_1_clk,clkbuf_2_1_0_clk,cell,cell
clkbuf_1_0_1_clk,clkbuf_2_0_0_clk,cell,cell
clkbuf_1_1_0_clk,clkbuf_1_1_1_clk,cell,cell
clkbuf_1_1_1_clk,clkbuf_2_3_0_clk,cell,cell
clkbuf_1_1_1_clk,clkbuf_2_2_0_clk,cell,cell
clkbuf_2_0_0_clk,clkbuf_3_1_0_clk,cell,cell
clkbuf_2_0_0_clk,clkbuf_3_0_0_clk,cell,cell
clkbuf_2_1_0_clk,clkbuf_3_3_0_clk,cell,cell
clkbuf_2_1_0_clk,clkbuf_3_2_0_clk,cell,cell
clkbuf_2_2_0_clk,clkbuf_3_5_0_clk,cell,cell
clkbuf_2_2_0_clk,clkbuf_3_4_0_clk,cell,cell
clkbuf_2_3_0_clk,clkbuf_3_7_0_clk,cell,cell
clkbuf_2_3_0_clk,clkbuf_3_6_0_clk,cell,cell
clkbuf_3_0_0_clk,clkbuf_4_1_0_clk,cell,cell
clkbuf_3_0_0_clk,clkbuf_4_0_0_clk,cell,cell
clkbuf_3_1_0_clk,clkbuf_4_3_0_clk,cell,cell
clkbuf_3_1_0_clk,clkbuf_4_2_0_clk,cell,cell
clkbuf_3_2_0_clk,clkbuf_4_5_0_clk,cell,cell
clkbuf_3_2_0_clk,clkbuf_4_4_0_clk,cell,cell
clkbuf_3_3_0_clk,clkbuf_4_7_0_clk,cell,cell
clkbuf_3_3_0_clk,clkbuf_4_6_0_clk,cell,cell
clkbuf_3_4_0_clk,clkbuf_4_9_0_clk,cell,cell
clkbuf_3_4_0_clk,clkbuf_4_8_0_clk,cell,cell
clkbuf_3_5_0_clk,clkbuf_4_11_0_clk,cell,cell
clkbuf_3_5_0_clk,clkbuf_4_10_0_clk,cell,cell
clkbuf_3_6_0_clk,clkbuf_4_13_0_clk,cell,cell
clkbuf_3_6_0_clk,clkbuf_4_12_0_clk,cell,cell
clkbuf_3_7_0_clk,clkbuf_4_15_0_clk,cell,cell
clkbuf_3_7_0_clk,clkbuf_4_14_0_clk,cell,cell
clkbuf_4_0_0_clk,clkbuf_6_3_0_clk,cell,cell
clkbuf_4_0_0_clk,clkbuf_6_2_0_clk,cell,cell
clkbuf_4_0_0_clk,clkbuf_6_1_0_clk,cell,cell
clkbuf_4_0_0_clk,clkbuf_6_0_0_clk,cell,cell
clkbuf_4_10_0_clk,clkbuf_6_43_0_clk,cell,cell
clkbuf_4_10_0_clk,clkbuf_6_42_0_clk,cell,cell
clkbuf_4_10_0_clk,clkbuf_6_41_0_clk,cell,cell
clkbuf_4_10_0_clk,clkbuf_6_40_0_clk,cell,cell
clkbuf_4_11_0_clk,clkbuf_6_47_0_clk,cell,cell
clkbuf_4_11_0_clk,clkbuf_6_46_0_clk,cell,cell
clkbuf_4_11_0_clk,clkbuf_6_45_0_clk,cell,cell
clkbuf_4_11_0_clk,clkbuf_6_44_0_clk,cell,cell
clkbuf_4_12_0_clk,clkbuf_6_51_0_clk,cell,cell
clkbuf_4_12_0_clk,clkbuf_6_50_0_clk,cell,cell
clkbuf_4_12_0_clk,clkbuf_6_49_0_clk,cell,cell
clkbuf_4_12_0_clk,clkbuf_6_48_0_clk,cell,cell
clkbuf_4_13_0_clk,clkbuf_6_55_0_clk,cell,cell
clkbuf_4_13_0_clk,clkbuf_6_54_0_clk,cell,cell
clkbuf_4_13_0_clk,clkbuf_6_53_0_clk,cell,cell
clkbuf_4_13_0_clk,clkbuf_6_52_0_clk,cell,cell
clkbuf_4_14_0_clk,clkbuf_6_59_0_clk,cell,cell
clkbuf_4_14_0_clk,clkbuf_6_58_0_clk,cell,cell
clkbuf_4_14_0_clk,clkbuf_6_57_0_clk,cell,cell
clkbuf_4_14_0_clk,clkbuf_6_56_0_clk,cell,cell
clkbuf_4_15_0_clk,clkbuf_6_63_0_clk,cell,cell
clkbuf_4_15_0_clk,clkbuf_6_62_0_clk,cell,cell
clkbuf_4_15_0_clk,clkbuf_6_61_0_clk,cell,cell
clkbuf_4_15_0_clk,clkbuf_6_60_0_clk,cell,cell
clkbuf_4_1_0_clk,clkbuf_6_7_0_clk,cell,cell
clkbuf_4_1_0_clk,clkbuf_6_6_0_clk,cell,cell
clkbuf_4_1_0_clk,clkbuf_6_5_0_clk,cell,cell
clkbuf_4_1_0_clk,clkbuf_6_4_0_clk,cell,cell
clkbuf_4_2_0_clk,clkbuf_6_11_0_clk,cell,cell
clkbuf_4_2_0_clk,clkbuf_6_10_0_clk,cell,cell
clkbuf_4_2_0_clk,clkbuf_6_9_0_clk,cell,cell
clkbuf_4_2_0_clk,clkbuf_6_8_0_clk,cell,cell
clkbuf_4_3_0_clk,clkbuf_6_15_0_clk,cell,cell
clkbuf_4_3_0_clk,clkbuf_6_14_0_clk,cell,cell
clkbuf_4_3_0_clk,clkbuf_6_13_0_clk,cell,cell
clkbuf_4_3_0_clk,clkbuf_6_12_0_clk,cell,cell
clkbuf_4_4_0_clk,clkbuf_6_19_0_clk,cell,cell
clkbuf_4_4_0_clk,clkbuf_6_18_0_clk,cell,cell
clkbuf_4_4_0_clk,clkbuf_6_17_0_clk,cell,cell
clkbuf_4_4_0_clk,clkbuf_6_16_0_clk,cell,cell
clkbuf_4_5_0_clk,clkbuf_6_23_0_clk,cell,cell
clkbuf_4_5_0_clk,clkbuf_6_22_0_clk,cell,cell
clkbuf_4_5_0_clk,clkbuf_6_21_0_clk,cell,cell
clkbuf_4_5_0_clk,clkbuf_6_20_0_clk,cell,cell
clkbuf_4_6_0_clk,clkbuf_6_27_0_clk,cell,cell
clkbuf_4_6_0_clk,clkbuf_6_26_0_clk,cell,cell
clkbuf_4_6_0_clk,clkbuf_6_25_0_clk,cell,cell
clkbuf_4_6_0_clk,clkbuf_6_24_0_clk,cell,cell
clkbuf_4_7_0_clk,clkbuf_6_31_0_clk,cell,cell
clkbuf_4_7_0_clk,clkbuf_6_30_0_clk,cell,cell
clkbuf_4_7_0_clk,clkbuf_6_29_0_clk,cell,cell
clkbuf_4_7_0_clk,clkbuf_6_28_0_clk,cell,cell
clkbuf_4_8_0_clk,clkbuf_6_35_0_clk,cell,cell
clkbuf_4_8_0_clk,clkbuf_6_34_0_clk,cell,cell
clkbuf_4_8_0_clk,clkbuf_6_33_0_clk,cell,cell
clkbuf_4_8_0_clk,clkbuf_6_32_0_clk,cell,cell
clkbuf_4_9_0_clk,clkbuf_6_39_0_clk,cell,cell
clkbuf_4_9_0_clk,clkbuf_6_38_0_clk,cell,cell
clkbuf_4_9_0_clk,clkbuf_6_37_0_clk,cell,cell
clkbuf_4_9_0_clk,clkbuf_6_36_0_clk,cell,cell
clkbuf_6_0_0_clk,clkbuf_leaf_453_clk,cell,cell
clkbuf_6_0_0_clk,clkbuf_leaf_452_clk,cell,cell
clkbuf_6_0_0_clk,clkbuf_leaf_3_clk,cell,cell
clkbuf_6_0_0_clk,clkbuf_leaf_2_clk,cell,cell
clkbuf_6_0_0_clk,clkbuf_leaf_1_clk,cell,cell
clkbuf_6_0_0_clk,clkbuf_leaf_0_clk,cell,cell
clkbuf_6_10_0_clk,clkbuf_leaf_444_clk,cell,cell
clkbuf_6_10_0_clk,clkbuf_leaf_438_clk,cell,cell
clkbuf_6_10_0_clk,clkbuf_leaf_437_clk,cell,cell
clkbuf_6_10_0_clk,clkbuf_leaf_436_clk,cell,cell
clkbuf_6_10_0_clk,clkbuf_leaf_427_clk,cell,cell
clkbuf_6_10_0_clk,clkbuf_leaf_426_clk,cell,cell
clkbuf_6_10_0_clk,clkbuf_leaf_95_clk,cell,cell
clkbuf_6_11_0_clk,clkbuf_leaf_94_clk,cell,cell
clkbuf_6_11_0_clk,clkbuf_leaf_93_clk,cell,cell
clkbuf_6_11_0_clk,clkbuf_leaf_92_clk,cell,cell
clkbuf_6_11_0_clk,clkbuf_leaf_91_clk,cell,cell
clkbuf_6_11_0_clk,clkbuf_leaf_74_clk,cell,cell
clkbuf_6_11_0_clk,clkbuf_leaf_73_clk,cell,cell
clkbuf_6_11_0_clk,clkbuf_leaf_72_clk,cell,cell
clkbuf_6_12_0_clk,clkbuf_leaf_139_clk,cell,cell
clkbuf_6_12_0_clk,clkbuf_leaf_80_clk,cell,cell
clkbuf_6_12_0_clk,clkbuf_leaf_78_clk,cell,cell
clkbuf_6_12_0_clk,clkbuf_leaf_76_clk,cell,cell
clkbuf_6_12_0_clk,clkbuf_leaf_63_clk,cell,cell
clkbuf_6_12_0_clk,clkbuf_leaf_62_clk,cell,cell
clkbuf_6_12_0_clk,clkbuf_leaf_61_clk,cell,cell
clkbuf_6_12_0_clk,clkbuf_leaf_60_clk,cell,cell
clkbuf_6_12_0_clk,clkbuf_leaf_59_clk,cell,cell
clkbuf_6_12_0_clk,clkbuf_leaf_58_clk,cell,cell
clkbuf_6_12_0_clk,clkbuf_leaf_57_clk,cell,cell
clkbuf_6_12_0_clk,clkbuf_leaf_55_clk,cell,cell
clkbuf_6_13_0_clk,clkbuf_leaf_120_clk,cell,cell
clkbuf_6_13_0_clk,clkbuf_leaf_85_clk,cell,cell
clkbuf_6_13_0_clk,clkbuf_leaf_83_clk,cell,cell
clkbuf_6_13_0_clk,clkbuf_leaf_82_clk,cell,cell
clkbuf_6_13_0_clk,clkbuf_leaf_81_clk,cell,cell
clkbuf_6_13_0_clk,clkbuf_leaf_79_clk,cell,cell
clkbuf_6_13_0_clk,clkbuf_leaf_77_clk,cell,cell
clkbuf_6_14_0_clk,clkbuf_leaf_425_clk,cell,cell
clkbuf_6_14_0_clk,clkbuf_leaf_424_clk,cell,cell
clkbuf_6_14_0_clk,clkbuf_leaf_418_clk,cell,cell
clkbuf_6_14_0_clk,clkbuf_leaf_105_clk,cell,cell
clkbuf_6_14_0_clk,clkbuf_leaf_104_clk,cell,cell
clkbuf_6_14_0_clk,clkbuf_leaf_103_clk,cell,cell
clkbuf_6_14_0_clk,clkbuf_leaf_102_clk,cell,cell
clkbuf_6_14_0_clk,clkbuf_leaf_101_clk,cell,cell
clkbuf_6_14_0_clk,clkbuf_leaf_99_clk,cell,cell
clkbuf_6_14_0_clk,clkbuf_leaf_98_clk,cell,cell
clkbuf_6_14_0_clk,clkbuf_leaf_97_clk,cell,cell
clkbuf_6_14_0_clk,clkbuf_leaf_96_clk,cell,cell
clkbuf_6_15_0_clk,clkbuf_leaf_112_clk,cell,cell
clkbuf_6_15_0_clk,clkbuf_leaf_100_clk,cell,cell
clkbuf_6_15_0_clk,clkbuf_leaf_90_clk,cell,cell
clkbuf_6_15_0_clk,clkbuf_leaf_89_clk,cell,cell
clkbuf_6_15_0_clk,clkbuf_leaf_88_clk,cell,cell
clkbuf_6_15_0_clk,clkbuf_leaf_87_clk,cell,cell
clkbuf_6_15_0_clk,clkbuf_leaf_86_clk,cell,cell
clkbuf_6_15_0_clk,clkbuf_leaf_84_clk,cell,cell
clkbuf_6_16_0_clk,clkbuf_leaf_163_clk,cell,cell
clkbuf_6_16_0_clk,clkbuf_leaf_162_clk,cell,cell
clkbuf_6_16_0_clk,clkbuf_leaf_161_clk,cell,cell
clkbuf_6_16_0_clk,clkbuf_leaf_160_clk,cell,cell
clkbuf_6_16_0_clk,clkbuf_leaf_159_clk,cell,cell
clkbuf_6_16_0_clk,clkbuf_leaf_157_clk,cell,cell
clkbuf_6_16_0_clk,clkbuf_leaf_38_clk,cell,cell
clkbuf_6_16_0_clk,clkbuf_leaf_37_clk,cell,cell
clkbuf_6_16_0_clk,clkbuf_leaf_34_clk,cell,cell
clkbuf_6_16_0_clk,clkbuf_leaf_33_clk,cell,cell
clkbuf_6_17_0_clk,clkbuf_leaf_171_clk,cell,cell
clkbuf_6_17_0_clk,clkbuf_leaf_168_clk,cell,cell
clkbuf_6_17_0_clk,clkbuf_leaf_167_clk,cell,cell
clkbuf_6_17_0_clk,clkbuf_leaf_166_clk,cell,cell
clkbuf_6_17_0_clk,clkbuf_leaf_165_clk,cell,cell
clkbuf_6_17_0_clk,clkbuf_leaf_164_clk,cell,cell
clkbuf_6_17_0_clk,clkbuf_leaf_158_clk,cell,cell
clkbuf_6_17_0_clk,clkbuf_leaf_154_clk,cell,cell
clkbuf_6_18_0_clk,clkbuf_leaf_156_clk,cell,cell
clkbuf_6_18_0_clk,clkbuf_leaf_155_clk,cell,cell
clkbuf_6_18_0_clk,clkbuf_leaf_148_clk,cell,cell
clkbuf_6_18_0_clk,clkbuf_leaf_146_clk,cell,cell
clkbuf_6_18_0_clk,clkbuf_leaf_145_clk,cell,cell
clkbuf_6_18_0_clk,clkbuf_leaf_144_clk,cell,cell
clkbuf_6_18_0_clk,clkbuf_leaf_143_clk,cell,cell
clkbuf_6_18_0_clk,clkbuf_leaf_54_clk,cell,cell
clkbuf_6_18_0_clk,clkbuf_leaf_53_clk,cell,cell
clkbuf_6_18_0_clk,clkbuf_leaf_52_clk,cell,cell
clkbuf_6_18_0_clk,clkbuf_leaf_51_clk,cell,cell
clkbuf_6_18_0_clk,clkbuf_leaf_50_clk,cell,cell
clkbuf_6_18_0_clk,clkbuf_leaf_41_clk,cell,cell
clkbuf_6_18_0_clk,clkbuf_leaf_40_clk,cell,cell
clkbuf_6_18_0_clk,clkbuf_leaf_39_clk,cell,cell
clkbuf_6_19_0_clk,clkbuf_leaf_179_clk,cell,cell
clkbuf_6_19_0_clk,clkbuf_leaf_170_clk,cell,cell
clkbuf_6_19_0_clk,clkbuf_leaf_169_clk,cell,cell
clkbuf_6_19_0_clk,clkbuf_leaf_153_clk,cell,cell
clkbuf_6_19_0_clk,clkbuf_leaf_152_clk,cell,cell
clkbuf_6_19_0_clk,clkbuf_leaf_151_clk,cell,cell
clkbuf_6_19_0_clk,clkbuf_leaf_150_clk,cell,cell
clkbuf_6_19_0_clk,clkbuf_leaf_149_clk,cell,cell
clkbuf_6_19_0_clk,clkbuf_leaf_147_clk,cell,cell
clkbuf_6_19_0_clk,clkbuf_leaf_134_clk,cell,cell
clkbuf_6_19_0_clk,clkbuf_leaf_133_clk,cell,cell
clkbuf_6_1_0_clk,clkbuf_leaf_21_clk,cell,cell
clkbuf_6_1_0_clk,clkbuf_leaf_20_clk,cell,cell
clkbuf_6_1_0_clk,clkbuf_leaf_19_clk,cell,cell
clkbuf_6_1_0_clk,clkbuf_leaf_18_clk,cell,cell
clkbuf_6_1_0_clk,clkbuf_leaf_7_clk,cell,cell
clkbuf_6_1_0_clk,clkbuf_leaf_6_clk,cell,cell
clkbuf_6_1_0_clk,clkbuf_leaf_5_clk,cell,cell
clkbuf_6_1_0_clk,clkbuf_leaf_4_clk,cell,cell
clkbuf_6_20_0_clk,clkbuf_leaf_191_clk,cell,cell
clkbuf_6_20_0_clk,clkbuf_leaf_190_clk,cell,cell
clkbuf_6_20_0_clk,clkbuf_leaf_189_clk,cell,cell
clkbuf_6_20_0_clk,clkbuf_leaf_176_clk,cell,cell
clkbuf_6_20_0_clk,clkbuf_leaf_175_clk,cell,cell
clkbuf_6_20_0_clk,clkbuf_leaf_174_clk,cell,cell
clkbuf_6_20_0_clk,clkbuf_leaf_173_clk,cell,cell
clkbuf_6_20_0_clk,clkbuf_leaf_172_clk,cell,cell
clkbuf_6_21_0_clk,clkbuf_leaf_200_clk,cell,cell
