cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FILLER_0_0_1003,0,0,0,56214,2160,56322,2430,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1005,0,0,0,56322,2160,56376,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1022,0,0,0,57240,2160,57996,2430,0,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1036,0,0,0,57996,2160,58212,2430,0,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1040,0,0,0,58212,2160,58266,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1044,0,0,0,58428,2160,58536,2430,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1046,0,0,0,58536,2160,58590,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1053,0,0,0,58914,2160,59670,2430,0,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1067,0,0,0,59670,2160,59778,2430,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1075,0,0,0,60102,2160,60858,2430,0,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1089,0,0,0,60858,2160,61074,2430,0,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1099,0,0,0,61398,2160,62586,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_112,0,0,0,8100,2160,9288,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1121,0,0,0,62586,2160,63774,2430,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1143,0,0,0,63774,2160,64314,2430,0,0,0,DECAPx4_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1158,0,0,0,64584,2160,64800,2430,0,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1172,0,0,0,65340,2160,65448,2430,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_1174,0,0,0,65448,2160,65502,2430,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
