src,tar,src_type,tar_type,is_net,arc_delay
_19143_/A,_19143_/Y,pin,pin,0,1.9377832671807482e-11
_19144_/A,_19144_/Y,pin,pin,0,2.143371591323273e-11
_19145_/A,_19145_/Y,pin,pin,0,2.2895537896139295e-11
_19146_/A,_19146_/Y,pin,pin,0,1.9565658121445395e-11
_19147_/A,_19147_/Y,pin,pin,0,2.1691344900820475e-11
_19148_/A,_19148_/Y,pin,pin,0,2.1192179955331625e-11
_19149_/A,_19149_/Y,pin,pin,0,2.0864423036504043e-11
_19150_/A,_19150_/Y,pin,pin,0,2.4665507483701e-11
_19151_/A,_19151_/Y,pin,pin,0,2.007143062865424e-11
_19152_/A,_19152_/Y,pin,pin,0,2.05934783115147e-11
_19153_/A,_19153_/Y,pin,pin,0,2.103958327004385e-11
_19154_/A,_19154_/Y,pin,pin,0,2.0892704233332893e-11
_19155_/A,_19155_/Y,pin,pin,0,1.6302017027958193e-11
_19156_/A,_19156_/Y,pin,pin,0,2.1254296933559402e-11
_19157_/A,_19157_/Y,pin,pin,0,2.1196863708716762e-11
_19158_/A,_19158_/Y,pin,pin,0,2.1391785912094896e-11
_19159_/A,_19159_/Y,pin,pin,0,2.0944293174784967e-11
_19160_/A,_19160_/Y,pin,pin,0,2.041205052205619e-11
_19160_/B,_19160_/Y,pin,pin,0,2.6630322946807894e-11
_19161_/A1,_19161_/Y,pin,pin,0,2.3803627471896682e-11
_19161_/A2,_19161_/Y,pin,pin,0,1.906164809328814e-11
_19161_/B,_19161_/Y,pin,pin,0,1.78550663837429e-11
_19162_/A,_19162_/Y,pin,pin,0,2.3722860481578678e-11
_19163_/A,_19163_/Y,pin,pin,0,1.5282226872859184e-11
_19163_/B,_19163_/Y,pin,pin,0,1.3666538387080429e-11
_19164_/A,_19164_/Y,pin,pin,0,2.253099443128015e-11
_19165_/A1,_19165_/Y,pin,pin,0,1.190246946142226e-11
_19165_/A2,_19165_/Y,pin,pin,0,9.362708525140206e-12
_19165_/B1,_19165_/Y,pin,pin,0,1.216217404564901e-11
_19165_/B2,_19165_/Y,pin,pin,0,1.906276178575972e-11
_19166_/A,_19166_/Y,pin,pin,0,2.7240903976988307e-11
_19167_/A,_19167_/Y,pin,pin,0,2.1670949756913416e-11
_19168_/A,_19168_/Y,pin,pin,0,2.2742838862166437e-11
_19169_/A,_19169_/Y,pin,pin,0,2.027938060533696e-11
_19170_/A,_19170_/Y,pin,pin,0,1.4334767747814503e-11
_19171_/A,_19171_/Y,pin,pin,0,2.4611134311069982e-11
_19172_/A,_19172_/Y,pin,pin,0,1.517545984708324e-11
_19172_/B,_19172_/Y,pin,pin,0,1.5507293366079367e-11
_19173_/A,_19173_/Y,pin,pin,0,2.1322846266436102e-11
_19174_/A,_19174_/Y,pin,pin,0,2.1492243748588713e-11
_19175_/A,_19175_/Y,pin,pin,0,1.8954652084013368e-11
_19176_/A1,_19176_/Y,pin,pin,0,2.513172135676367e-11
_19176_/A2,_19176_/Y,pin,pin,0,2.4826455127802127e-11
_19176_/B,_19176_/Y,pin,pin,0,2.7043549691296853e-11
_19176_/C,_19176_/Y,pin,pin,0,3.1965378261000765e-11
_19177_/A,_19177_/Y,pin,pin,0,1.3881504452861737e-11
_19178_/A,_19178_/Y,pin,pin,0,2.2024526299957436e-11
_19179_/A,_19179_/Y,pin,pin,0,1.4390541709652371e-11
_19179_/B,_19179_/Y,pin,pin,0,1.5160038155381805e-11
_19180_/A1,_19180_/Y,pin,pin,0,2.544081265098974e-11
_19180_/A2,_19180_/Y,pin,pin,0,2.4799771611294652e-11
_19180_/B,_19180_/Y,pin,pin,0,2.7293526813632063e-11
_19180_/C,_19180_/Y,pin,pin,0,3.0999265654418906e-11
_19181_/A,_19181_/Y,pin,pin,0,3.330007797286427e-11
_19181_/B,_19181_/Y,pin,pin,0,3.0434751940866533e-11
_19181_/C,_19181_/Y,pin,pin,0,3.092406192228836e-11
_19182_/A,_19182_/Y,pin,pin,0,2.562144767181973e-11
_19183_/A,_19183_/Y,pin,pin,0,2.1282224246799153e-11
_19184_/A1,_19184_/Y,pin,pin,0,2.392430351050301e-11
_19184_/A2,_19184_/Y,pin,pin,0,2.367000519198914e-11
_19184_/B,_19184_/Y,pin,pin,0,2.9076812138595365e-11
_19184_/C,_19184_/Y,pin,pin,0,3.067001513867851e-11
_19185_/A,_19185_/Y,pin,pin,0,1.748774042242829e-11
_19186_/A,_19186_/Y,pin,pin,0,2.1716940745708513e-11
_19187_/A,_19187_/Y,pin,pin,0,2.4392347516832835e-11
_19188_/A,_19188_/Y,pin,pin,0,2.1722679210967044e-11
_19189_/A,_19189_/Y,pin,pin,0,2.111857563824593e-11
_19190_/A,_19190_/Y,pin,pin,0,1.553841950940882e-11
_19191_/A,_19191_/Y,pin,pin,0,2.0910868522849846e-11
_19192_/A,_19192_/Y,pin,pin,0,1.3955046319902298e-11
_19192_/B,_19192_/Y,pin,pin,0,1.3300494386414563e-11
_19193_/A,_19193_/Y,pin,pin,0,1.9696883013509137e-11
_19194_/A1,_19194_/Y,pin,pin,0,2.3951689590018255e-11
_19194_/A2,_19194_/Y,pin,pin,0,2.497036084847526e-11
_19194_/B,_19194_/Y,pin,pin,0,2.6462870089671853e-11
_19194_/C,_19194_/Y,pin,pin,0,3.021053893159653e-11
_19195_/A,_19195_/Y,pin,pin,0,2.016377342872744e-11
_19196_/A,_19196_/Y,pin,pin,0,1.9205487894469186e-11
_19197_/A,_19197_/Y,pin,pin,0,1.6041263803390216e-11
_19198_/A,_19198_/Y,pin,pin,0,2.1446316944562227e-11
_19199_/A,_19199_/Y,pin,pin,0,1.3294059429680427e-11
_19199_/B,_19199_/Y,pin,pin,0,1.3514595692543097e-11
_19200_/A,_19200_/Y,pin,pin,0,2.049117299451897e-11
_19201_/A1,_19201_/Y,pin,pin,0,2.685774692923193e-11
_19201_/A2,_19201_/Y,pin,pin,0,2.5165798264725758e-11
_19201_/B,_19201_/Y,pin,pin,0,2.6549843920586902e-11
_19201_/C,_19201_/Y,pin,pin,0,3.025338660145316e-11
_19202_/A,_19202_/Y,pin,pin,0,2.4953702298935454e-11
_19202_/B,_19202_/Y,pin,pin,0,2.3849214270121877e-11
_19202_/C,_19202_/Y,pin,pin,0,2.4246224819557405e-11
_19203_/A,_19203_/Y,pin,pin,0,2.8059379472700208e-11
_19204_/A,_19204_/Y,pin,pin,0,2.1321912985206026e-11
_19205_/A,_19205_/Y,pin,pin,0,1.3191436658288591e-11
_19206_/A,_19206_/Y,pin,pin,0,1.3033352175284563e-11
_19206_/B,_19206_/Y,pin,pin,0,1.3685942136520968e-11
_19207_/A1,_19207_/Y,pin,pin,0,2.385939709692586e-11
_19207_/A2,_19207_/Y,pin,pin,0,2.3849694788524722e-11
_19207_/B,_19207_/Y,pin,pin,0,2.6468240793553477e-11
_19207_/C,_19207_/Y,pin,pin,0,3.0095894526516176e-11
_19208_/A,_19208_/Y,pin,pin,0,1.3543728638598651e-11
_19209_/A,_19209_/Y,pin,pin,0,2.4319270555683836e-11
_19210_/A,_19210_/Y,pin,pin,0,1.3311107424640589e-11
_19210_/B,_19210_/Y,pin,pin,0,1.3966554475441928e-11
_19211_/A1,_19211_/Y,pin,pin,0,2.6441779321650927e-11
_19211_/A2,_19211_/Y,pin,pin,0,2.3696615850110625e-11
_19211_/B,_19211_/Y,pin,pin,0,2.6196576158321605e-11
_19211_/C,_19211_/Y,pin,pin,0,2.982106228621717e-11
_19212_/A,_19212_/Y,pin,pin,0,2.5682234117141434e-11
_19212_/B,_19212_/Y,pin,pin,0,2.3553551470323342e-11
_19212_/C,_19212_/Y,pin,pin,0,2.387390285463198e-11
_19213_/A,_19213_/Y,pin,pin,0,3.204711149229489e-11
_19213_/B,_19213_/Y,pin,pin,0,2.8498705131885238e-11
_19213_/C,_19213_/Y,pin,pin,0,2.862847285622916e-11
_19214_/A,_19214_/Y,pin,pin,0,4.597477606949063e-11
_19214_/B,_19214_/Y,pin,pin,0,4.43699174623724e-11
_19214_/C,_19214_/Y,pin,pin,0,4.709156328774888e-11
_19215_/A,_19215_/Y,pin,pin,0,1.2829070271391796e-11
_19216_/A,_19216_/Y,pin,pin,0,1.276520208981502e-11
_19216_/B,_19216_/Y,pin,pin,0,1.311558847638672e-11
_19217_/A,_19217_/Y,pin,pin,0,2.079145536293403e-11
_19218_/A1,_19218_/Y,pin,pin,0,2.6393755236941985e-11
_19218_/A2,_19218_/Y,pin,pin,0,2.3832042242433182e-11
_19218_/B,_19218_/Y,pin,pin,0,2.5957399424347827e-11
_19218_/C,_19218_/Y,pin,pin,0,3.054389380308109e-11
_19219_/A,_19219_/Y,pin,pin,0,1.1235003379017616e-11
_19220_/A,_19220_/Y,pin,pin,0,1.303253425316564e-11
_19220_/B,_19220_/Y,pin,pin,0,1.410203898100093e-11
_19221_/A1,_19221_/Y,pin,pin,0,2.673674823205907e-11
_19221_/A2,_19221_/Y,pin,pin,0,2.3439576668504714e-11
_19221_/B,_19221_/Y,pin,pin,0,2.652938112246428e-11
_19221_/C,_19221_/Y,pin,pin,0,3.0054105037979895e-11
_19222_/A,_19222_/Y,pin,pin,0,2.5361742220231243e-11
_19222_/B,_19222_/Y,pin,pin,0,2.413493536967959e-11
_19222_/C,_19222_/Y,pin,pin,0,2.4613833540798602e-11
_19223_/A,_19223_/Y,pin,pin,0,1.2195498083622525e-11
_19224_/A,_19224_/Y,pin,pin,0,1.2769812117452428e-11
_19224_/B,_19224_/Y,pin,pin,0,1.3006256661951543e-11
_19225_/A1,_19225_/Y,pin,pin,0,2.6540658559781605e-11
_19225_/A2,_19225_/Y,pin,pin,0,2.4143836235834826e-11
_19225_/B,_19225_/Y,pin,pin,0,2.612727048600938e-11
_19225_/C,_19225_/Y,pin,pin,0,3.071299117807236e-11
_19226_/A,_19226_/Y,pin,pin,0,1.2865175938459039e-11
_19227_/A,_19227_/Y,pin,pin,0,1.3083037257721752e-11
