pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_19143_/A,37943,30915,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19143_,_00422_,1.9082305180440073e-11,1.1618610240571314e-10,2.3031544726936914e-10,2.310225483137529e-10,2.5975000128634863e-15
_19143_/Y,38788,30915,0,-1,0,0,1,7.372800286953307e-13,3.199999987213431e-10,0,_19143_,_13534_,1.6954583570427673e-11,1.1618608852792534e-10,2.4844074020258233e-10,2.504003671077726e-10,-1
_19144_/A,24192,58422,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19144_,_13534_,5.388239507353454e-11,1.1618608852792534e-10,2.649192254455812e-10,2.667127074751363e-10,4.045029980051908e-15
_19144_/Y,24192,58446,0,-1,0,0,1,1.8432000717383268e-13,3.199999987213431e-10,0,_19144_,_13535_,2.9472990020762424e-11,1.1618606077234972e-10,2.8814642338836904e-10,2.8293589693362264e-10,-1
_19145_/A,27795,57375,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19145_,_13535_,2.9741369089730796e-11,1.1618606077234972e-10,2.897499740139864e-10,2.8453139844231146e-10,1.3331600846392387e-15
_19145_/Y,28168,57375,0,-1,0,0,1,1.8432000717383268e-13,3.199999987213431e-10,0,_19145_,_13536_,2.247527684795525e-11,1.1618606077234972e-10,3.122258007692835e-10,3.0742694501206813e-10,-1
_19146_/A,32761,52785,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19146_,_00426_,5.646384401702953e-11,3.394984293692005e-11,2.516128139173901e-10,2.523274089671901e-10,6.837159952986067e-16
_19146_/Y,32848,52785,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_19146_,_13537_,2.4247322899517698e-11,3.394984293692005e-11,2.718930636191885e-10,2.682815636312341e-10,-1
_19147_/A,32871,53055,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19147_,_13537_,2.4247322899517698e-11,3.394984293692005e-11,2.719023894925954e-10,2.6829086174906536e-10,1.3331600846392387e-15
_19147_/Y,33244,53055,0,-1,0,0,1,1.8432000717383268e-13,3.199999987213431e-10,0,_19147_,_13538_,2.1380742662446828e-11,3.394984293692005e-11,2.933146503458772e-10,2.8998220491516236e-10,-1
_19148_/A,21315,56835,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19148_,_13538_,2.3173079774507777e-11,3.394984293692005e-11,2.9660388034535856e-10,2.9323246608647935e-10,1.3331600846392387e-15
_19148_/Y,21688,56835,0,-1,0,0,1,1.8432000717383268e-13,3.199999987213431e-10,0,_19148_,_13539_,1.909294423951824e-11,3.394984293692005e-11,3.17400217220154e-10,3.144246529807049e-10,-1
_19149_/A,19479,55755,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19149_,_13539_,1.9195313741282582e-11,3.394984293692005e-11,3.1822933177494406e-10,3.152513528004164e-10,1.3331600846392387e-15
_19149_/Y,19852,55755,0,-1,0,0,1,1.8432000717383268e-13,3.199999987213431e-10,0,_19149_,_13540_,2.1516101400553822e-11,3.394984293692005e-11,3.390937530767246e-10,3.3603228533074514e-10,-1
_19150_/A,32493,51975,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19150_,_00429_,3.981711835243651e-11,1.517935777073376e-11,2.4511889740175263e-10,2.46033776685195e-10,1.3331600846392387e-15
_19150_/Y,32866,51975,0,-1,0,0,1,1.8432000717383268e-13,3.199999987213431e-10,0,_19150_,_13541_,1.8457600031718258e-11,1.517935777073376e-11,2.683257782631898e-10,2.706992963119603e-10,-1
_19151_/A,26283,54675,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19151_,_13541_,1.9861607150617466e-11,2.699343526479936e-11,2.710171254083349e-10,2.7336763408492004e-10,1.3331600846392387e-15
_19151_/Y,26656,54675,0,-1,0,0,1,1.8432000717383268e-13,3.199999987213431e-10,0,_19151_,_13542_,1.794346268790825e-11,2.6993463020374975e-11,2.9082844466010727e-10,2.934390508357865e-10,-1
_19152_/A,24879,56295,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19152_,_13542_,1.7967554527542617e-11,2.6993463020374975e-11,2.9126923095645907e-10,2.9387886568699173e-10,1.3331600846392387e-15
_19152_/Y,25252,56295,0,-1,0,0,1,1.8432000717383268e-13,3.199999987213431e-10,0,_19152_,_13543_,2.3165495563470806e-11,2.6993463020374975e-11,3.1186270232907987e-10,3.14288095548676e-10,-1
_19153_/A,19047,57375,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19153_,_13543_,2.3196063125840993e-11,2.6993463020374975e-11,3.124321634739857e-10,3.148560578924986e-10,1.3331600846392387e-15
_19153_/Y,19420,57375,0,-1,0,0,1,1.8432000717383268e-13,3.199999987213431e-10,0,_19153_,_13544_,2.156165697375645e-11,2.6993463020374975e-11,3.33326283241675e-10,3.358956446319894e-10,-1
_19154_/A,37515,42795,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19154_,_00428_,2.1145422218760146e-11,-3.471607723515291e-11,2.351895067587151e-10,2.360041329030338e-10,1.0899499263073353e-15
_19154_/Y,37815,42795,0,-1,0,0,1,1.8432000717383268e-13,3.199999987213431e-10,0,_19154_,_13545_,2.227586864966824e-11,-3.471607723515291e-11,2.5536112113755394e-10,2.568968371363667e-10,-1
_19155_/A,33301,52515,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19155_,_13545_,2.5935413539013297e-11,5.5674548304907034e-11,2.600153981013875e-10,2.614476690698808e-10,6.837159952986067e-16
_19155_/Y,33388,52515,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_19155_,_13546_,2.116834138532475e-11,5.5674548304907034e-11,2.7774968436311553e-10,2.7484464704130573e-10,-1
_19156_/A,33465,52515,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19156_,_13546_,2.116834138532475e-11,5.612640907592947e-11,2.7775895472537115e-10,2.7485388964798574e-10,1.3331600846392387e-15
_19156_/Y,33838,52515,0,-1,0,0,1,1.8432000717383268e-13,3.199999987213431e-10,0,_19156_,_13547_,1.960218619367904e-11,5.612640907592947e-11,2.988970460027218e-10,2.9610819352043904e-10,-1
_19157_/A,32709,52245,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19157_,_13545_,2.611584386247312e-11,-3.471607723515291e-11,2.601282800274163e-10,2.6155921872828003e-10,1.3331600846392387e-15
_19157_/Y,33082,52245,0,-1,0,0,1,1.8432000717383268e-13,3.199999987213431e-10,0,_19157_,_13548_,1.5119456034384804e-11,-3.471609111294072e-11,2.805882470813259e-10,2.827560963147846e-10,-1
_19158_/A,29523,52245,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19158_,_13548_,1.516771083731605e-11,-1.266717286618757e-11,2.810678911835396e-10,2.832357404169983e-10,1.3353999573891343e-15
_19158_/Y,30039,52245,0,-1,0,0,1,3.6864001434766536e-13,3.199999987213431e-10,0,_19158_,_13549_,1.6217758039283048e-11,-1.266717286618757e-11,3.0211058654749934e-10,3.046275176554758e-10,-1
_19159_/A,32223,48465,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19159_,_13549_,1.6270247302219154e-11,9.416911694870578e-13,3.026947859030571e-10,3.0521096761049193e-10,1.3353999573891343e-15
_19159_/Y,32739,48465,0,-1,0,0,1,3.6864001434766536e-13,3.199999987213431e-10,0,_19159_,_13550_,1.7055063958326677e-11,9.416911694870578e-13,3.232085710180854e-10,3.261552694588943e-10,-1
_19160_/A,27243,48465,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19160_,_13550_,1.8194218701084175e-11,3.6322667096300165e-11,3.2549560269323763e-10,3.283922023200603e-10,5.225650124681606e-16
_19160_/B,27147,48465,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19160_,_01843_,4.488516155976008e-11,1.475204125522822e-10,2.076687433127944e-10,2.0520704580029303e-10,5.65708000361848e-16
_19160_/Y,27356,48465,0,-1,0,0,1,9.216000358691634e-14,3.199999987213431e-10,0,_19160_,_13551_,9.542634044068521e-12,3.6322667096300165e-11,3.444578788869279e-10,3.488042632504573e-10,-1
_19161_/A1,27364,51148,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19161_,_00431_,3.685714927703643e-11,1.7614198988269436e-10,1.9988111166213685e-10,1.9753747249051656e-10,6.200080003576506e-16
_19161_/A2,27459,51183,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19161_,_13547_,2.0045708148952457e-11,7.591410833285295e-11,3.005025950297835e-10,2.9770472198542564e-10,6.341729852741434e-16
_19161_/B,27513,51183,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_19161_,_13551_,9.546426149587006e-12,3.6322667096300165e-11,3.445567720028464e-10,3.4890390576691743e-10,6.344629881794596e-16
_19161_/Y,27598,51112,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_19161_,_13552_,1.2258057416336676e-11,3.6322667096300165e-11,3.583140451013378e-10,3.6675898429372467e-10,-1
