src,tar,src_type,tar_type
_000001_,_073100_,net,cell
_073100_,_019510_,cell,net
_019510_,_073101_,net,cell
_073101_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.x\[0\],cell,net
_064344_,_073102_,net,cell
_073102_,_019511_,cell,net
_019511_,_073103_,net,cell
_073103_,_019512_,cell,net
_019512_,_073104_,net,cell
_073104_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.x\[2\],cell,net
_064334_,_073105_,net,cell
_073105_,_019513_,cell,net
_019513_,_073106_,net,cell
_073106_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.x\[1\],cell,net
_064342_,_073107_,net,cell
_073107_,_019514_,cell,net
_019514_,_073108_,net,cell
_073108_,_019515_,cell,net
_019515_,_073109_,net,cell
_073109_,_019516_,cell,net
_019516_,_073110_,net,cell
_073110_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.y\[0\],cell,net
_064346_,_073111_,net,cell
_073111_,_019517_,cell,net
_019517_,_073112_,net,cell
_073112_,_019518_,cell,net
_019518_,_073113_,net,cell
_073113_,_019519_,cell,net
_019519_,_073114_,net,cell
_073114_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.y\[1\],cell,net
_000003_,_073115_,net,cell
_073115_,_019520_,cell,net
_019520_,_073116_,net,cell
_073116_,_019521_,cell,net
_019521_,_073117_,net,cell
_073117_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.y\[2\],cell,net
_012804_,_073118_,net,cell
_073118_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.dout\[0\],cell,net
_012803_,_073119_,net,cell
_073119_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.dout\[1\],cell,net
_012802_,_073120_,net,cell
_073120_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.dout\[2\],cell,net
_012801_,_073121_,net,cell
_073121_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.dout\[3\],cell,net
_012800_,_073122_,net,cell
_073122_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.dout\[4\],cell,net
_012799_,_073123_,net,cell
_073123_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.dout\[5\],cell,net
_012798_,_073124_,net,cell
_073124_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.dout\[6\],cell,net
_012797_,_073125_,net,cell
_073125_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.dout\[7\],cell,net
_012796_,_073126_,net,cell
_073126_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.dout\[8\],cell,net
_012795_,_073127_,net,cell
_073127_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.dout\[9\],cell,net
_012794_,_073128_,net,cell
_073128_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.dout\[10\],cell,net
_012772_,_073129_,net,cell
_073129_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.dout\[0\],cell,net
_012771_,_073130_,net,cell
_073130_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.dout\[1\],cell,net
_012770_,_073131_,net,cell
_073131_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.dout\[2\],cell,net
_012769_,_073132_,net,cell
_073132_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.dout\[3\],cell,net
_012768_,_073133_,net,cell
_073133_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.dout\[4\],cell,net
_012767_,_073134_,net,cell
_073134_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.dout\[5\],cell,net
_012766_,_073135_,net,cell
_073135_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.dout\[6\],cell,net
_012765_,_073136_,net,cell
_073136_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.dout\[7\],cell,net
_012764_,_073137_,net,cell
_073137_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.dout\[8\],cell,net
_012763_,_073138_,net,cell
_073138_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.dout\[9\],cell,net
_012762_,_073139_,net,cell
_073139_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.dout\[10\],cell,net
_012495_,_073140_,net,cell
_073140_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_0.dout\[0\],cell,net
_012494_,_073141_,net,cell
_073141_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_0.dout\[1\],cell,net
_012493_,_073142_,net,cell
_073142_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_0.dout\[2\],cell,net
_012492_,_073143_,net,cell
_073143_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_0.dout\[3\],cell,net
_012491_,_073144_,net,cell
_073144_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_0.dout\[4\],cell,net
_012490_,_073145_,net,cell
_073145_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_0.dout\[5\],cell,net
_012489_,_073146_,net,cell
_073146_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_0.dout\[6\],cell,net
_012488_,_073147_,net,cell
_073147_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_0.dout\[7\],cell,net
_012487_,_073148_,net,cell
_073148_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_0.dout\[8\],cell,net
_012486_,_073149_,net,cell
_073149_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_0.dout\[9\],cell,net
_012485_,_073150_,net,cell
_073150_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_0.dout\[10\],cell,net
_012120_,_073151_,net,cell
_073151_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_0.dout\[0\],cell,net
_012119_,_073152_,net,cell
_073152_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_0.dout\[1\],cell,net
_012118_,_073153_,net,cell
_073153_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_0.dout\[2\],cell,net
_012117_,_073154_,net,cell
_073154_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_0.dout\[3\],cell,net
_012116_,_073155_,net,cell
_073155_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_0.dout\[4\],cell,net
_012115_,_073156_,net,cell
_073156_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_0.dout\[5\],cell,net
_012114_,_073157_,net,cell
_073157_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_0.dout\[6\],cell,net
_012113_,_073158_,net,cell
_073158_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_0.dout\[7\],cell,net
_012112_,_073159_,net,cell
_073159_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_0.dout\[8\],cell,net
_012111_,_073160_,net,cell
_073160_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_0.dout\[9\],cell,net
_012110_,_073161_,net,cell
_073161_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_0.dout\[10\],cell,net
_012449_,_073162_,net,cell
_073162_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_1.dout\[0\],cell,net
_012448_,_073163_,net,cell
_073163_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_1.dout\[1\],cell,net
_012447_,_073164_,net,cell
_073164_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_1.dout\[2\],cell,net
_012446_,_073165_,net,cell
_073165_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_1.dout\[3\],cell,net
_012445_,_073166_,net,cell
_073166_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_1.dout\[4\],cell,net
_012444_,_073167_,net,cell
_073167_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_1.dout\[5\],cell,net
_012443_,_073168_,net,cell
_073168_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_1.dout\[6\],cell,net
_012442_,_073169_,net,cell
_073169_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_1.dout\[7\],cell,net
_012441_,_073170_,net,cell
_073170_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_1.dout\[8\],cell,net
_012440_,_073171_,net,cell
_073171_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_1.dout\[9\],cell,net
_012439_,_073172_,net,cell
_073172_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_1.dout\[10\],cell,net
_012730_,_073173_,net,cell
_073173_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_2.dout\[0\],cell,net
_012729_,_073174_,net,cell
_073174_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_2.dout\[1\],cell,net
_012728_,_073175_,net,cell
_073175_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_2.dout\[2\],cell,net
_012727_,_073176_,net,cell
_073176_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_2.dout\[3\],cell,net
_012726_,_073177_,net,cell
_073177_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_2.dout\[4\],cell,net
_012725_,_073178_,net,cell
_073178_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_2.dout\[5\],cell,net
_012724_,_073179_,net,cell
_073179_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_2.dout\[6\],cell,net
_012723_,_073180_,net,cell
_073180_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_2.dout\[7\],cell,net
_012722_,_073181_,net,cell
_073181_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_2.dout\[8\],cell,net
_012721_,_073182_,net,cell
_073182_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_2.dout\[9\],cell,net
_012720_,_073183_,net,cell
_073183_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_2.dout\[10\],cell,net
_012677_,_073184_,net,cell
_073184_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_3.dout\[0\],cell,net
_012676_,_073185_,net,cell
_073185_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_3.dout\[1\],cell,net
_012675_,_073186_,net,cell
_073186_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_3.dout\[2\],cell,net
_012674_,_073187_,net,cell
_073187_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_3.dout\[3\],cell,net
_012673_,_073188_,net,cell
_073188_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_3.dout\[4\],cell,net
_012672_,_073189_,net,cell
_073189_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_3.dout\[5\],cell,net
_012671_,_073190_,net,cell
_073190_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_3.dout\[6\],cell,net
_012670_,_073191_,net,cell
_073191_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_3.dout\[7\],cell,net
_012669_,_073192_,net,cell
_073192_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_3.dout\[8\],cell,net
_012668_,_073193_,net,cell
_073193_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_3.dout\[9\],cell,net
_012667_,_073194_,net,cell
_073194_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_3.dout\[10\],cell,net
_012400_,_073195_,net,cell
_073195_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_2.dout\[0\],cell,net
_012399_,_073196_,net,cell
_073196_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_2.dout\[1\],cell,net
_012398_,_073197_,net,cell
_073197_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_2.dout\[2\],cell,net
_012397_,_073198_,net,cell
_073198_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_2.dout\[3\],cell,net
_012396_,_073199_,net,cell
_073199_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_2.dout\[4\],cell,net
_012395_,_073200_,net,cell
_073200_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_2.dout\[5\],cell,net
_012394_,_073201_,net,cell
_073201_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_2.dout\[6\],cell,net
_012393_,_073202_,net,cell
_073202_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_2.dout\[7\],cell,net
_012392_,_073203_,net,cell
_073203_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_2.dout\[8\],cell,net
_012391_,_073204_,net,cell
_073204_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_2.dout\[9\],cell,net
_012390_,_073205_,net,cell
_073205_,fdct_zigzag.dct_mod.dct_block_1.dct_unit_2.dout\[10\],cell,net
_012067_,_073206_,net,cell
_073206_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_1.dout\[0\],cell,net
_012066_,_073207_,net,cell
_073207_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_1.dout\[1\],cell,net
_012065_,_073208_,net,cell
_073208_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_1.dout\[2\],cell,net
_012064_,_073209_,net,cell
_073209_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_1.dout\[3\],cell,net
_012063_,_073210_,net,cell
_073210_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_1.dout\[4\],cell,net
_012062_,_073211_,net,cell
_073211_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_1.dout\[5\],cell,net
_012061_,_073212_,net,cell
_073212_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_1.dout\[6\],cell,net
_012060_,_073213_,net,cell
_073213_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_1.dout\[7\],cell,net
_012059_,_073214_,net,cell
_073214_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_1.dout\[8\],cell,net
_012058_,_073215_,net,cell
_073215_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_1.dout\[9\],cell,net
_012057_,_073216_,net,cell
_073216_,fdct_zigzag.dct_mod.dct_block_2.dct_unit_1.dout\[10\],cell,net
_011748_,_073217_,net,cell
_073217_,fdct_zigzag.dct_mod.dct_block_3.dct_unit_0.dout\[0\],cell,net
_011747_,_073218_,net,cell
_073218_,fdct_zigzag.dct_mod.dct_block_3.dct_unit_0.dout\[1\],cell,net
_011746_,_073219_,net,cell
_073219_,fdct_zigzag.dct_mod.dct_block_3.dct_unit_0.dout\[2\],cell,net
_011745_,_073220_,net,cell
_073220_,fdct_zigzag.dct_mod.dct_block_3.dct_unit_0.dout\[3\],cell,net
_011744_,_073221_,net,cell
_073221_,fdct_zigzag.dct_mod.dct_block_3.dct_unit_0.dout\[4\],cell,net
_011743_,_073222_,net,cell
