src,tar,src_type,tar_type
_073100_/A,_073100_,pin,cell
_073100_,_073100_/Y,cell,pin
_073101_/A,_073101_,pin,cell
_073101_,_073101_/Y,cell,pin
_073102_/A,_073102_,pin,cell
_073102_,_073102_/Y,cell,pin
_073103_/A,_073103_,pin,cell
_073103_,_073103_/Y,cell,pin
_073104_/A,_073104_,pin,cell
_073104_,_073104_/Y,cell,pin
_073105_/A,_073105_,pin,cell
_073105_,_073105_/Y,cell,pin
_073106_/A,_073106_,pin,cell
_073106_,_073106_/Y,cell,pin
_073107_/A,_073107_,pin,cell
_073107_,_073107_/Y,cell,pin
_073108_/A,_073108_,pin,cell
_073108_,_073108_/Y,cell,pin
_073109_/A,_073109_,pin,cell
_073109_,_073109_/Y,cell,pin
_073110_/A,_073110_,pin,cell
_073110_,_073110_/Y,cell,pin
_073111_/A,_073111_,pin,cell
_073111_,_073111_/Y,cell,pin
_073112_/A,_073112_,pin,cell
_073112_,_073112_/Y,cell,pin
_073113_/A,_073113_,pin,cell
_073113_,_073113_/Y,cell,pin
_073114_/A,_073114_,pin,cell
_073114_,_073114_/Y,cell,pin
_073115_/A,_073115_,pin,cell
_073115_,_073115_/Y,cell,pin
_073116_/A,_073116_,pin,cell
_073116_,_073116_/Y,cell,pin
_073117_/A,_073117_,pin,cell
_073117_,_073117_/Y,cell,pin
_073118_/A,_073118_,pin,cell
_073118_,_073118_/Y,cell,pin
_073119_/A,_073119_,pin,cell
_073119_,_073119_/Y,cell,pin
_073120_/A,_073120_,pin,cell
_073120_,_073120_/Y,cell,pin
_073121_/A,_073121_,pin,cell
_073121_,_073121_/Y,cell,pin
_073122_/A,_073122_,pin,cell
_073122_,_073122_/Y,cell,pin
_073123_/A,_073123_,pin,cell
_073123_,_073123_/Y,cell,pin
_073124_/A,_073124_,pin,cell
_073124_,_073124_/Y,cell,pin
_073125_/A,_073125_,pin,cell
_073125_,_073125_/Y,cell,pin
_073126_/A,_073126_,pin,cell
_073126_,_073126_/Y,cell,pin
_073127_/A,_073127_,pin,cell
_073127_,_073127_/Y,cell,pin
_073128_/A,_073128_,pin,cell
_073128_,_073128_/Y,cell,pin
_073129_/A,_073129_,pin,cell
_073129_,_073129_/Y,cell,pin
_073130_/A,_073130_,pin,cell
_073130_,_073130_/Y,cell,pin
