src,tar,src_type,tar_type
output19/Y,amp[0],pin,net
output20/Y,amp[10],pin,net
_132764_/Y,amp[11],pin,net
output21/Y,amp[1],pin,net
output22/Y,amp[2],pin,net
output23/Y,amp[3],pin,net
output24/Y,amp[4],pin,net
output25/Y,amp[5],pin,net
output26/Y,amp[6],pin,net
output27/Y,amp[7],pin,net
output28/Y,amp[8],pin,net
output29/Y,amp[9],pin,net
clk,clkbuf_0_clk/A,net,pin
din[0],input1/A,net,pin
din[1],input2/A,net,pin
din[2],input3/A,net,pin
din[3],input4/A,net,pin
din[4],input5/A,net,pin
din[5],input6/A,net,pin
din[6],input7/A,net,pin
din[7],input8/A,net,pin
output30/Y,douten,pin,net
dstrb,input9/A,net,pin
ena,_082815_/A,net,pin
output31/Y,qnt_cnt[0],pin,net
output32/Y,qnt_cnt[1],pin,net
output33/Y,qnt_cnt[2],pin,net
output34/Y,qnt_cnt[3],pin,net
output35/Y,qnt_cnt[4],pin,net
output36/Y,qnt_cnt[5],pin,net
qnt_val[0],input10/A,net,pin
qnt_val[1],input11/A,net,pin
qnt_val[2],input12/A,net,pin
qnt_val[3],input13/A,net,pin
qnt_val[4],input14/A,net,pin
qnt_val[5],input15/A,net,pin
qnt_val[6],input16/A,net,pin
qnt_val[7],input17/A,net,pin
output37/Y,rlen[0],pin,net
output38/Y,rlen[1],pin,net
output39/Y,rlen[2],pin,net
output40/Y,rlen[3],pin,net
rst,input18/A,net,pin
output41/Y,size[0],pin,net
output42/Y,size[1],pin,net
output43/Y,size[2],pin,net
output44/Y,size[3],pin,net
_127471_/SN,_000000_,pin,net
_000000_,_083526_/A,net,pin
fdct_zigzag.dct_mod.sample_cnt\[0\]$_DFFE_PN0P_/QN,_000001_,pin,net
_000001_,_127472_/A,net,pin
_000001_,_127466_/A,net,pin
_000001_,_127465_/A,net,pin
_000001_,_127464_/A,net,pin
_000001_,_127463_/A,net,pin
_000001_,_083521_/B,net,pin
_000001_,_073100_/A,net,pin
_127519_/SN,_000002_,pin,net
_000002_,_089174_/B,net,pin
fdct_zigzag.dct_mod.sample_cnt\[5\]$_DFFE_PN0P_/QN,_000003_,pin,net
_000003_,_073115_/A,net,pin
qnr.divider.divider.s_pipe\[1\]\[24\]$_DFFE_PP_/QN,_000004_,pin,net
_000004_,_078198_/A,net,pin
qnr.divider.divider.s_pipe\[2\]\[24\]$_DFFE_PP_/QN,_000005_,pin,net
_000005_,_078217_/A,net,pin
qnr.divider.divider.s_pipe\[3\]\[24\]$_DFFE_PP_/QN,_000006_,pin,net
_000006_,_078236_/A,net,pin
qnr.divider.divider.s_pipe\[4\]\[24\]$_DFFE_PP_/QN,_000007_,pin,net
_000007_,_078255_/A,net,pin
qnr.divider.divider.s_pipe\[5\]\[24\]$_DFFE_PP_/QN,_000008_,pin,net
_000008_,_078274_/A,net,pin
qnr.divider.divider.s_pipe\[6\]\[24\]$_DFFE_PP_/QN,_000009_,pin,net
_000009_,_078293_/A,net,pin
qnr.divider.divider.s_pipe\[7\]\[24\]$_DFFE_PP_/QN,_000010_,pin,net
_000010_,_078312_/A,net,pin
qnr.divider.divider.s_pipe\[8\]\[24\]$_DFFE_PP_/QN,_000011_,pin,net
_000011_,_078331_/A,net,pin
qnr.divider.divider.s_pipe\[9\]\[24\]$_DFFE_PP_/QN,_000012_,pin,net
_000012_,_078350_/A,net,pin
qnr.divider.divider.s_pipe\[10\]\[24\]$_DFFE_PP_/QN,_000013_,pin,net
_000013_,_078369_/A,net,pin
qnr.divider.divider.s_pipe\[11\]\[24\]$_DFFE_PP_/QN,_000014_,pin,net
_000014_,_078387_/A,net,pin
qnr.divider.divider.s_pipe\[12\]\[24\]$_DFFE_PP_/QN,_000015_,pin,net
_000015_,_110964_/B2,net,pin
_000015_,_110529_/A2,net,pin
_127499_/SN,_000016_,pin,net
_000016_,_085088_/B,net,pin
_127500_/SN,_000017_,pin,net
_000017_,_085089_/A1,net,pin
_000017_,_085088_/A,net,pin
_000017_,_085062_/A,net,pin
_127499_/CON,_000018_,pin,net
_000018_,_085089_/A2,net,pin
_127501_/SN,_000019_,pin,net
_000019_,_085127_/A,net,pin
_000019_,_085092_/A,net,pin
_000019_,_085065_/A2,net,pin
_000019_,_085064_/A,net,pin
_127500_/CON,_000020_,pin,net
_000020_,_085089_/B,net,pin
_000020_,_085065_/A1,net,pin
_127502_/SN,_000021_,pin,net
_000021_,_085271_/A1,net,pin
_000021_,_085125_/A,net,pin
_000021_,_085098_/A2,net,pin
_000021_,_085092_/B,net,pin
_000021_,_085067_/A,net,pin
_127501_/CON,_000022_,pin,net
_000022_,_085098_/A1,net,pin
_000022_,_085065_/B,net,pin
_127503_/SN,_000023_,pin,net
_000023_,_085274_/B,net,pin
_000023_,_085091_/A,net,pin
_000023_,_085070_/A2,net,pin
_000023_,_085067_/B,net,pin
_127502_/CON,_000024_,pin,net
_000024_,_085098_/B,net,pin
_000024_,_085070_/A1,net,pin
_127504_/SN,_000025_,pin,net
_000025_,_085278_/A,net,pin
_000025_,_085099_/A2,net,pin
_000025_,_085091_/B,net,pin
_000025_,_085068_/A,net,pin
_127503_/CON,_000026_,pin,net
_000026_,_085099_/A1,net,pin
_000026_,_085070_/B,net,pin
_127505_/SN,_000027_,pin,net
_000027_,_085094_/A,net,pin
_000027_,_085072_/A,net,pin
_000027_,_085068_/B,net,pin
_127504_/CON,_000028_,pin,net
_000028_,_085099_/B,net,pin
_000028_,_085071_/A,net,pin
_127506_/SN,_000029_,pin,net
_000029_,_085287_/A1,net,pin
_000029_,_085286_/A1,net,pin
_000029_,_085101_/A,net,pin
_000029_,_085094_/B,net,pin
_000029_,_085077_/A,net,pin
_127505_/CON,_000030_,pin,net
_000030_,_085073_/A,net,pin
_127507_/SN,_000031_,pin,net
_000031_,_085292_/A1,net,pin
_000031_,_085291_/A1,net,pin
_000031_,_085093_/A,net,pin
_000031_,_085079_/A,net,pin
_000031_,_085077_/B,net,pin
_127506_/CON,_000032_,pin,net
_000032_,_085078_/A,net,pin
_127508_/SN,_000033_,pin,net
_000033_,_085113_/A,net,pin
_000033_,_085103_/A2,net,pin
_000033_,_085093_/B,net,pin
_000033_,_085084_/A1,net,pin
_000033_,_085083_/A1,net,pin
_127507_/CON,_000034_,pin,net
_000034_,_085103_/A1,net,pin
_000034_,_085080_/A,net,pin
_121000_/CON,_000035_,pin,net
_000035_,_085260_/A,net,pin
_000035_,_085144_/A2,net,pin
_000035_,_085063_/B,net,pin
_127509_/SN,_000036_,pin,net
_000036_,_085122_/A,net,pin
_000036_,_085114_/A2,net,pin
_000036_,_085113_/B,net,pin
_000036_,_085097_/A,net,pin
_127508_/CON,_000037_,pin,net
_000037_,_085114_/A1,net,pin
_000037_,_085103_/B,net,pin
_127510_/SN,_000038_,pin,net
_000038_,_085112_/A,net,pin
_127509_/CON,_000039_,pin,net
_000039_,_085134_/A1,net,pin
_000039_,_085114_/B,net,pin
_127511_/SN,_000040_,pin,net
