src,tar,src_type,tar_type,is_net,arc_delay
_073100_/A,_073100_/Y,pin,pin,0,3.024702710519023e-11
_073101_/A,_073101_/Y,pin,pin,0,1.2362567566870375e-11
_073102_/A,_073102_/Y,pin,pin,0,2.5901185710108798e-11
_073103_/A,_073103_/Y,pin,pin,0,1.3616069209632098e-11
_073104_/A,_073104_/Y,pin,pin,0,2.282251471141805e-11
_073105_/A,_073105_/Y,pin,pin,0,2.9290247310909123e-11
_073106_/A,_073106_/Y,pin,pin,0,1.2531589481390437e-11
_073107_/A,_073107_/Y,pin,pin,0,2.9755968522504617e-11
_073108_/A,_073108_/Y,pin,pin,0,2.4219811919912182e-11
_073109_/A,_073109_/Y,pin,pin,0,2.8613956690182185e-11
_073110_/A,_073110_/Y,pin,pin,0,2.371447309357233e-11
_073111_/A,_073111_/Y,pin,pin,0,2.896020576126368e-11
_073112_/A,_073112_/Y,pin,pin,0,3.0388278698945115e-11
_073113_/A,_073113_/Y,pin,pin,0,2.290435723029116e-11
_073114_/A,_073114_/Y,pin,pin,0,1.901940584192463e-11
_073115_/A,_073115_/Y,pin,pin,0,1.9030813383502654e-11
_073116_/A,_073116_/Y,pin,pin,0,1.2763642573410117e-11
_073117_/A,_073117_/Y,pin,pin,0,1.90254808435375e-11
_073118_/A,_073118_/Y,pin,pin,0,1.4736243475477195e-11
_073119_/A,_073119_/Y,pin,pin,0,1.3913616786487282e-11
_073120_/A,_073120_/Y,pin,pin,0,1.2204689515959988e-11
_073121_/A,_073121_/Y,pin,pin,0,1.2736655480294345e-11
_073122_/A,_073122_/Y,pin,pin,0,1.1730535813547771e-11
_073123_/A,_073123_/Y,pin,pin,0,1.2413587519022329e-11
_073124_/A,_073124_/Y,pin,pin,0,1.2035695357015541e-11
_073125_/A,_073125_/Y,pin,pin,0,1.2833714993498724e-11
_073126_/A,_073126_/Y,pin,pin,0,1.2642930105610795e-11
_073127_/A,_073127_/Y,pin,pin,0,1.2831765164311726e-11
_073128_/A,_073128_/Y,pin,pin,0,1.2235402795102157e-11
_073129_/A,_073129_/Y,pin,pin,0,1.759536613632484e-11
_073130_/A,_073130_/Y,pin,pin,0,1.754078826632366e-11
_073131_/A,_073131_/Y,pin,pin,0,1.591595605310303e-11
_073132_/A,_073132_/Y,pin,pin,0,1.6384980178196784e-11
_073133_/A,_073133_/Y,pin,pin,0,1.4545247818686935e-11
_073134_/A,_073134_/Y,pin,pin,0,1.59804565413868e-11
_073135_/A,_073135_/Y,pin,pin,0,1.535383452322403e-11
_073136_/A,_073136_/Y,pin,pin,0,1.507847839643528e-11
_073137_/A,_073137_/Y,pin,pin,0,1.2195322876551451e-11
_073138_/A,_073138_/Y,pin,pin,0,1.1830241647414752e-11
_073139_/A,_073139_/Y,pin,pin,0,1.5653317184116666e-11
_073140_/A,_073140_/Y,pin,pin,0,1.589585928163384e-11
