src,tar,src_type,tar_type,is_net,arc_delay
_16482_/A1,_16482_/ZN,pin,pin,0,4.343139736739943e-11
_16482_/A2,_16482_/ZN,pin,pin,0,4.875475370647031e-11
_16496_/A,_16496_/ZN,pin,pin,0,3.934845158037881e-11
_16497_/A1,_16497_/ZN,pin,pin,0,6.942953850730404e-11
_16497_/A2,_16497_/ZN,pin,pin,0,7.694035686345302e-11
_16500_/A,_16500_/ZN,pin,pin,0,1.792708689829503e-11
_16505_/A1,_16505_/ZN,pin,pin,0,6.16596773639344e-11
_16505_/A2,_16505_/ZN,pin,pin,0,6.363354287941547e-11
_16508_/A1,_16508_/ZN,pin,pin,0,5.834453059572198e-11
_16508_/A2,_16508_/ZN,pin,pin,0,6.015549863791492e-11
_16509_/A1,_16509_/ZN,pin,pin,0,3.943960089070053e-11
_16509_/A2,_16509_/ZN,pin,pin,0,3.647002838613744e-11
_16511_/A1,_16511_/ZN,pin,pin,0,3.382047072952865e-11
_16511_/A2,_16511_/ZN,pin,pin,0,4.1170979819815656e-11
_16514_/A,_16514_/ZN,pin,pin,0,2.3831830606169113e-11
_16515_/A1,_16515_/ZN,pin,pin,0,5.48640473330142e-11
_16515_/A2,_16515_/ZN,pin,pin,0,5.686626516898663e-11
_16517_/A1,_16517_/ZN,pin,pin,0,8.541205243073335e-11
_16517_/A2,_16517_/ZN,pin,pin,0,1.0081119966587337e-10
_16517_/A3,_16517_/ZN,pin,pin,0,1.0291376084659021e-10
_16518_/A1,_16518_/ZN,pin,pin,0,4.439039413828283e-11
_16518_/A2,_16518_/ZN,pin,pin,0,5.289631926919114e-11
_16519_/A,_16519_/ZN,pin,pin,0,3.061942019377817e-11
_16519_/B1,_16519_/ZN,pin,pin,0,3.391515540629442e-11
_16519_/B2,_16519_/ZN,pin,pin,0,3.84950266107964e-11
_16520_/A1,_16520_/ZN,pin,pin,0,3.56557873504304e-11
_16520_/A2,_16520_/ZN,pin,pin,0,3.799823303229921e-11
_16526_/A1,_16526_/ZN,pin,pin,0,5.1868731532067613e-11
_16526_/A2,_16526_/ZN,pin,pin,0,5.602589919773138e-11
_16528_/A1,_16528_/ZN,pin,pin,0,5.867175495444243e-11
_16528_/A2,_16528_/ZN,pin,pin,0,6.443408306910925e-11
_16529_/A1,_16529_/ZN,pin,pin,0,2.5661551009137362e-11
_16529_/A2,_16529_/ZN,pin,pin,0,1.9513236512724852e-11
_16530_/A,_16530_/ZN,pin,pin,0,2.8368796894939763e-11
_16530_/B1,_16530_/ZN,pin,pin,0,4.117892138388868e-11
_16530_/B2,_16530_/ZN,pin,pin,0,4.450631183039455e-11
_16532_/A1,_16532_/ZN,pin,pin,0,2.089719022824177e-11
_16532_/A2,_16532_/ZN,pin,pin,0,3.066008905094897e-11
_16532_/A3,_16532_/ZN,pin,pin,0,2.472814487897157e-11
_16535_/A1,_16535_/ZN,pin,pin,0,4.5325704994825244e-11
_16535_/A2,_16535_/ZN,pin,pin,0,5.138264466686415e-11
_16536_/A,_16536_/ZN,pin,pin,0,2.354369477153284e-11
_16536_/B1,_16536_/ZN,pin,pin,0,3.178236493428521e-11
_16536_/B2,_16536_/ZN,pin,pin,0,3.482094473872266e-11
_16537_/A,_16537_/ZN,pin,pin,0,2.540475815826504e-11
_16537_/B1,_16537_/ZN,pin,pin,0,3.271375878521887e-11
_16537_/B2,_16537_/ZN,pin,pin,0,3.662293385220394e-11
_16538_/A,_16538_/ZN,pin,pin,0,2.4139551468849163e-11
_16538_/B1,_16538_/ZN,pin,pin,0,2.8204327762182402e-11
_16538_/B2,_16538_/ZN,pin,pin,0,3.2470040545184986e-11
_16539_/A,_16539_/ZN,pin,pin,0,2.778284026450084e-11
_16540_/A1,_16540_/ZN,pin,pin,0,5.732666771840478e-11
_16540_/A2,_16540_/ZN,pin,pin,0,6.586641648764768e-11
_16542_/A1,_16542_/ZN,pin,pin,0,3.8194693935400537e-11
_16542_/A2,_16542_/ZN,pin,pin,0,3.920428912063123e-11
_16544_/A,_16544_/ZN,pin,pin,0,5.1062400835411026e-11
_16544_/B1,_16544_/ZN,pin,pin,0,4.024906102850778e-11
_16544_/B2,_16544_/ZN,pin,pin,0,4.6954537480381475e-11
