pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_16482_/A1,234975,460425,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16482_,dcnt\[1\],1.5093436916968628e-11,5.118598878084413e-10,2.588561864858008e-10,2.3323118436557877e-10,1.7144710240870752e-15
_16482_/A2,234325,460425,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16482_,dcnt\[0\],1.6845766101503123e-11,5.074644038316478e-10,2.6112093043373363e-10,2.3571103402453275e-10,1.6513450466600012e-15
_16482_/ZN,234830,461013,0,-1,0,0,1,2.6702900009440214e-14,2.2699998825093104e-10,0,_16482_,_16478_,3.310137927647894e-11,5.074644038316478e-10,2.844657842615561e-10,2.79133272051979e-10,-1
_16496_/A,96750,312375,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16496_,u0.tmp_w\[25\],3.856027303017484e-11,-5.304146011297917e-12,2.9407973278772204e-10,2.5855709240296676e-10,1.181065218091833e-14
_16496_/ZN,98192,312396,0,-1,0,0,1,4.85228990234482e-13,2.2699998825093104e-10,0,_16496_,_02915_,2.8523442288652667e-11,-5.304146011297917e-12,2.979055335750047e-10,3.215178401294594e-10,-1
_16497_/A1,116523,393023,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16497_,net394,2.1505838776469943e-11,-6.557671072826565e-12,3.6599798192149535e-10,3.3485092476581713e-10,6.773058828878466e-15
_16497_/A2,116508,393610,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16497_,_02915_,3.153007716028e-11,4.628833427666734e-11,3.083309996210204e-10,3.308996410211762e-10,6.683365663060761e-15
_16497_/ZN,116505,392960,0,-1,0,0,1,1.0681099695030241e-13,2.2699998825093104e-10,0,_16497_,_02926_,5.397378377569595e-11,-6.557671072826565e-12,4.078399840068414e-10,3.890074651291542e-10,-1
_16500_/A,96322,326550,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16500_,net2828,1.0837022251797279e-11,-1.9827361974478208e-11,3.26141280648784e-10,2.8888055836340243e-10,2.522813772123933e-14
_16500_/ZN,96399,325852,0,-1,0,0,1,9.69237927764266e-13,2.2699998825093104e-10,0,_16500_,_02959_,1.3970115862738108e-11,-1.9827361974478208e-11,3.068076348533566e-10,3.3616195938002136e-10,-1
_16505_/A1,119563,334976,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16505_,net390,2.1056965199273137e-11,-5.6269711112832965e-12,3.1565053348892036e-10,2.8560684373069023e-10,6.773058828878466e-15
