cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FILLER_0_0_1027,0,0,0,410400,22400,410780,25200,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1038,0,0,0,414580,22400,414960,25200,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_107,0,0,0,60800,22400,61180,25200,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1074,0,0,0,428260,22400,429020,25200,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1076,0,0,0,429020,22400,429400,25200,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1080,0,0,0,430540,22400,432060,25200,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1118,0,0,0,444980,22400,445740,25200,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1120,0,0,0,445740,22400,446120,25200,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1136,0,0,0,451820,22400,452580,25200,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1138,0,0,0,452580,22400,452960,25200,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1160,0,0,0,460940,22400,461700,25200,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1162,0,0,0,461700,22400,462080,25200,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1169,0,0,0,464360,22400,465120,25200,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1171,0,0,0,465120,22400,465500,25200,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1207,0,0,0,478800,22400,479560,25200,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1209,0,0,0,479560,22400,479940,25200,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1213,0,0,0,481080,22400,481840,25200,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1215,0,0,0,481840,22400,482220,25200,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1231,0,0,0,487920,22400,488680,25200,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1239,0,0,0,490960,22400,491720,25200,1,0,0,FILLCELL_X2,0.0,0.0
