src,tar,src_type,tar_type,is_net,arc_delay
_1580_/A1,_1580_/ZN,pin,pin,0,2.8855020803297826e-11
_1580_/A2,_1580_/ZN,pin,pin,0,2.6846379286293853e-11
_1581_/A,_1581_/ZN,pin,pin,0,2.4083433164401313e-11
_1582_/A1,_1582_/ZN,pin,pin,0,6.876092750740526e-11
_1582_/A2,_1582_/ZN,pin,pin,0,7.303078281006847e-11
_1582_/A3,_1582_/ZN,pin,pin,0,7.341639796099031e-11
_1583_/A1,_1583_/ZN,pin,pin,0,4.769261374715228e-11
_1583_/A2,_1583_/ZN,pin,pin,0,5.07782982328564e-11
_1584_/A1,_1584_/ZN,pin,pin,0,4.772191322666153e-11
_1584_/A2,_1584_/ZN,pin,pin,0,4.483838994540079e-11
_1585_/A1,_1585_/ZN,pin,pin,0,4.973179160150387e-11
_1585_/A2,_1585_/ZN,pin,pin,0,5.2411578549405036e-11
_1586_/A1,_1586_/ZN,pin,pin,0,3.8159548437777246e-11
_1586_/A2,_1586_/ZN,pin,pin,0,4.022744637399711e-11
_1587_/A1,_1587_/ZN,pin,pin,0,4.593224758875358e-11
_1587_/A2,_1587_/ZN,pin,pin,0,4.3852994152659974e-11
_1588_/A1,_1588_/ZN,pin,pin,0,3.456408423363477e-11
_1588_/A2,_1588_/ZN,pin,pin,0,3.566155357126455e-11
_1588_/A3,_1588_/ZN,pin,pin,0,3.757256311631707e-11
_1588_/A4,_1588_/ZN,pin,pin,0,3.712856411208776e-11
_1589_/A,_1589_/ZN,pin,pin,0,2.5441444090334997e-11
_1590_/A1,_1590_/ZN,pin,pin,0,4.9664900664270206e-11
_1590_/A2,_1590_/ZN,pin,pin,0,5.3726498944195455e-11
_1590_/A3,_1590_/ZN,pin,pin,0,5.145610673662482e-11
_1591_/A1,_1591_/ZN,pin,pin,0,2.937674756231523e-11
_1591_/A2,_1591_/ZN,pin,pin,0,3.498349179786864e-11
_1591_/A3,_1591_/ZN,pin,pin,0,3.363681902457394e-11
_1591_/A4,_1591_/ZN,pin,pin,0,3.621399360942412e-11
_1592_/A1,_1592_/ZN,pin,pin,0,3.796966213664987e-11
_1592_/A2,_1592_/ZN,pin,pin,0,4.1573577913567306e-11
_1593_/A1,_1593_/ZN,pin,pin,0,1.2478547709027232e-11
_1593_/A2,_1593_/ZN,pin,pin,0,1.687801114147458e-11
_1594_/A1,_1594_/ZN,pin,pin,0,5.995020452287392e-11
_1594_/A2,_1594_/ZN,pin,pin,0,5.948269654609817e-11
_1595_/A1,_1595_/ZN,pin,pin,0,3.6937970043782187e-11
_1595_/A2,_1595_/ZN,pin,pin,0,3.8525169165914974e-11
_1596_/A1,_1596_/ZN,pin,pin,0,1.9949692939280617e-11
_1596_/A2,_1596_/ZN,pin,pin,0,2.2024413542931498e-11
_1597_/A1,_1597_/ZN,pin,pin,0,5.5725854486432524e-11
_1597_/A2,_1597_/ZN,pin,pin,0,6.415792896952155e-11
_1597_/A3,_1597_/ZN,pin,pin,0,6.704303778803933e-11
_1598_/A1,_1598_/ZN,pin,pin,0,1.4480239056424704e-11
_1598_/A2,_1598_/ZN,pin,pin,0,1.8713508173617832e-11
_1599_/A1,_1599_/ZN,pin,pin,0,8.73017144686905e-11
_1599_/A2,_1599_/ZN,pin,pin,0,1.0290571866855558e-10
_1599_/A3,_1599_/ZN,pin,pin,0,1.1202626326589638e-10
_1599_/A4,_1599_/ZN,pin,pin,0,1.1504132368944653e-10
_1600_/A1,_1600_/ZN,pin,pin,0,6.585573059103567e-11
_1600_/A2,_1600_/ZN,pin,pin,0,7.078809066696223e-11
_1600_/A3,_1600_/ZN,pin,pin,0,7.914424671184861e-11
_1601_/A1,_1601_/ZN,pin,pin,0,4.627116051425517e-11
_1601_/A2,_1601_/ZN,pin,pin,0,5.190486929151916e-11
_1601_/A3,_1601_/ZN,pin,pin,0,5.2842005077158305e-11
_1602_/A1,_1602_/ZN,pin,pin,0,5.3200260169417035e-11
_1602_/A2,_1602_/ZN,pin,pin,0,6.040300204457338e-11
_1602_/A3,_1602_/ZN,pin,pin,0,6.148619113854892e-11
_1602_/A4,_1602_/ZN,pin,pin,0,5.998469082557634e-11
_1603_/A1,_1603_/ZN,pin,pin,0,4.3633971436030095e-11
_1603_/A2,_1603_/ZN,pin,pin,0,3.90857797516464e-11
_1604_/A1,_1604_/ZN,pin,pin,0,4.810402770560884e-11
_1604_/A2,_1604_/ZN,pin,pin,0,5.27246996062658e-11
_1604_/A3,_1604_/ZN,pin,pin,0,5.134069558376808e-11
_1605_/A1,_1605_/ZN,pin,pin,0,4.240394840815398e-11
_1605_/A2,_1605_/ZN,pin,pin,0,3.8257379902928434e-11
_1606_/A1,_1606_/ZN,pin,pin,0,6.520287088029875e-11
_1606_/A2,_1606_/ZN,pin,pin,0,7.17255352333801e-11
_1606_/A3,_1606_/ZN,pin,pin,0,7.497024528957397e-11
_1606_/A4,_1606_/ZN,pin,pin,0,7.22630982830097e-11
_1607_/A1,_1607_/ZN,pin,pin,0,2.778519081481079e-11
_1607_/A2,_1607_/ZN,pin,pin,0,2.8830259360401733e-11
_1607_/A3,_1607_/ZN,pin,pin,0,2.9381476418510744e-11
_1608_/A,_1608_/ZN,pin,pin,0,2.0805558664793722e-11
_1610_/A1,_1610_/ZN,pin,pin,0,3.1053163512817505e-11
_1610_/A2,_1610_/ZN,pin,pin,0,3.3538092442109146e-11
_1611_/A1,_1611_/ZN,pin,pin,0,3.459369943281665e-11
_1611_/A2,_1611_/ZN,pin,pin,0,3.9649391408991264e-11
_1612_/A1,_1612_/ZN,pin,pin,0,1.88678239698703e-11
_1612_/A2,_1612_/ZN,pin,pin,0,2.3278478103461175e-11
_1613_/A1,_1613_/ZN,pin,pin,0,4.943492490361301e-11
_1613_/A2,_1613_/ZN,pin,pin,0,6.096885496464921e-11
_1613_/A3,_1613_/ZN,pin,pin,0,6.275180375325817e-11
_1614_/A1,_1614_/ZN,pin,pin,0,3.640871978904947e-11
_1614_/A2,_1614_/ZN,pin,pin,0,3.855787217288409e-11
_1615_/A1,_1615_/ZN,pin,pin,0,2.5625283145425115e-11
_1615_/A2,_1615_/ZN,pin,pin,0,2.776487373346015e-11
_1615_/A3,_1615_/ZN,pin,pin,0,2.898196266309938e-11
_1616_/A1,_1616_/ZN,pin,pin,0,5.157790167187315e-11
_1616_/A2,_1616_/ZN,pin,pin,0,5.5925306052806434e-11
_1617_/A,_1617_/ZN,pin,pin,0,2.39712624749977e-11
_1618_/A1,_1618_/ZN,pin,pin,0,5.1856890309620596e-11
_1618_/A2,_1618_/ZN,pin,pin,0,5.238950592789671e-11
_1618_/A3,_1618_/ZN,pin,pin,0,5.181848006241552e-11
_1619_/A1,_1619_/ZN,pin,pin,0,3.6451276025362134e-11
_1619_/A2,_1619_/ZN,pin,pin,0,3.8599384105664214e-11
_1619_/A3,_1619_/ZN,pin,pin,0,3.9954015790266695e-11
_1619_/A4,_1619_/ZN,pin,pin,0,4.10655710825214e-11
_1620_/A1,_1620_/ZN,pin,pin,0,3.647891710922835e-11
_1620_/A2,_1620_/ZN,pin,pin,0,4.643566434148205e-11
_1621_/A1,_1621_/ZN,pin,pin,0,2.6283761625500723e-11
_1621_/A2,_1621_/ZN,pin,pin,0,3.077618715430219e-11
_1622_/A1,_1622_/ZN,pin,pin,0,5.878182662844011e-11
_1622_/A2,_1622_/ZN,pin,pin,0,7.851404248970795e-11
_1622_/A3,_1622_/ZN,pin,pin,0,9.291113711729082e-11
_1622_/A4,_1622_/ZN,pin,pin,0,9.494668246068372e-11
_1623_/A1,_1623_/ZN,pin,pin,0,5.231900329638606e-11
_1623_/A2,_1623_/ZN,pin,pin,0,5.559880333905198e-11
_1623_/A3,_1623_/ZN,pin,pin,0,6.064895807789128e-11
_1624_/A1,_1624_/ZN,pin,pin,0,4.8034076716163554e-11
_1624_/A2,_1624_/ZN,pin,pin,0,5.333724781286797e-11
_1624_/A3,_1624_/ZN,pin,pin,0,5.178106554648565e-11
_1625_/A1,_1625_/ZN,pin,pin,0,6.685938608308462e-11
_1625_/A2,_1625_/ZN,pin,pin,0,7.37911051706952e-11
_1625_/A3,_1625_/ZN,pin,pin,0,7.527572315479958e-11
_1625_/A4,_1625_/ZN,pin,pin,0,7.439078519855258e-11
_1626_/A1,_1626_/ZN,pin,pin,0,3.158095313038345e-11
_1626_/A2,_1626_/ZN,pin,pin,0,3.728552189219414e-11
_1626_/A3,_1626_/ZN,pin,pin,0,4.532373087950958e-11
_1626_/A4,_1626_/ZN,pin,pin,0,3.9897331965965677e-11
_1627_/A,_1627_/ZN,pin,pin,0,2.4175033502826793e-11
_1628_/A1,_1628_/ZN,pin,pin,0,2.8927001419210008e-11
_1628_/A2,_1628_/ZN,pin,pin,0,3.046295160569201e-11
_1629_/A1,_1629_/ZN,pin,pin,0,3.858706756898478e-11
_1629_/A2,_1629_/ZN,pin,pin,0,3.9548222335872296e-11
_1630_/A,_1630_/ZN,pin,pin,0,2.5521395760619292e-11
_1631_/A,_1631_/ZN,pin,pin,0,1.806379351654286e-11
_1632_/A1,_1632_/ZN,pin,pin,0,7.545458008406669e-11
_1632_/A2,_1632_/ZN,pin,pin,0,9.290798685945845e-11
_1632_/A3,_1632_/ZN,pin,pin,0,1.0834387553781966e-10
_1632_/A4,_1632_/ZN,pin,pin,0,1.0992080856642161e-10
_1633_/A1,_1633_/ZN,pin,pin,0,3.4092211692593466e-11
_1633_/A2,_1633_/ZN,pin,pin,0,3.7802570101996835e-11
_1633_/A3,_1633_/ZN,pin,pin,0,3.8797416668234774e-11
_1633_/A4,_1633_/ZN,pin,pin,0,4.0245036470043516e-11
_1634_/A1,_1634_/ZN,pin,pin,0,5.2274479883651637e-11
_1634_/A2,_1634_/ZN,pin,pin,0,5.995472868169927e-11
_1634_/A3,_1634_/ZN,pin,pin,0,6.665137192163328e-11
_1636_/A1,_1636_/ZN,pin,pin,0,2.3752517314123978e-11
_1636_/A2,_1636_/ZN,pin,pin,0,2.6560493388005924e-11
_1637_/A1,_1637_/ZN,pin,pin,0,7.083483105629895e-11
_1637_/A2,_1637_/ZN,pin,pin,0,8.557207026305136e-11
_1637_/A3,_1637_/ZN,pin,pin,0,9.820991936360102e-11
_1637_/A4,_1637_/ZN,pin,pin,0,9.904525810622289e-11
_1638_/A1,_1638_/ZN,pin,pin,0,3.2426936136253914e-11
_1638_/A2,_1638_/ZN,pin,pin,0,3.5588254565510624e-11
_1638_/A3,_1638_/ZN,pin,pin,0,3.755794980575544e-11
_1638_/A4,_1638_/ZN,pin,pin,0,3.971344780806518e-11
_1639_/A1,_1639_/ZN,pin,pin,0,7.068687996047984e-11
_1639_/A2,_1639_/ZN,pin,pin,0,8.772539639156918e-11
_1639_/A3,_1639_/ZN,pin,pin,0,9.474981910173597e-11
_1639_/A4,_1639_/ZN,pin,pin,0,1.0187256593852112e-10
_1641_/A,_1641_/ZN,pin,pin,0,2.3990068612200766e-11
_1643_/A1,_1643_/ZN,pin,pin,0,2.931412404483247e-11
_1643_/A2,_1643_/ZN,pin,pin,0,6.292947413166772e-11
_1645_/A1,_1645_/ZN,pin,pin,0,5.85873363712075e-11
