src,tar,src_type,tar_type,is_net,arc_delay
_105_/A,_105_/ZN,pin,pin,0,4.7724130203263826e-11
_108_/A1,_108_/ZN,pin,pin,0,1.163796004011175e-10
_108_/A2,_108_/ZN,pin,pin,0,1.182620529283085e-10
_111_/A1,_111_/ZN,pin,pin,0,3.937107931339945e-11
_111_/A2,_111_/ZN,pin,pin,0,5.3543190714488986e-11
_113_/A1,_113_/ZN,pin,pin,0,2.814262711758886e-11
_113_/A2,_113_/ZN,pin,pin,0,2.0248053234084296e-11
_114_/A1,_114_/ZN,pin,pin,0,2.363731779753131e-11
_114_/A2,_114_/ZN,pin,pin,0,1.8811929444750852e-11
_115_/A,_115_/ZN,pin,pin,0,2.4094729683676874e-11
_116_/A1,_116_/ZN,pin,pin,0,1.0408314488064008e-10
_116_/A2,_116_/ZN,pin,pin,0,1.0637142555669499e-10
_118_/A1,_118_/ZN,pin,pin,0,3.22996664137154e-11
_118_/A2,_118_/ZN,pin,pin,0,2.606911214675378e-11
_118_/B1,_118_/ZN,pin,pin,0,3.0473113615814285e-11
_118_/B2,_118_/ZN,pin,pin,0,5.7941883929713e-11
_119_/A1,_119_/ZN,pin,pin,0,3.260354833334311e-11
_119_/A2,_119_/ZN,pin,pin,0,2.0687488180848312e-11
_120_/A1,_120_/ZN,pin,pin,0,2.3432328993822082e-11
_120_/A2,_120_/ZN,pin,pin,0,1.8832003664814856e-11
_121_/A1,_121_/ZN,pin,pin,0,3.109887000696254e-11
_121_/A2,_121_/ZN,pin,pin,0,2.695825507270655e-11
_121_/B1,_121_/ZN,pin,pin,0,3.044298146903657e-11
_121_/B2,_121_/ZN,pin,pin,0,5.6517946572798294e-11
_122_/A1,_122_/ZN,pin,pin,0,3.1731419575242725e-11
_122_/A2,_122_/ZN,pin,pin,0,2.029702968198155e-11
_123_/A1,_123_/ZN,pin,pin,0,2.3335959900561143e-11
_123_/A2,_123_/ZN,pin,pin,0,1.8719173780490372e-11
_124_/A1,_124_/ZN,pin,pin,0,3.182757182806917e-11
_124_/A2,_124_/ZN,pin,pin,0,2.6833672436832323e-11
_124_/B1,_124_/ZN,pin,pin,0,3.0418976365576e-11
_124_/B2,_124_/ZN,pin,pin,0,5.742180689272125e-11
_125_/A1,_125_/ZN,pin,pin,0,2.8771360294221893e-11
_125_/A2,_125_/ZN,pin,pin,0,2.043584398925269e-11
_126_/A1,_126_/ZN,pin,pin,0,2.3556292333415385e-11
_126_/A2,_126_/ZN,pin,pin,0,1.9725082678334616e-11
_127_/A1,_127_/ZN,pin,pin,0,3.227780542847114e-11
_127_/A2,_127_/ZN,pin,pin,0,2.6210832115847182e-11
_127_/B1,_127_/ZN,pin,pin,0,3.04526334704569e-11
_127_/B2,_127_/ZN,pin,pin,0,5.792866533682606e-11
_128_/A1,_128_/ZN,pin,pin,0,3.2234850205759e-11
_128_/A2,_128_/ZN,pin,pin,0,2.0440395903653652e-11
_129_/A1,_129_/ZN,pin,pin,0,2.3314874336710645e-11
_129_/A2,_129_/ZN,pin,pin,0,1.965473790666028e-11
_130_/A1,_130_/ZN,pin,pin,0,3.0972675812979134e-11
_130_/A2,_130_/ZN,pin,pin,0,2.6906680009042283e-11
_130_/B1,_130_/ZN,pin,pin,0,3.0417512258962276e-11
_130_/B2,_130_/ZN,pin,pin,0,5.643212286354782e-11
_131_/A1,_131_/ZN,pin,pin,0,3.180363958299459e-11
_131_/A2,_131_/ZN,pin,pin,0,2.016027102202944e-11
_132_/A1,_132_/ZN,pin,pin,0,2.371999645311984e-11
_132_/A2,_132_/ZN,pin,pin,0,1.987018535820617e-11
_133_/A1,_133_/ZN,pin,pin,0,3.141906526615834e-11
_133_/A2,_133_/ZN,pin,pin,0,2.6845473760639393e-11
_133_/B1,_133_/ZN,pin,pin,0,3.0508300746801e-11
_133_/B2,_133_/ZN,pin,pin,0,5.693661167538444e-11
_134_/A1,_134_/ZN,pin,pin,0,3.143055260501626e-11
_134_/A2,_134_/ZN,pin,pin,0,2.0154607149880377e-11
_135_/A1,_135_/ZN,pin,pin,0,2.3496678561163442e-11
_135_/A2,_135_/ZN,pin,pin,0,1.9593658293071137e-11
_136_/A1,_136_/ZN,pin,pin,0,3.224876615748329e-11
_136_/A2,_136_/ZN,pin,pin,0,2.6779052933467717e-11
_136_/B1,_136_/ZN,pin,pin,0,3.044112531491727e-11
_136_/B2,_136_/ZN,pin,pin,0,5.785919313106014e-11
_137_/A1,_137_/ZN,pin,pin,0,3.286300051530411e-11
_137_/A2,_137_/ZN,pin,pin,0,2.090398514009717e-11
_138_/A1,_138_/ZN,pin,pin,0,2.33822353840063e-11
_138_/A2,_138_/ZN,pin,pin,0,1.971929390609528e-11
_139_/A1,_139_/ZN,pin,pin,0,3.122590033766137e-11
_139_/A2,_139_/ZN,pin,pin,0,2.6997314106491643e-11
_139_/B1,_139_/ZN,pin,pin,0,3.043215332509952e-11
_139_/B2,_139_/ZN,pin,pin,0,5.6599478576169204e-11
_140_/A1,_140_/ZN,pin,pin,0,3.176624935319339e-11
_140_/A2,_140_/ZN,pin,pin,0,2.0329312885869477e-11
_142_/A1,_142_/ZN,pin,pin,0,2.399590422197395e-11
_142_/A2,_142_/ZN,pin,pin,0,2.0163683223106688e-11
_143_/A1,_143_/ZN,pin,pin,0,3.1618613977046905e-11
_143_/A2,_143_/ZN,pin,pin,0,2.683888701560111e-11
_143_/B1,_143_/ZN,pin,pin,0,3.0567912784329465e-11
_143_/B2,_143_/ZN,pin,pin,0,5.7195581604219115e-11
_145_/A1,_145_/ZN,pin,pin,0,3.163693265695322e-11
_145_/A2,_145_/ZN,pin,pin,0,2.0279500301256803e-11
_146_/A1,_146_/ZN,pin,pin,0,2.358268268165542e-11
_146_/A2,_146_/ZN,pin,pin,0,1.9671668807785814e-11
_147_/A1,_147_/ZN,pin,pin,0,3.2168455399439466e-11
_147_/A2,_147_/ZN,pin,pin,0,2.68166253092339e-11
_147_/B1,_147_/ZN,pin,pin,0,3.0464641226357614e-11
_147_/B2,_147_/ZN,pin,pin,0,5.772322897446003e-11
_149_/A1,_149_/ZN,pin,pin,0,3.300180614895787e-11
_149_/A2,_149_/ZN,pin,pin,0,2.558893721915645e-11
_150_/A1,_150_/ZN,pin,pin,0,2.3356871992064043e-11
_150_/A2,_150_/ZN,pin,pin,0,1.9710648044291013e-11
_152_/A1,_152_/ZN,pin,pin,0,3.148352412107869e-11
_152_/A2,_152_/ZN,pin,pin,0,2.7013336012515765e-11
_152_/B1,_152_/ZN,pin,pin,0,3.042657445440078e-11
_152_/B2,_152_/ZN,pin,pin,0,5.697823463046703e-11
_153_/A1,_153_/ZN,pin,pin,0,3.1435819225489325e-11
_153_/A2,_153_/ZN,pin,pin,0,2.0184458271454986e-11
_154_/A1,_154_/ZN,pin,pin,0,2.4142361720880245e-11
_154_/A2,_154_/ZN,pin,pin,0,2.022098634368863e-11
_155_/A1,_155_/ZN,pin,pin,0,3.214588664701701e-11
_155_/A2,_155_/ZN,pin,pin,0,2.677695218333831e-11
_155_/B1,_155_/ZN,pin,pin,0,3.059364914181906e-11
_155_/B2,_155_/ZN,pin,pin,0,5.763788404888892e-11
_156_/A1,_156_/ZN,pin,pin,0,3.0958419855453556e-11
_156_/A2,_156_/ZN,pin,pin,0,2.0197496453100428e-11
_157_/A1,_157_/ZN,pin,pin,0,2.3691092490563115e-11
_157_/A2,_157_/ZN,pin,pin,0,1.9776168549978657e-11
_158_/A1,_158_/ZN,pin,pin,0,3.218003988281204e-11
_158_/A2,_158_/ZN,pin,pin,0,2.6685428172745773e-11
_158_/B1,_158_/ZN,pin,pin,0,3.049068983407288e-11
_158_/B2,_158_/ZN,pin,pin,0,5.796576760253025e-11
_159_/A1,_159_/ZN,pin,pin,0,3.0838949449663033e-11
_159_/A2,_159_/ZN,pin,pin,0,2.0490649108029224e-11
_160_/A1,_160_/ZN,pin,pin,0,2.3945007435188792e-11
_160_/A2,_160_/ZN,pin,pin,0,2.4150365734998402e-11
_161_/A1,_161_/ZN,pin,pin,0,3.27268628863564e-11
_161_/A2,_161_/ZN,pin,pin,0,2.666133980255836e-11
_161_/B1,_161_/ZN,pin,pin,0,3.05356538665702e-11
_161_/B2,_161_/ZN,pin,pin,0,5.802484881467507e-11
_162_/A1,_162_/ZN,pin,pin,0,3.1583909099186513e-11
_162_/A2,_162_/ZN,pin,pin,0,2.035214705098376e-11
_163_/A1,_163_/ZN,pin,pin,0,2.338945356838984e-11
_163_/A2,_163_/ZN,pin,pin,0,1.955191390734523e-11
_164_/A1,_164_/ZN,pin,pin,0,3.234282286435075e-11
_164_/A2,_164_/ZN,pin,pin,0,2.680884160499719e-11
_164_/B1,_164_/ZN,pin,pin,0,3.042466278913025e-11
_164_/B2,_164_/ZN,pin,pin,0,5.7674472836444224e-11
_165_/A1,_165_/ZN,pin,pin,0,2.8646890415373605e-11
_165_/A2,_165_/ZN,pin,pin,0,2.0512222129176472e-11
_166_/A1,_166_/ZN,pin,pin,0,2.387150026261775e-11
_166_/A2,_166_/ZN,pin,pin,0,1.9868830539171434e-11
_167_/A1,_167_/ZN,pin,pin,0,3.2272271660582774e-11
_167_/A2,_167_/ZN,pin,pin,0,2.618517729036096e-11
_167_/B1,_167_/ZN,pin,pin,0,3.052343794385237e-11
_167_/B2,_167_/ZN,pin,pin,0,5.79576039938523e-11
_168_/A1,_168_/ZN,pin,pin,0,3.114049296204513e-11
_168_/A2,_168_/ZN,pin,pin,0,2.0711633796910434e-11
_169_/A1,_169_/ZN,pin,pin,0,2.352503435110176e-11
_169_/A2,_169_/ZN,pin,pin,0,1.971777255360685e-11
_170_/A1,_170_/ZN,pin,pin,0,3.270597681570564e-11
_170_/A2,_170_/ZN,pin,pin,0,2.6721862569911714e-11
_170_/B1,_170_/ZN,pin,pin,0,3.044378291128247e-11
_170_/B2,_170_/ZN,pin,pin,0,5.8029834409945025e-11
_171_/A1,_171_/ZN,pin,pin,0,3.137703985522933e-11
