src,tar,src_type,tar_type,is_net,arc_delay
_16296_/A,_16296_/Z,pin,pin,0,3.54414379788448e-11
_16297_/A,_16297_/Z,pin,pin,0,4.113605636679729e-11
_16298_/A,_16298_/Z,pin,pin,0,3.464470030301037e-11
_16299_/A,_16299_/ZN,pin,pin,0,6.003126468145936e-11
_16299_/B,_16299_/ZN,pin,pin,0,6.427477300396944e-11
_16300_/A1,_16300_/ZN,pin,pin,0,5.8159886628939006e-11
_16300_/A2,_16300_/ZN,pin,pin,0,6.714215988745664e-11
_16301_/A,_16301_/ZN,pin,pin,0,2.8004763438782554e-11
_16302_/A,_16302_/Z,pin,pin,0,4.085135354991998e-11
_16303_/A1,_16303_/ZN,pin,pin,0,3.350297470006147e-11
_16303_/A2,_16303_/ZN,pin,pin,0,3.865162356841978e-11
_16304_/A1,_16304_/ZN,pin,pin,0,6.846540695493175e-11
_16304_/A2,_16304_/ZN,pin,pin,0,8.515699256861353e-11
_16304_/A3,_16304_/ZN,pin,pin,0,8.720233563019875e-11
_16305_/A1,_16305_/ZN,pin,pin,0,2.5234097797421917e-11
_16305_/A2,_16305_/ZN,pin,pin,0,2.7493236853803893e-11
_16306_/A,_16306_/Z,pin,pin,0,4.339386142082624e-11
_16307_/A,_16307_/Z,pin,pin,0,4.6013623467011655e-11
_16308_/A,_16308_/Z,pin,pin,0,3.9938066742628564e-11
_16309_/A,_16309_/Z,pin,pin,0,2.8691354847509842e-11
_16310_/A,_16310_/Z,pin,pin,0,4.965710828641612e-11
_16311_/A,_16311_/ZN,pin,pin,0,3.530527606376843e-11
_16312_/A,_16312_/Z,pin,pin,0,3.8471677232809753e-11
_16313_/A,_16313_/Z,pin,pin,0,3.7015272791318665e-11
_16314_/A1,_16314_/ZN,pin,pin,0,2.623589366590462e-11
_16314_/A2,_16314_/ZN,pin,pin,0,3.133340809036156e-11
_16315_/A1,_16315_/ZN,pin,pin,0,3.023362810106178e-11
_16315_/A2,_16315_/ZN,pin,pin,0,3.750845120609192e-11
_16315_/A3,_16315_/ZN,pin,pin,0,3.4151490663214545e-11
_16316_/A,_16316_/Z,pin,pin,0,3.676194418322787e-11
_16317_/A1,_16317_/ZN,pin,pin,0,3.920533342416377e-11
_16317_/A2,_16317_/ZN,pin,pin,0,3.53391378660195e-11
_16318_/A,_16318_/Z,pin,pin,0,2.6307336517539248e-11
_16319_/A1,_16319_/ZN,pin,pin,0,1.938428410841464e-11
_16319_/A2,_16319_/ZN,pin,pin,0,2.3779395119660762e-11
_16320_/A,_16320_/Z,pin,pin,0,3.199800840958389e-11
_16321_/A,_16321_/Z,pin,pin,0,2.68588467439157e-11
_16322_/A,_16322_/Z,pin,pin,0,2.6501597791273035e-11
_16323_/A1,_16323_/ZN,pin,pin,0,4.1571641962168115e-11
_16323_/A2,_16323_/ZN,pin,pin,0,4.6187359492577684e-11
_16324_/A1,_16324_/ZN,pin,pin,0,5.339416409011477e-11
_16324_/A2,_16324_/ZN,pin,pin,0,6.175326916491031e-11
_16324_/A3,_16324_/ZN,pin,pin,0,6.579525119176921e-11
_16325_/A1,_16325_/ZN,pin,pin,0,6.453999140676459e-11
_16325_/A2,_16325_/ZN,pin,pin,0,6.863285634262084e-11
_16326_/A1,_16326_/ZN,pin,pin,0,3.21583003282111e-11
_16326_/A2,_16326_/ZN,pin,pin,0,3.4092988848710704e-11
_16327_/A,_16327_/ZN,pin,pin,0,4.945371195885784e-11
_16328_/A1,_16328_/ZN,pin,pin,0,3.260125155946092e-11
_16328_/A2,_16328_/ZN,pin,pin,0,3.7730429891524864e-11
_16328_/A3,_16328_/ZN,pin,pin,0,3.2067563882076655e-11
_16329_/A1,_16329_/ZN,pin,pin,0,5.2926999588587265e-11
