pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_16296_/A,238490,272825,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16296_,load_store_unit_i.ls_fsm_cs\[0\],1.3195388358366866e-11,-1.4142853554943713e-10,5.526520907572774e-10,5.35752220365282e-10,3.4018920510035843e-15
_16296_/Z,239940,272953,0,-1,0,0,1,2.4230999693709843e-13,2.2699998825093104e-10,0,_16296_,_10421_,1.8865175047122484e-11,-1.4142853554943713e-10,5.880935183277813e-10,5.666693225769848e-10,-1
_16297_/A,245730,272825,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16297_,load_store_unit_i.ls_fsm_cs\[1\],8.739179518935103e-12,-1.2459813736320768e-10,5.4511400948698e-10,5.302894789949164e-10,9.746590013071316e-16
_16297_/Z,246410,273030,0,-1,0,0,1,6.065370509447318e-14,2.2699998825093104e-10,0,_16297_,_10422_,2.394616449574727e-11,-1.2459810960763207e-10,5.862500485065425e-10,5.668530644875602e-10,-1
_16298_/A,233230,259175,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16298_,load_store_unit_i.ls_fsm_cs\[2\],1.0308026134053794e-11,-1.2110260017017538e-10,5.489274035319625e-10,5.332589370077301e-10,1.7792090110918925e-15
_16298_/Z,234022,259070,0,-1,0,0,1,1.2115499846854921e-13,2.2699998825093104e-10,0,_16298_,_10423_,1.8293751929965296e-11,-1.2110257241459976e-10,5.835720795488442e-10,5.651694667818674e-10,-1
_16299_/A,244910,256025,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16299_,_10422_,2.3946714403089153e-11,-1.2459813736320768e-10,5.86600878982324e-10,5.671827452147227e-10,4.003783287168886e-15
_16299_/B,245021,256191,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16299_,_10423_,1.829676861409002e-11,-1.2110254465902415e-10,5.842740180561634e-10,5.65815561071048e-10,4.83693590551653e-15
_16299_/ZN,245840,255913,0,-1,0,0,1,5.203250211336524e-14,2.2699998825093104e-10,0,_16299_,_10424_,4.634034475592408e-11,-1.2459810960763207e-10,6.42336739353766e-10,6.18307294253384e-10,-1
_16300_/A1,242685,236775,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16300_,_10421_,1.891913882501317e-11,-6.347505854265023e-11,5.900799293634407e-10,5.683456483218663e-10,9.46813957836449e-16
_16300_/A2,243070,236775,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16300_,_10424_,4.634180539309085e-11,-1.2459810960763207e-10,6.431420951358291e-10,6.190754575641222e-10,9.419389655876452e-16
_16300_/ZN,243750,236610,0,-1,0,0,1,6.057739759032094e-14,2.2699998825093104e-10,0,_16300_,_10425_,2.2281549869052064e-11,-1.2459810960763207e-10,6.947639685783713e-10,6.862176382682605e-10,-1
_16301_/A,246845,256025,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16301_,_10422_,2.3946520114059844e-11,-1.0536171934916183e-10,5.865339325339392e-10,5.671189073908067e-10,1.700229965024007e-15
_16301_/ZN,247175,256200,0,-1,0,0,1,6.072999904609827e-14,2.2699998825093104e-10,0,_16301_,_10426_,1.8575757251837466e-11,-1.0536171934916183e-10,5.951236725643128e-10,6.042597533451044e-10,-1
_16302_/A,232050,264775,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16302_,_00213_,9.786207434692162e-12,-1.0446515874562579e-10,5.134457858879671e-10,5.118037105233952e-10,1.405913967940397e-15
_16302_/Z,232735,264600,0,-1,0,0,1,1.2145999809219654e-13,2.2699998825093104e-10,0,_16302_,_10427_,1.647557264228272e-11,-1.0446515874562579e-10,5.517074574967751e-10,5.526550883594439e-10,-1
_16303_/A1,247570,270375,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16303_,_10421_,1.8866894158087177e-11,-1.4142853554943713e-10,5.886320320058758e-10,5.671400016282746e-10,3.0531029415655766e-15
_16303_/A2,247538,270218,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16303_,_10427_,1.6477128689240672e-11,-1.0446515874562579e-10,5.52192069847024e-10,5.531127778013456e-10,3.4509930686482584e-15
_16303_/ZN,247335,270097,0,-1,0,0,1,1.1871299570535149e-13,2.2699998825093104e-10,0,_16303_,_10428_,2.6340655351342335e-11,-1.4142853554943713e-10,6.00642979797783e-10,6.206415381626584e-10,-1
_16304_/A1,246105,253575,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16304_,_10426_,1.857589776443902e-11,-1.0536171934916183e-10,5.952825454791366e-10,6.043863742810629e-10,1.7479700124806803e-15
_16304_/A2,246485,253575,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16304_,_16022_,2.6498211611047928e-11,-7.230455123519164e-11,5.443370754143473e-10,5.54637613614517e-10,1.6930499843674876e-15
_16304_/A3,246870,253575,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16304_,_10428_,2.6345859521770265e-11,-1.4142853554943713e-10,6.017577547368091e-10,6.217162340504956e-10,1.672973080056074e-15
_16304_/ZN,247555,253400,0,-1,0,0,1,1.2115499846854921e-13,2.2699998825093104e-10,0,_16304_,_10429_,1.421651771998933e-11,-1.4142853554943713e-10,6.414644926344693e-10,7.08918590497376e-10,-1
_16305_/A1,245290,231175,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16305_,_10425_,2.2281843037319504e-11,-1.2459810960763207e-10,6.950146569373317e-10,6.864580015530919e-10,3.0531029415655766e-15
_16305_/A2,245258,231018,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16305_,_10429_,1.4218786738295908e-11,-1.176569952576756e-10,6.420097786730139e-10,7.094287934883425e-10,3.4509930686482584e-15
_16305_/ZN,245055,230897,0,-1,0,0,1,1.1871299570535149e-13,2.2699998825093104e-10,0,_16305_,_10430_,1.6130461549801467e-11,-1.2459810960763207e-10,7.369220234032525e-10,7.174149607713787e-10,-1
_16306_/A,284470,222425,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16306_,_10430_,1.613537602140891e-11,-1.2459810960763207e-10,7.377912170092316e-10,7.181739647421637e-10,3.4018920510035843e-15
_16306_/Z,285920,222553,0,-1,0,0,1,2.4230999693709843e-13,2.2699998825093104e-10,0,_16306_,_10431_,2.5492979255359316e-11,-1.2459810960763207e-10,7.81185061082823e-10,7.550236547082534e-10,-1
_16307_/A,294350,205625,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16307_,_10431_,2.5494148458982124e-11,5.454747764588319e-12,7.817819724920128e-10,7.555518433122188e-10,3.4018920510035843e-15
_16307_/Z,295800,205753,0,-1,0,0,1,2.4230999693709843e-13,2.2699998825093104e-10,0,_16307_,_10432_,2.639838347917589e-11,5.454747764588319e-12,8.277956098368122e-10,7.924773615108904e-10,-1
_16308_/A,351350,219975,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16308_,_10432_,2.6741322697865222e-11,4.709294065818881e-11,8.320246713822144e-10,7.961561965252884e-10,3.4018920510035843e-15
_16308_/Z,352800,219846,0,-1,0,0,1,2.4230999693709843e-13,2.2699998825093104e-10,0,_16308_,_10433_,2.034484213042642e-11,4.709294065818881e-11,8.719627242470551e-10,8.305534038299811e-10,-1
_16309_/A,259770,194425,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_16309_,id_stage_i.controller_i.instr_i\[3\],2.5789540641918407e-11,-2.1292090313096423e-10,5.853995066473772e-10,5.557828641755691e-10,6.585178027331516e-15
