src,tar,src_type,tar_type
fdct_zigzag.dct_mod.sample_cnt\[0\]$_DFFE_PN0P_,_137057_,cell,cell
fdct_zigzag.dct_mod.sample_cnt\[0\]$_DFFE_PN0P_,_137051_,cell,cell
fdct_zigzag.dct_mod.sample_cnt\[0\]$_DFFE_PN0P_,_137050_,cell,cell
fdct_zigzag.dct_mod.sample_cnt\[0\]$_DFFE_PN0P_,_137049_,cell,cell
fdct_zigzag.dct_mod.sample_cnt\[0\]$_DFFE_PN0P_,_137048_,cell,cell
fdct_zigzag.dct_mod.sample_cnt\[0\]$_DFFE_PN0P_,_109157_,cell,cell
fdct_zigzag.dct_mod.sample_cnt\[0\]$_DFFE_PN0P_,_097638_,cell,cell
fdct_zigzag.dct_mod.sample_cnt\[0\]$_DFFE_PN0P_,_094920_,cell,cell
fdct_zigzag.dct_mod.sample_cnt\[5\]$_DFFE_PN0P_,_124605_,cell,cell
fdct_zigzag.dct_mod.sample_cnt\[5\]$_DFFE_PN0P_,_120766_,cell,cell
qnr.divider.divider.s_pipe\[1\]\[24\]$_DFFE_PP_,_084134_,cell,cell
qnr.divider.divider.s_pipe\[2\]\[24\]$_DFFE_PP_,_084156_,cell,cell
qnr.divider.divider.s_pipe\[3\]\[24\]$_DFFE_PP_,_084179_,cell,cell
qnr.divider.divider.s_pipe\[4\]\[24\]$_DFFE_PP_,_084223_,cell,cell
qnr.divider.divider.s_pipe\[4\]\[24\]$_DFFE_PP_,_084221_,cell,cell
qnr.divider.divider.s_pipe\[4\]\[24\]$_DFFE_PP_,_084201_,cell,cell
qnr.divider.divider.s_pipe\[5\]\[24\]$_DFFE_PP_,_084224_,cell,cell
qnr.divider.divider.s_pipe\[6\]\[24\]$_DFFE_PP_,_084247_,cell,cell
qnr.divider.divider.s_pipe\[7\]\[24\]$_DFFE_PP_,_084291_,cell,cell
qnr.divider.divider.s_pipe\[7\]\[24\]$_DFFE_PP_,_084289_,cell,cell
qnr.divider.divider.s_pipe\[7\]\[24\]$_DFFE_PP_,_084269_,cell,cell
qnr.divider.divider.s_pipe\[8\]\[24\]$_DFFE_PP_,_084292_,cell,cell
qnr.divider.divider.s_pipe\[9\]\[24\]$_DFFE_PP_,_128339_,cell,cell
qnr.divider.divider.s_pipe\[9\]\[24\]$_DFFE_PP_,_084316_,cell,cell
qnr.divider.divider.s_pipe\[10\]\[24\]$_DFFE_PP_,_084338_,cell,cell
qnr.divider.divider.s_pipe\[11\]\[24\]$_DFFE_PP_,_084361_,cell,cell
qnr.divider.divider.s_pipe\[12\]\[24\]$_DFFE_PP_,_128212_,cell,cell
dfdct_dout\[11\]$_DFFE_PP_,_129779_,cell,cell
fdct_zigzag.zigzag_mod.ld_zigzag$_DFFE_PP_,_129939_,cell,cell
fdct_zigzag.zigzag_mod.ld_zigzag$_DFFE_PP_,_129934_,cell,cell
rle.rle.zero_cnt\[1\]$_SDFFCE_PP0P_,_130188_,cell,cell
rle.rle.zero_cnt\[2\]$_SDFFCE_PP0P_,_130194_,cell,cell
rle.rle.zero_cnt\[3\]$_SDFFCE_PP0P_,_130199_,cell,cell
qnr.rq\[3\]$_DFFE_PP_,_130256_,cell,cell
qnr.rq\[4\]$_DFFE_PP_,_130258_,cell,cell
qnr.rq\[5\]$_DFFE_PP_,_130248_,cell,cell
qnr.rq\[6\]$_DFFE_PP_,_130274_,cell,cell
qnr.rq\[6\]$_DFFE_PP_,_130250_,cell,cell
qnr.rq\[7\]$_DFFE_PP_,_130241_,cell,cell
qnr.rq\[8\]$_DFFE_PP_,_130271_,cell,cell
qnr.rq\[8\]$_DFFE_PP_,_130239_,cell,cell
fdct_zigzag.dct_mod.ddin\[7\]$_DFFE_PN0P_,_095435_,cell,cell
qnr.divider.divider.d_pipe\[1\]\[14\]$_DFFE_PP_,_092135_,cell,cell
qnr.divider.divider.d_pipe\[1\]\[15\]$_DFFE_PP_,_092139_,cell,cell
qnr.divider.divider.d_pipe\[1\]\[16\]$_DFFE_PP_,_092143_,cell,cell
qnr.divider.divider.d_pipe\[1\]\[17\]$_DFFE_PP_,_092146_,cell,cell
qnr.divider.divider.d_pipe\[1\]\[18\]$_DFFE_PP_,_092147_,cell,cell
qnr.divider.divider.d_pipe\[1\]\[19\]$_DFFE_PP_,_092153_,cell,cell
qnr.divider.divider.d_pipe\[2\]\[14\]$_DFFE_PP_,_092160_,cell,cell
qnr.divider.divider.d_pipe\[2\]\[15\]$_DFFE_PP_,_092163_,cell,cell
qnr.divider.divider.d_pipe\[2\]\[16\]$_DFFE_PP_,_092167_,cell,cell
qnr.divider.divider.d_pipe\[2\]\[17\]$_DFFE_PP_,_092170_,cell,cell
qnr.divider.divider.d_pipe\[2\]\[18\]$_DFFE_PP_,_092171_,cell,cell
qnr.divider.divider.d_pipe\[2\]\[19\]$_DFFE_PP_,_092177_,cell,cell
qnr.divider.divider.d_pipe\[3\]\[14\]$_DFFE_PP_,_092184_,cell,cell
qnr.divider.divider.d_pipe\[3\]\[15\]$_DFFE_PP_,_092188_,cell,cell
qnr.divider.divider.d_pipe\[3\]\[16\]$_DFFE_PP_,_092192_,cell,cell
qnr.divider.divider.d_pipe\[3\]\[17\]$_DFFE_PP_,_092195_,cell,cell
qnr.divider.divider.d_pipe\[3\]\[18\]$_DFFE_PP_,_092196_,cell,cell
qnr.divider.divider.d_pipe\[3\]\[19\]$_DFFE_PP_,_092202_,cell,cell
qnr.divider.divider.d_pipe\[4\]\[14\]$_DFFE_PP_,_092210_,cell,cell
qnr.divider.divider.d_pipe\[4\]\[15\]$_DFFE_PP_,_092213_,cell,cell
qnr.divider.divider.d_pipe\[4\]\[16\]$_DFFE_PP_,_092217_,cell,cell
qnr.divider.divider.d_pipe\[4\]\[17\]$_DFFE_PP_,_092221_,cell,cell
qnr.divider.divider.d_pipe\[4\]\[18\]$_DFFE_PP_,_092222_,cell,cell
qnr.divider.divider.d_pipe\[4\]\[19\]$_DFFE_PP_,_092227_,cell,cell
qnr.divider.divider.d_pipe\[5\]\[14\]$_DFFE_PP_,_092234_,cell,cell
