src,tar,src_type,tar_type
_079245_/A,_079245_,pin,cell
_079245_,_079245_/Z,cell,pin
_079246_/A,_079246_,pin,cell
_079246_,_079246_/Z,cell,pin
_079247_/A,_079247_,pin,cell
_079247_,_079247_/Z,cell,pin
_079248_/A1,_079248_,pin,cell
_079248_/A2,_079248_,pin,cell
_079248_,_079248_/ZN,cell,pin
_079249_/A,_079249_,pin,cell
_079249_,_079249_/Z,cell,pin
_079250_/A,_079250_,pin,cell
_079250_,_079250_/Z,cell,pin
_079251_/A,_079251_,pin,cell
_079251_,_079251_/Z,cell,pin
_079252_/A1,_079252_,pin,cell
_079252_/A2,_079252_,pin,cell
_079252_,_079252_/ZN,cell,pin
_079253_/A,_079253_,pin,cell
_079253_,_079253_/ZN,cell,pin
_079254_/A,_079254_,pin,cell
_079254_,_079254_/Z,cell,pin
_079255_/A,_079255_,pin,cell
_079255_,_079255_/Z,cell,pin
_079256_/A1,_079256_,pin,cell
_079256_/A2,_079256_,pin,cell
_079256_,_079256_/ZN,cell,pin
_079257_/A,_079257_,pin,cell
_079257_,_079257_/ZN,cell,pin
_079258_/A1,_079258_,pin,cell
_079258_/A2,_079258_,pin,cell
_079258_,_079258_/ZN,cell,pin
_079259_/A,_079259_,pin,cell
_079259_,_079259_/ZN,cell,pin
_079260_/A,_079260_,pin,cell
_079260_,_079260_/Z,cell,pin
_079261_/A,_079261_,pin,cell
_079261_,_079261_/Z,cell,pin
_079262_/A,_079262_,pin,cell
_079262_,_079262_/Z,cell,pin
_079263_/A,_079263_,pin,cell
_079263_,_079263_/Z,cell,pin
_079264_/A,_079264_,pin,cell
_079264_,_079264_/Z,cell,pin
_079265_/A1,_079265_,pin,cell
_079265_/A2,_079265_,pin,cell
_079265_,_079265_/ZN,cell,pin
_079266_/A,_079266_,pin,cell
_079266_,_079266_/ZN,cell,pin
_079267_/A,_079267_,pin,cell
_079267_,_079267_/Z,cell,pin
_079268_/A,_079268_,pin,cell
_079268_,_079268_/Z,cell,pin
_079269_/A1,_079269_,pin,cell
_079269_/A2,_079269_,pin,cell
_079269_,_079269_/ZN,cell,pin
_079270_/A,_079270_,pin,cell
_079270_,_079270_/ZN,cell,pin
_079271_/A,_079271_,pin,cell
_079271_,_079271_/Z,cell,pin
_079272_/A1,_079272_,pin,cell
_079272_/A2,_079272_,pin,cell
_079272_,_079272_/ZN,cell,pin
_079273_/A,_079273_,pin,cell
_079273_,_079273_/ZN,cell,pin
_079274_/A1,_079274_,pin,cell
_079274_/A2,_079274_,pin,cell
_079274_,_079274_/ZN,cell,pin
_079275_/A,_079275_,pin,cell
_079275_,_079275_/ZN,cell,pin
_079276_/A,_079276_,pin,cell
_079276_,_079276_/Z,cell,pin
_079277_/A,_079277_,pin,cell
_079277_,_079277_/Z,cell,pin
_079278_/A1,_079278_,pin,cell
_079278_/A2,_079278_,pin,cell
_079278_,_079278_/ZN,cell,pin
_079279_/A,_079279_,pin,cell
_079279_,_079279_/Z,cell,pin
_079280_/A,_079280_,pin,cell
_079280_,_079280_/Z,cell,pin
_079281_/A1,_079281_,pin,cell
_079281_/A2,_079281_,pin,cell
_079281_,_079281_/ZN,cell,pin
_079282_/A,_079282_,pin,cell
_079282_,_079282_/ZN,cell,pin
_079283_/A,_079283_,pin,cell
_079283_,_079283_/Z,cell,pin
_079284_/A,_079284_,pin,cell
_079284_,_079284_/Z,cell,pin
_079285_/A1,_079285_,pin,cell
_079285_/A2,_079285_,pin,cell
_079285_,_079285_/ZN,cell,pin
_079286_/A,_079286_,pin,cell
_079286_,_079286_/ZN,cell,pin
_079287_/A,_079287_,pin,cell
_079287_,_079287_/Z,cell,pin
_079288_/A,_079288_,pin,cell
_079288_,_079288_/Z,cell,pin
_079289_/A1,_079289_,pin,cell
_079289_/A2,_079289_,pin,cell
_079289_,_079289_/ZN,cell,pin
_079290_/A,_079290_,pin,cell
_079290_,_079290_/ZN,cell,pin
_079291_/A,_079291_,pin,cell
_079291_,_079291_/Z,cell,pin
_079292_/A1,_079292_,pin,cell
_079292_/A2,_079292_,pin,cell
_079292_,_079292_/ZN,cell,pin
_079293_/A,_079293_,pin,cell
_079293_,_079293_/ZN,cell,pin
_079294_/A,_079294_,pin,cell
_079294_,_079294_/Z,cell,pin
_079295_/A,_079295_,pin,cell
_079295_,_079295_/Z,cell,pin
_079296_/A,_079296_,pin,cell
_079296_,_079296_/Z,cell,pin
_079297_/A1,_079297_,pin,cell
_079297_/A2,_079297_,pin,cell
_079297_,_079297_/ZN,cell,pin
_079298_/A1,_079298_,pin,cell
_079298_/A2,_079298_,pin,cell
_079298_,_079298_/ZN,cell,pin
_079299_/A1,_079299_,pin,cell
_079299_/A2,_079299_,pin,cell
_079299_,_079299_/ZN,cell,pin
_079300_/A,_079300_,pin,cell
_079300_,_079300_/ZN,cell,pin
_079301_/A,_079301_,pin,cell
_079301_,_079301_/Z,cell,pin
_079302_/A1,_079302_,pin,cell
_079302_/A2,_079302_,pin,cell
_079302_,_079302_/ZN,cell,pin
_079303_/A,_079303_,pin,cell
_079303_,_079303_/ZN,cell,pin
_079304_/A,_079304_,pin,cell
_079304_,_079304_/Z,cell,pin
_079305_/A,_079305_,pin,cell
_079305_,_079305_/Z,cell,pin
_079306_/A,_079306_,pin,cell
_079306_,_079306_/Z,cell,pin
_079307_/A1,_079307_,pin,cell
_079307_/A2,_079307_,pin,cell
_079307_,_079307_/ZN,cell,pin
_079308_/A,_079308_,pin,cell
_079308_,_079308_/ZN,cell,pin
_079309_/A,_079309_,pin,cell
_079309_,_079309_/Z,cell,pin
_079310_/A1,_079310_,pin,cell
_079310_/A2,_079310_,pin,cell
_079310_,_079310_/ZN,cell,pin
_079311_/A,_079311_,pin,cell
_079311_,_079311_/ZN,cell,pin
_079312_/A,_079312_,pin,cell
_079312_,_079312_/Z,cell,pin
_079313_/A,_079313_,pin,cell
_079313_,_079313_/Z,cell,pin
_079314_/A1,_079314_,pin,cell
_079314_/A2,_079314_,pin,cell
_079314_,_079314_/ZN,cell,pin
_079315_/A1,_079315_,pin,cell
_079315_/A2,_079315_,pin,cell
_079315_,_079315_/ZN,cell,pin
_079316_/A,_079316_,pin,cell
_079316_,_079316_/ZN,cell,pin
_079317_/A1,_079317_,pin,cell
_079317_/A2,_079317_,pin,cell
_079317_,_079317_/ZN,cell,pin
_079318_/A,_079318_,pin,cell
_079318_,_079318_/ZN,cell,pin
_079319_/A,_079319_,pin,cell
_079319_,_079319_/Z,cell,pin
_079320_/A,_079320_,pin,cell
_079320_,_079320_/Z,cell,pin
_079321_/A,_079321_,pin,cell
_079321_,_079321_/Z,cell,pin
_079322_/A,_079322_,pin,cell
_079322_,_079322_/Z,cell,pin
_079323_/A,_079323_,pin,cell
_079323_,_079323_/Z,cell,pin
_079324_/A,_079324_,pin,cell
_079324_,_079324_/Z,cell,pin
_079325_/A1,_079325_,pin,cell
_079325_/A2,_079325_,pin,cell
_079325_,_079325_/ZN,cell,pin
_079326_/A,_079326_,pin,cell
_079326_,_079326_/ZN,cell,pin
_079327_/A1,_079327_,pin,cell
_079327_/A2,_079327_,pin,cell
_079327_,_079327_/ZN,cell,pin
_079328_/A,_079328_,pin,cell
_079328_,_079328_/ZN,cell,pin
_079329_/A1,_079329_,pin,cell
_079329_/A2,_079329_,pin,cell
_079329_,_079329_/ZN,cell,pin
_079330_/A1,_079330_,pin,cell
_079330_/A2,_079330_,pin,cell
_079330_,_079330_/ZN,cell,pin
_079331_/A,_079331_,pin,cell
_079331_,_079331_/ZN,cell,pin
_079332_/A,_079332_,pin,cell
_079332_,_079332_/Z,cell,pin
_079333_/A,_079333_,pin,cell
_079333_,_079333_/Z,cell,pin
_079334_/A1,_079334_,pin,cell
_079334_/A2,_079334_,pin,cell
_079334_,_079334_/ZN,cell,pin
_079335_/A,_079335_,pin,cell
_079335_,_079335_/ZN,cell,pin
_079336_/A,_079336_,pin,cell
_079336_,_079336_/Z,cell,pin
_079337_/A,_079337_,pin,cell
_079337_,_079337_/Z,cell,pin
_079338_/A,_079338_,pin,cell
_079338_,_079338_/Z,cell,pin
_079339_/A1,_079339_,pin,cell
_079339_/A2,_079339_,pin,cell
_079339_,_079339_/ZN,cell,pin
_079340_/A,_079340_,pin,cell
_079340_,_079340_/Z,cell,pin
_079341_/A1,_079341_,pin,cell
_079341_/A2,_079341_,pin,cell
_079341_,_079341_/ZN,cell,pin
_079342_/A,_079342_,pin,cell
_079342_,_079342_/ZN,cell,pin
_079343_/A,_079343_,pin,cell
_079343_,_079343_/Z,cell,pin
_079344_/A1,_079344_,pin,cell
_079344_/A2,_079344_,pin,cell
_079344_,_079344_/ZN,cell,pin
_079345_/A,_079345_,pin,cell
_079345_,_079345_/ZN,cell,pin
_079346_/A,_079346_,pin,cell
_079346_,_079346_/Z,cell,pin
_079347_/A1,_079347_,pin,cell
_079347_/A2,_079347_,pin,cell
_079347_,_079347_/ZN,cell,pin
_079348_/A,_079348_,pin,cell
_079348_,_079348_/ZN,cell,pin
_079349_/A1,_079349_,pin,cell
_079349_/A2,_079349_,pin,cell
_079349_,_079349_/ZN,cell,pin
_079350_/A,_079350_,pin,cell
_079350_,_079350_/ZN,cell,pin
_079351_/A1,_079351_,pin,cell
_079351_/A2,_079351_,pin,cell
_079351_,_079351_/ZN,cell,pin
_079352_/A,_079352_,pin,cell
_079352_,_079352_/ZN,cell,pin
_079353_/A,_079353_,pin,cell
_079353_,_079353_/ZN,cell,pin
_079354_/A1,_079354_,pin,cell
_079354_/A2,_079354_,pin,cell
_079354_,_079354_/ZN,cell,pin
_079355_/A,_079355_,pin,cell
_079355_,_079355_/ZN,cell,pin
_079356_/A1,_079356_,pin,cell
_079356_/A2,_079356_,pin,cell
_079356_,_079356_/ZN,cell,pin
_079357_/A,_079357_,pin,cell
_079357_,_079357_/ZN,cell,pin
_079358_/A,_079358_,pin,cell
_079358_,_079358_/Z,cell,pin
_079359_/A1,_079359_,pin,cell
_079359_/A2,_079359_,pin,cell
_079359_,_079359_/ZN,cell,pin
_079360_/A1,_079360_,pin,cell
_079360_/A2,_079360_,pin,cell
_079360_,_079360_/ZN,cell,pin
_079361_/A,_079361_,pin,cell
_079361_,_079361_/ZN,cell,pin
_079362_/A1,_079362_,pin,cell
_079362_/A2,_079362_,pin,cell
_079362_,_079362_/ZN,cell,pin
_079363_/A,_079363_,pin,cell
_079363_,_079363_/ZN,cell,pin
_079364_/A,_079364_,pin,cell
_079364_,_079364_/Z,cell,pin
_079365_/A,_079365_,pin,cell
_079365_,_079365_/Z,cell,pin
_079366_/A1,_079366_,pin,cell
_079366_/A2,_079366_,pin,cell
_079366_,_079366_/ZN,cell,pin
_079367_/A,_079367_,pin,cell
_079367_,_079367_/ZN,cell,pin
_079368_/A,_079368_,pin,cell
_079368_,_079368_/Z,cell,pin
_079369_/A1,_079369_,pin,cell
_079369_/A2,_079369_,pin,cell
_079369_,_079369_/ZN,cell,pin
_079370_/A1,_079370_,pin,cell
_079370_/A2,_079370_,pin,cell
_079370_,_079370_/ZN,cell,pin
_079371_/A,_079371_,pin,cell
_079371_,_079371_/ZN,cell,pin
_079372_/A1,_079372_,pin,cell
_079372_/A2,_079372_,pin,cell
_079372_,_079372_/ZN,cell,pin
_079373_/A,_079373_,pin,cell
_079373_,_079373_/ZN,cell,pin
_079374_/A1,_079374_,pin,cell
_079374_/A2,_079374_,pin,cell
_079374_,_079374_/ZN,cell,pin
_079375_/A,_079375_,pin,cell
_079375_,_079375_/ZN,cell,pin
_079376_/A1,_079376_,pin,cell
_079376_/A2,_079376_,pin,cell
_079376_,_079376_/ZN,cell,pin
_079377_/A,_079377_,pin,cell
_079377_,_079377_/ZN,cell,pin
_079378_/A1,_079378_,pin,cell
_079378_/A2,_079378_,pin,cell
_079378_,_079378_/ZN,cell,pin
_079379_/A,_079379_,pin,cell
_079379_,_079379_/ZN,cell,pin
_079380_/A,_079380_,pin,cell
_079380_,_079380_/Z,cell,pin
_079381_/A1,_079381_,pin,cell
_079381_/A2,_079381_,pin,cell
_079381_,_079381_/ZN,cell,pin
_079382_/A1,_079382_,pin,cell
_079382_/A2,_079382_,pin,cell
_079382_,_079382_/ZN,cell,pin
_079383_/A,_079383_,pin,cell
_079383_,_079383_/ZN,cell,pin
_079384_/A,_079384_,pin,cell
_079384_,_079384_/Z,cell,pin
_079385_/A,_079385_,pin,cell
_079385_,_079385_/Z,cell,pin
