cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FILLER_0_0_1,0,0,0,2660,2800,14820,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1016,0,0,0,388360,2800,394440,5600,1,0,0,FILLCELL_X16,0.0,0.0
FILLER_0_0_1032,0,0,0,394440,2800,395960,5600,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1036,0,0,0,395960,2800,396340,5600,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1055,0,0,0,403180,2800,406220,5600,1,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_0_1069,0,0,0,408500,2800,411540,5600,1,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_0_1077,0,0,0,411540,2800,412300,5600,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1079,0,0,0,412300,2800,412680,5600,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1090,0,0,0,416480,2800,428640,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1122,0,0,0,428640,2800,434720,5600,1,0,0,FILLCELL_X16,0.0,0.0
FILLER_0_0_1138,0,0,0,434720,2800,437760,5600,1,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_0_1146,0,0,0,437760,2800,439280,5600,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1150,0,0,0,439280,2800,440040,5600,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1162,0,0,0,443840,2800,456000,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1194,0,0,0,456000,2800,468160,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1226,0,0,0,468160,2800,480320,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1258,0,0,0,480320,2800,481840,5600,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1263,0,0,0,482220,2800,494380,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_129,0,0,0,51300,2800,63460,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1295,0,0,0,494380,2800,500460,5600,1,0,0,FILLCELL_X16,0.0,0.0
FILLER_0_0_1311,0,0,0,500460,2800,501980,5600,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1315,0,0,0,501980,2800,502740,5600,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1317,0,0,0,502740,2800,503120,5600,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1334,0,0,0,509200,2800,510720,5600,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1352,0,0,0,516040,2800,522120,5600,1,0,0,FILLCELL_X16,0.0,0.0
FILLER_0_0_1368,0,0,0,522120,2800,523640,5600,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1382,0,0,0,527440,2800,530480,5600,1,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_0_1390,0,0,0,530480,2800,532000,5600,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1404,0,0,0,535800,2800,541880,5600,1,0,0,FILLCELL_X16,0.0,0.0
FILLER_0_0_1420,0,0,0,541880,2800,543400,5600,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1424,0,0,0,543400,2800,544160,5600,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1426,0,0,0,544160,2800,544540,5600,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1429,0,0,0,545300,2800,548340,5600,1,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_0_1437,0,0,0,548340,2800,549100,5600,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1439,0,0,0,549100,2800,549480,5600,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1442,0,0,0,550240,2800,562400,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1474,0,0,0,562400,2800,565440,5600,1,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_0_1482,0,0,0,565440,2800,566960,5600,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1486,0,0,0,566960,2800,567340,5600,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1497,0,0,0,571140,2800,583300,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1529,0,0,0,583300,2800,586340,5600,1,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_0_1542,0,0,0,588240,2800,600400,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1574,0,0,0,600400,2800,612560,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1606,0,0,0,612560,2800,624720,5600,1,0,0,FILLCELL_X32,0.0,0.0
