src,tar,src_type,tar_type,is_net,arc_delay
_079245_/A,_079245_/Z,pin,pin,0,3.4766505646599555e-11
_079246_/A,_079246_/Z,pin,pin,0,3.219798039300059e-11
_079247_/A,_079247_/Z,pin,pin,0,2.8358667844563534e-11
_079248_/A1,_079248_/ZN,pin,pin,0,2.9710379989555946e-11
_079248_/A2,_079248_/ZN,pin,pin,0,5.083610615796985e-11
_079249_/A,_079249_/Z,pin,pin,0,4.15044873469661e-11
_079250_/A,_079250_/Z,pin,pin,0,2.7756611245544072e-11
_079251_/A,_079251_/Z,pin,pin,0,2.915685748394736e-11
_079252_/A1,_079252_/ZN,pin,pin,0,3.470615461687032e-11
_079252_/A2,_079252_/ZN,pin,pin,0,3.383968452674857e-11
_079253_/A,_079253_/ZN,pin,pin,0,2.993585240806951e-11
_079254_/A,_079254_/Z,pin,pin,0,3.4103470047952555e-11
_079255_/A,_079255_/Z,pin,pin,0,2.881570849988524e-11
_079256_/A1,_079256_/ZN,pin,pin,0,2.0851226995022287e-11
_079256_/A2,_079256_/ZN,pin,pin,0,3.1694726704278864e-11
_079257_/A,_079257_/ZN,pin,pin,0,3.340953902419841e-11
_079258_/A1,_079258_/ZN,pin,pin,0,3.32565329441703e-11
_079258_/A2,_079258_/ZN,pin,pin,0,3.148610885905789e-11
_079259_/A,_079259_/ZN,pin,pin,0,3.4517912833598174e-11
_079260_/A,_079260_/Z,pin,pin,0,3.6854300861088873e-11
_079261_/A,_079261_/Z,pin,pin,0,4.8300304728021715e-11
_079262_/A,_079262_/Z,pin,pin,0,3.450794164305826e-11
_079263_/A,_079263_/Z,pin,pin,0,3.480436078229232e-11
_079264_/A,_079264_/Z,pin,pin,0,4.9858842748884413e-11
_079265_/A1,_079265_/ZN,pin,pin,0,2.4821623922921532e-11
_079265_/A2,_079265_/ZN,pin,pin,0,2.4677818816210007e-11
_079266_/A,_079266_/ZN,pin,pin,0,1.9179194690743806e-11
_079267_/A,_079267_/Z,pin,pin,0,4.90284965404264e-11
_079268_/A,_079268_/Z,pin,pin,0,3.6162621508406545e-11
_079269_/A1,_079269_/ZN,pin,pin,0,2.1281761075631067e-11
_079269_/A2,_079269_/ZN,pin,pin,0,3.2805314020833976e-11
_079270_/A,_079270_/ZN,pin,pin,0,1.9037655132891906e-11
_079271_/A,_079271_/Z,pin,pin,0,4.7574773981429175e-11
_079272_/A1,_079272_/ZN,pin,pin,0,2.5288795363342942e-11
_079272_/A2,_079272_/ZN,pin,pin,0,3.805570095161137e-11
_079273_/A,_079273_/ZN,pin,pin,0,4.0921495358947624e-11
_079274_/A1,_079274_/ZN,pin,pin,0,2.1275821382449323e-11
_079274_/A2,_079274_/ZN,pin,pin,0,3.1743212225432416e-11
_079275_/A,_079275_/ZN,pin,pin,0,2.661299479400636e-11
_079276_/A,_079276_/Z,pin,pin,0,3.065835432747299e-11
_079277_/A,_079277_/Z,pin,pin,0,4.380365514755624e-11
_079278_/A1,_079278_/ZN,pin,pin,0,2.7579390160514805e-11
_079278_/A2,_079278_/ZN,pin,pin,0,3.4237834789507815e-11
_079279_/A,_079279_/Z,pin,pin,0,3.328190847917689e-11
_079280_/A,_079280_/Z,pin,pin,0,3.533521392151684e-11
_079281_/A1,_079281_/ZN,pin,pin,0,4.830004451950032e-11
_079281_/A2,_079281_/ZN,pin,pin,0,3.424157485332202e-11
_079282_/A,_079282_/ZN,pin,pin,0,4.015264509771299e-11
_079283_/A,_079283_/Z,pin,pin,0,3.2657151288750796e-11
_079284_/A,_079284_/Z,pin,pin,0,3.436849416171839e-11
_079285_/A1,_079285_/ZN,pin,pin,0,1.9805209555689984e-11
_079285_/A2,_079285_/ZN,pin,pin,0,2.3131089058048282e-11
_079286_/A,_079286_/ZN,pin,pin,0,1.877811274531016e-11
_079287_/A,_079287_/Z,pin,pin,0,4.207159273739158e-11
_079288_/A,_079288_/Z,pin,pin,0,3.80614394168699e-11
_079289_/A1,_079289_/ZN,pin,pin,0,2.1379674072785626e-11
_079289_/A2,_079289_/ZN,pin,pin,0,2.3850451127960248e-11
_079290_/A,_079290_/ZN,pin,pin,0,1.9593176039944815e-11
_079291_/A,_079291_/Z,pin,pin,0,3.4851094232735136e-11
_079292_/A1,_079292_/ZN,pin,pin,0,4.8982772699046606e-11
_079292_/A2,_079292_/ZN,pin,pin,0,3.38508318598052e-11
_079293_/A,_079293_/ZN,pin,pin,0,3.248077848350128e-11
_079294_/A,_079294_/Z,pin,pin,0,3.255359870557584e-11
_079295_/A,_079295_/Z,pin,pin,0,4.629426009206128e-11
_079296_/A,_079296_/Z,pin,pin,0,4.522748495161544e-11
_079297_/A1,_079297_/ZN,pin,pin,0,3.314542390553399e-11
_079297_/A2,_079297_/ZN,pin,pin,0,3.7882287584611873e-11
_079298_/A1,_079298_/ZN,pin,pin,0,3.026983524945237e-11
_079298_/A2,_079298_/ZN,pin,pin,0,3.741867926621012e-11
_079299_/A1,_079299_/ZN,pin,pin,0,3.97536170648749e-11
_079299_/A2,_079299_/ZN,pin,pin,0,3.0776940024290766e-11
_079300_/A,_079300_/ZN,pin,pin,0,3.777455084841286e-11
_079301_/A,_079301_/Z,pin,pin,0,3.566150499900722e-11
