src,tar,src_type,tar_type
dec.decode.leak1_i1_stall_ff.dout$_DFF_PN0_,_124561_,cell,cell
dec.decode.leak1_i1_stall_ff.dout$_DFF_PN0_,_124276_,cell,cell
dec.decode.leak1_i1_stall_ff.dout$_DFF_PN0_,_124275_,cell,cell
dec.decode.e2ff.genblock_dff.dout\[33\]$_DFF_PN0_,_123211_,cell,cell
dec.decode.i0e2pcff.genblock_dff.dout\[30\]$_DFF_PN0_,_124528_,cell,cell
dec.decode.i1e2pcff.genblock_dff.dout\[30\]$_DFF_PN0_,_124528_,cell,cell
dec.decode.wbff.genblock_dff.dout\[64\]$_DFF_PN0_,_117974_,cell,cell
dec.decode.wbff.genblock_dff.dout\[40\]$_DFF_PN0_,_117983_,cell,cell
dec.decode.wbff.genblock_dff.dout\[62\]$_DFF_PN0_,_117972_,cell,cell
dec.decode.wbff.genblock_dff.dout\[63\]$_DFF_PN0_,_117806_,cell,cell
dec.decode.wbff.genblock_dff.dout\[38\]$_DFF_PN0_,_118981_,cell,cell
dec.decode.wbff.genblock_dff.dout\[38\]$_DFF_PN0_,_118758_,cell,cell
dec.decode.wbff.genblock_dff.dout\[38\]$_DFF_PN0_,_117982_,cell,cell
dec.decode.wbff.genblock_dff.dout\[39\]$_DFF_PN0_,_118758_,cell,cell
dec.decode.wbff.genblock_dff.dout\[39\]$_DFF_PN0_,_117986_,cell,cell
dec.decode.wbff.genblock_dff.dout\[39\]$_DFF_PN0_,_117818_,cell,cell
dma_ctrl.GenFifo_0__fifo_done_bus_dff.dffsc.dout$_DFF_PN0_,_135300_,cell,cell
dma_ctrl.GenFifo_0__fifo_done_bus_dff.dffsc.dout$_DFF_PN0_,_097865_,cell,cell
dma_ctrl.GenFifo_1__fifo_done_bus_dff.dffsc.dout$_DFF_PN0_,_135565_,cell,cell
dma_ctrl.GenFifo_1__fifo_done_bus_dff.dffsc.dout$_DFF_PN0_,_097864_,cell,cell
dma_ctrl.GenFifo_2__fifo_done_bus_dff.dffsc.dout$_DFF_PN0_,_097861_,cell,cell
dma_ctrl.GenFifo_3__fifo_done_bus_dff.dffsc.dout$_DFF_PN0_,_136096_,cell,cell
dma_ctrl.GenFifo_3__fifo_done_bus_dff.dffsc.dout$_DFF_PN0_,_097862_,cell,cell
dma_ctrl.GenFifo_2__fifo_error_dff.dffsc.dout\[0\]$_DFF_PN0_,_135835_,cell,cell
dma_ctrl.GenFifo_1__fifo_error_dff.dffsc.dout\[0\]$_DFF_PN0_,_135568_,cell,cell
