src,tar,src_type,tar_type
_083057_/A,_083057_,pin,cell
_083057_,_083057_/Z,cell,pin
_083058_/A,_083058_,pin,cell
_083058_,_083058_/ZN,cell,pin
_083059_/A,_083059_,pin,cell
_083059_,_083059_/Z,cell,pin
_083060_/A,_083060_,pin,cell
_083060_,_083060_/ZN,cell,pin
_083061_/A,_083061_,pin,cell
_083061_/B,_083061_,pin,cell
_083061_/C1,_083061_,pin,cell
_083061_/C2,_083061_,pin,cell
_083061_,_083061_/ZN,cell,pin
_083062_/A1,_083062_,pin,cell
_083062_/A2,_083062_,pin,cell
_083062_,_083062_/ZN,cell,pin
_083063_/A,_083063_,pin,cell
_083063_,_083063_/Z,cell,pin
_083064_/A,_083064_,pin,cell
_083064_,_083064_/ZN,cell,pin
_083065_/A,_083065_,pin,cell
_083065_,_083065_/Z,cell,pin
_083066_/A,_083066_,pin,cell
_083066_,_083066_/Z,cell,pin
_083067_/A,_083067_,pin,cell
_083067_,_083067_/Z,cell,pin
_083068_/A,_083068_,pin,cell
_083068_,_083068_/ZN,cell,pin
_083069_/A,_083069_,pin,cell
_083069_/B1,_083069_,pin,cell
_083069_/B2,_083069_,pin,cell
_083069_,_083069_/ZN,cell,pin
_083070_/A1,_083070_,pin,cell
_083070_/A2,_083070_,pin,cell
_083070_,_083070_/ZN,cell,pin
_083071_/A,_083071_,pin,cell
_083071_,_083071_/ZN,cell,pin
_083072_/A,_083072_,pin,cell
_083072_,_083072_/ZN,cell,pin
_083073_/A1,_083073_,pin,cell
_083073_/A2,_083073_,pin,cell
_083073_,_083073_/ZN,cell,pin
_083074_/A1,_083074_,pin,cell
_083074_/A2,_083074_,pin,cell
_083074_,_083074_/ZN,cell,pin
_083075_/A,_083075_,pin,cell
_083075_,_083075_/ZN,cell,pin
_083076_/A,_083076_,pin,cell
_083076_,_083076_/Z,cell,pin
_083077_/A,_083077_,pin,cell
_083077_,_083077_/ZN,cell,pin
_083078_/A1,_083078_,pin,cell
_083078_/A2,_083078_,pin,cell
_083078_,_083078_/ZN,cell,pin
_083079_/A,_083079_,pin,cell
_083079_,_083079_/Z,cell,pin
_083080_/A,_083080_,pin,cell
_083080_,_083080_/ZN,cell,pin
_083081_/A,_083081_,pin,cell
_083081_,_083081_/Z,cell,pin
_083082_/A,_083082_,pin,cell
_083082_,_083082_/ZN,cell,pin
_083083_/A1,_083083_,pin,cell
_083083_/A2,_083083_,pin,cell
_083083_/A3,_083083_,pin,cell
_083083_,_083083_/ZN,cell,pin
_083084_/A1,_083084_,pin,cell
_083084_/A2,_083084_,pin,cell
_083084_/A3,_083084_,pin,cell
_083084_,_083084_/ZN,cell,pin
_083085_/A,_083085_,pin,cell
_083085_,_083085_/Z,cell,pin
_083086_/A,_083086_,pin,cell
_083086_,_083086_/Z,cell,pin
_083087_/A,_083087_,pin,cell
_083087_,_083087_/Z,cell,pin
_083088_/A,_083088_,pin,cell
_083088_,_083088_/Z,cell,pin
_083089_/A,_083089_,pin,cell
_083089_,_083089_/ZN,cell,pin
_083090_/A,_083090_,pin,cell
_083090_,_083090_/Z,cell,pin
_083091_/A1,_083091_,pin,cell
_083091_/A2,_083091_,pin,cell
_083091_,_083091_/ZN,cell,pin
_083092_/A1,_083092_,pin,cell
_083092_/A2,_083092_,pin,cell
_083092_,_083092_/ZN,cell,pin
