cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FILLER_0_0_1,0,0,0,10640,11200,22800,14000,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1053,0,0,0,410400,11200,410780,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1112,0,0,0,432820,11200,433200,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1116,0,0,0,434340,11200,434720,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1180,0,0,0,458660,11200,459040,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1188,0,0,0,461700,11200,462460,14000,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1190,0,0,0,462460,11200,462840,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1195,0,0,0,464360,11200,465880,14000,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1203,0,0,0,467400,11200,467780,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1212,0,0,0,470820,11200,471200,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1225,0,0,0,475760,11200,476140,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1250,0,0,0,485260,11200,485640,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1254,0,0,0,486780,11200,487160,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1261,0,0,0,489440,11200,489820,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1263,0,0,0,490200,11200,490960,14000,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1269,0,0,0,492480,11200,494000,14000,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_129,0,0,0,59280,11200,71440,14000,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1293,0,0,0,501600,11200,502360,14000,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1306,0,0,0,506540,11200,507300,14000,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1312,0,0,0,508820,11200,509200,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1325,0,0,0,513760,11200,514140,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1332,0,0,0,516420,11200,516800,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1344,0,0,0,520980,11200,521740,14000,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1346,0,0,0,521740,11200,522120,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1375,0,0,0,532760,11200,533140,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1400,0,0,0,542260,11200,542640,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1411,0,0,0,546440,11200,547200,14000,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1446,0,0,0,559740,11200,560120,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1450,0,0,0,561260,11200,562020,14000,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1452,0,0,0,562020,11200,562400,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1473,0,0,0,570000,11200,570760,14000,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1479,0,0,0,572280,11200,573040,14000,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1484,0,0,0,574180,11200,574560,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1509,0,0,0,583680,11200,584060,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1513,0,0,0,585200,11200,585580,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1550,0,0,0,599260,11200,600020,14000,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1552,0,0,0,600020,11200,600400,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1568,0,0,0,606100,11200,607620,14000,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1572,0,0,0,607620,11200,608000,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1576,0,0,0,609140,11200,609520,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1592,0,0,0,615220,11200,616740,14000,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1600,0,0,0,618260,11200,618640,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_161,0,0,0,71440,11200,83600,14000,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1610,0,0,0,622060,11200,622440,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1620,0,0,0,625860,11200,626240,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1657,0,0,0,639920,11200,640300,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1663,0,0,0,642200,11200,642960,14000,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1686,0,0,0,650940,11200,651700,14000,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1688,0,0,0,651700,11200,652080,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1776,0,0,0,685140,11200,685520,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1783,0,0,0,687800,11200,689320,14000,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1787,0,0,0,689320,11200,690080,14000,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1861,0,0,0,717440,11200,729600,14000,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1894,0,0,0,729980,11200,742140,14000,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1926,0,0,0,742140,11200,748220,14000,1,0,0,FILLCELL_X16,0.0,0.0
FILLER_0_0_193,0,0,0,83600,11200,95760,14000,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1942,0,0,0,748220,11200,749740,14000,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1946,0,0,0,749740,11200,750120,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1950,0,0,0,751260,11200,754300,14000,1,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_0_1958,0,0,0,754300,11200,754680,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1962,0,0,0,755820,11200,757340,14000,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1966,0,0,0,757340,11200,758100,14000,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_1971,0,0,0,759240,11200,762280,14000,1,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_0_1982,0,0,0,763420,11200,766460,14000,1,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_0_1993,0,0,0,767600,11200,773680,14000,1,0,0,FILLCELL_X16,0.0,0.0
FILLER_0_0_2012,0,0,0,774820,11200,776340,14000,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_2019,0,0,0,777480,11200,779000,14000,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_2023,0,0,0,779000,11200,779760,14000,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_2028,0,0,0,780900,11200,783940,14000,1,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_0_2036,0,0,0,783940,11200,785460,14000,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_2040,0,0,0,785460,11200,786220,14000,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_2042,0,0,0,786220,11200,786600,14000,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_2046,0,0,0,787740,11200,790780,14000,1,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_0_2054,0,0,0,790780,11200,792300,14000,1,0,0,FILLCELL_X4,0.0,0.0
