src,tar,src_type,tar_type
clk,clkbuf_0_clk/A,net,pin
output728/Z,core_rst_l,pin,net
dbg_bus_clk_en,_108236_/A,net,pin
output729/Z,dccm_clk_override,pin,net
output730/Z,dccm_rd_addr_hi[0],pin,net
output731/Z,dccm_rd_addr_hi[10],pin,net
output732/Z,dccm_rd_addr_hi[11],pin,net
output733/Z,dccm_rd_addr_hi[12],pin,net
output734/Z,dccm_rd_addr_hi[13],pin,net
output735/Z,dccm_rd_addr_hi[14],pin,net
output736/Z,dccm_rd_addr_hi[15],pin,net
output737/Z,dccm_rd_addr_hi[1],pin,net
output738/Z,dccm_rd_addr_hi[2],pin,net
output739/Z,dccm_rd_addr_hi[3],pin,net
output740/Z,dccm_rd_addr_hi[4],pin,net
output741/Z,dccm_rd_addr_hi[5],pin,net
output742/Z,dccm_rd_addr_hi[6],pin,net
output743/Z,dccm_rd_addr_hi[7],pin,net
output744/Z,dccm_rd_addr_hi[8],pin,net
output745/Z,dccm_rd_addr_hi[9],pin,net
output746/Z,dccm_rd_addr_lo[0],pin,net
output747/Z,dccm_rd_addr_lo[10],pin,net
output748/Z,dccm_rd_addr_lo[11],pin,net
output749/Z,dccm_rd_addr_lo[12],pin,net
output750/Z,dccm_rd_addr_lo[13],pin,net
output751/Z,dccm_rd_addr_lo[14],pin,net
output752/Z,dccm_rd_addr_lo[15],pin,net
output753/Z,dccm_rd_addr_lo[1],pin,net
output754/Z,dccm_rd_addr_lo[2],pin,net
output755/Z,dccm_rd_addr_lo[3],pin,net
output756/Z,dccm_rd_addr_lo[4],pin,net
output757/Z,dccm_rd_addr_lo[5],pin,net
output758/Z,dccm_rd_addr_lo[6],pin,net
output759/Z,dccm_rd_addr_lo[7],pin,net
output760/Z,dccm_rd_addr_lo[8],pin,net
output761/Z,dccm_rd_addr_lo[9],pin,net
dccm_rd_data_hi[0],input1/A,net,pin
dccm_rd_data_hi[10],input2/A,net,pin
dccm_rd_data_hi[11],input3/A,net,pin
dccm_rd_data_hi[12],input4/A,net,pin
dccm_rd_data_hi[13],input5/A,net,pin
dccm_rd_data_hi[14],input6/A,net,pin
dccm_rd_data_hi[15],input7/A,net,pin
dccm_rd_data_hi[16],input8/A,net,pin
dccm_rd_data_hi[17],input9/A,net,pin
dccm_rd_data_hi[18],input10/A,net,pin
dccm_rd_data_hi[19],input11/A,net,pin
dccm_rd_data_hi[1],input12/A,net,pin
dccm_rd_data_hi[20],input13/A,net,pin
dccm_rd_data_hi[21],input14/A,net,pin
dccm_rd_data_hi[22],input15/A,net,pin
dccm_rd_data_hi[23],input16/A,net,pin
dccm_rd_data_hi[24],input17/A,net,pin
dccm_rd_data_hi[25],input18/A,net,pin
dccm_rd_data_hi[26],input19/A,net,pin
dccm_rd_data_hi[27],input20/A,net,pin
dccm_rd_data_hi[28],input21/A,net,pin
dccm_rd_data_hi[29],input22/A,net,pin
dccm_rd_data_hi[2],input23/A,net,pin
dccm_rd_data_hi[30],input24/A,net,pin
dccm_rd_data_hi[31],input25/A,net,pin
dccm_rd_data_hi[32],input26/A,net,pin
dccm_rd_data_hi[33],input27/A,net,pin
dccm_rd_data_hi[34],input28/A,net,pin
dccm_rd_data_hi[35],input29/A,net,pin
dccm_rd_data_hi[36],input30/A,net,pin
dccm_rd_data_hi[37],input31/A,net,pin
dccm_rd_data_hi[38],input32/A,net,pin
dccm_rd_data_hi[3],input33/A,net,pin
dccm_rd_data_hi[4],input34/A,net,pin
dccm_rd_data_hi[5],input35/A,net,pin
dccm_rd_data_hi[6],input36/A,net,pin
dccm_rd_data_hi[7],input37/A,net,pin
dccm_rd_data_hi[8],input38/A,net,pin
dccm_rd_data_hi[9],input39/A,net,pin
dccm_rd_data_lo[0],input40/A,net,pin
dccm_rd_data_lo[10],input41/A,net,pin
dccm_rd_data_lo[11],input42/A,net,pin
dccm_rd_data_lo[12],input43/A,net,pin
dccm_rd_data_lo[13],input44/A,net,pin
dccm_rd_data_lo[14],input45/A,net,pin
dccm_rd_data_lo[15],input46/A,net,pin
dccm_rd_data_lo[16],input47/A,net,pin
dccm_rd_data_lo[17],input48/A,net,pin
dccm_rd_data_lo[18],input49/A,net,pin
dccm_rd_data_lo[19],input50/A,net,pin
dccm_rd_data_lo[1],input51/A,net,pin
dccm_rd_data_lo[20],input52/A,net,pin
dccm_rd_data_lo[21],input53/A,net,pin
dccm_rd_data_lo[22],input54/A,net,pin
dccm_rd_data_lo[23],input55/A,net,pin
dccm_rd_data_lo[24],input56/A,net,pin
dccm_rd_data_lo[25],input57/A,net,pin
dccm_rd_data_lo[26],input58/A,net,pin
dccm_rd_data_lo[27],input59/A,net,pin
dccm_rd_data_lo[28],input60/A,net,pin
dccm_rd_data_lo[29],input61/A,net,pin
dccm_rd_data_lo[2],input62/A,net,pin
dccm_rd_data_lo[30],input63/A,net,pin
dccm_rd_data_lo[31],input64/A,net,pin
dccm_rd_data_lo[32],input65/A,net,pin
dccm_rd_data_lo[33],input66/A,net,pin
dccm_rd_data_lo[34],input67/A,net,pin
dccm_rd_data_lo[35],input68/A,net,pin
dccm_rd_data_lo[36],input69/A,net,pin
dccm_rd_data_lo[37],input70/A,net,pin
dccm_rd_data_lo[38],input71/A,net,pin
dccm_rd_data_lo[3],input72/A,net,pin
dccm_rd_data_lo[4],input73/A,net,pin
dccm_rd_data_lo[5],input74/A,net,pin
dccm_rd_data_lo[6],input75/A,net,pin
dccm_rd_data_lo[7],input76/A,net,pin
dccm_rd_data_lo[8],input77/A,net,pin
dccm_rd_data_lo[9],input78/A,net,pin
output762/Z,dccm_rden,pin,net
output763/Z,dccm_wr_addr[0],pin,net
output764/Z,dccm_wr_addr[10],pin,net
output765/Z,dccm_wr_addr[11],pin,net
output766/Z,dccm_wr_addr[12],pin,net
output767/Z,dccm_wr_addr[13],pin,net
output768/Z,dccm_wr_addr[14],pin,net
output769/Z,dccm_wr_addr[15],pin,net
output770/Z,dccm_wr_addr[1],pin,net
output771/Z,dccm_wr_addr[2],pin,net
