pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
ANTENNA_1/DIODE,231380,164560,0,-1,0,1,0,0.0,1.4999999020659516e-09,2,ANTENNA_1,_00009_,1.666414783940695e-10,1.0000000150474662e+30,5.212416720468127e-09,5.285741178084891e-09,8.999999291493615e-16
ANTENNA_10/DIODE,591100,311440,0,-1,0,1,0,0.0,1.4999999020659516e-09,13,ANTENNA_10,_00010_,6.632614457657837e-10,1.0000000150474662e+30,5.404105607453857e-09,5.157078319939501e-09,8.999999291493615e-16
ANTENNA_100/DIODE,6900,390320,0,-1,0,1,0,0.0,1.4999999020659516e-09,12,ANTENNA_100,net202,1.96870866830956e-10,1.0000000150474662e+30,2.3146683181263228e-10,2.078324873311388e-10,8.999999291493615e-16
ANTENNA_101/DIODE,12420,390320,0,-1,0,1,0,0.0,1.4999999020659516e-09,12,ANTENNA_101,net202,1.968726570655832e-10,1.0000000150474662e+30,2.3164135887210335e-10,2.0800579314528278e-10,8.999999291493615e-16
ANTENNA_102/DIODE,5980,390320,0,-1,0,1,0,0.0,1.4999999020659516e-09,12,ANTENNA_102,net202,1.9687089458653162e-10,1.0000000150474662e+30,2.3146914940319618e-10,2.0783474941055147e-10,8.999999291493615e-16
ANTENNA_103/DIODE,13340,390320,0,-1,0,1,0,0.0,1.4999999020659516e-09,12,ANTENNA_103,net202,1.9687357299957853e-10,1.0000000150474662e+30,2.3171596585935816e-10,2.0807977563208624e-10,8.999999291493615e-16
ANTENNA_104/DIODE,265420,379440,0,-1,0,1,0,0.0,1.4999999020659516e-09,6,ANTENNA_104,net193,2.1317148046762213e-10,1.0000000150474662e+30,2.453719172290647e-10,2.184842307073609e-10,8.999999291493615e-16
ANTENNA_105/DIODE,7360,379440,0,-1,0,1,0,0.0,1.4999999020659516e-09,6,ANTENNA_105,net193,2.130339654682345e-10,1.0000000150474662e+30,2.415352640117163e-10,2.146942901237736e-10,8.999999291493615e-16
ANTENNA_106/DIODE,617780,164560,0,-1,0,1,0,0.0,1.4999999020659516e-09,2,ANTENNA_106,u0.subword\[17\],2.2488234885376102e-10,1.0000000150474662e+30,1.3662848630247026e-09,1.3060827974697986e-09,8.999999291493615e-16
ANTENNA_107/DIODE,619620,161840,0,-1,0,1,0,0.0,1.4999999020659516e-09,2,ANTENNA_107,u0.subword\[17\],2.2488680362364732e-10,1.0000000150474662e+30,1.3663454812018472e-09,1.3061389747548446e-09,8.999999291493615e-16
