cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
ANTENNA_1,0,0,0,128800,465120,129720,467840,0,0,0,sky130_fd_sc_hd__diode_2,5.301395410715112e-15,-9.954032975656446e-07
ANTENNA_10,0,0,0,356960,484160,357880,486880,0,0,0,sky130_fd_sc_hd__diode_2,7.53633588775884e-15,-4.736856951126356e-08
ANTENNA_11,0,0,0,340400,73440,341320,76160,0,0,0,sky130_fd_sc_hd__diode_2,6.135432331459689e-15,2.257771747338211e-09
ANTENNA_12,0,0,0,292560,252960,293480,255680,0,0,0,sky130_fd_sc_hd__diode_2,6.416477016325719e-15,-7.835510587028693e-06
ANTENNA_13,0,0,0,533140,252960,534060,255680,0,0,0,sky130_fd_sc_hd__diode_2,7.0547375179055155e-15,-9.890617548080627e-06
ANTENNA_14,0,0,0,403880,272000,404800,274720,0,0,0,sky130_fd_sc_hd__diode_2,7.0547375179055155e-15,-9.890905857901089e-06
ANTENNA_15,0,0,0,533600,288320,534520,291040,0,0,0,sky130_fd_sc_hd__diode_2,7.0547375179055155e-15,-9.890599358186591e-06
ANTENNA_16,0,0,0,347300,462400,348220,465120,0,0,0,sky130_fd_sc_hd__diode_2,7.0547375179055155e-15,-9.891590707411524e-06
ANTENNA_17,0,0,0,534060,274720,534980,277440,0,0,0,sky130_fd_sc_hd__diode_2,7.085203598952358e-15,-7.552829629275948e-06
ANTENNA_18,0,0,0,368460,285600,369380,288320,0,0,0,sky130_fd_sc_hd__diode_2,7.085203598952358e-15,-7.5537282100412995e-06
ANTENNA_19,0,0,0,261280,274720,262200,277440,0,0,0,sky130_fd_sc_hd__diode_2,7.085203598952358e-15,-7.554559033451369e-06
ANTENNA_2,0,0,0,241960,285600,242880,288320,0,0,0,sky130_fd_sc_hd__diode_2,6.137175101748665e-15,2.531427156782229e-08
ANTENNA_20,0,0,0,549240,285600,550160,288320,0,0,0,sky130_fd_sc_hd__diode_2,7.085203598952358e-15,-7.552795977971982e-06
ANTENNA_21,0,0,0,487140,272000,488060,274720,0,0,0,sky130_fd_sc_hd__diode_2,7.02729873261216e-15,-8.888437150744721e-06
ANTENNA_22,0,0,0,547860,277440,548780,280160,0,0,0,sky130_fd_sc_hd__diode_2,7.02729873261216e-15,-8.888207958079875e-06
ANTENNA_23,0,0,0,338100,451520,339020,454240,0,0,0,sky130_fd_sc_hd__diode_2,7.02729873261216e-15,-8.889263881428633e-06
ANTENNA_24,0,0,0,376280,476000,377200,478720,0,0,0,sky130_fd_sc_hd__diode_2,7.02729873261216e-15,-8.889192940841895e-06
ANTENNA_25,0,0,0,176180,331840,177100,334560,0,0,0,sky130_fd_sc_hd__diode_2,7.182453145692519e-15,-6.129894700279692e-06
ANTENNA_26,0,0,0,19780,233920,20700,236640,0,0,0,sky130_fd_sc_hd__diode_2,9.384123015601046e-15,7.08093894630224e-09
ANTENNA_27,0,0,0,21620,280160,22540,282880,0,0,0,sky130_fd_sc_hd__diode_2,9.384123015601046e-15,7.082408437497634e-09
ANTENNA_28,0,0,0,19780,274720,20700,277440,0,0,0,sky130_fd_sc_hd__diode_2,9.384123015601046e-15,7.082408437497634e-09
ANTENNA_29,0,0,0,403420,214880,404340,217600,0,0,0,sky130_fd_sc_hd__diode_2,6.338420389137393e-15,6.450862066742502e-09
ANTENNA_3,0,0,0,98900,486880,99820,489600,0,0,0,sky130_fd_sc_hd__diode_2,4.375242809923682e-15,-6.535340162372449e-07
ANTENNA_30,0,0,0,515660,323680,516580,326400,0,0,0,sky130_fd_sc_hd__diode_2,8.222094608888869e-15,5.314661279953725e-07
ANTENNA_31,0,0,0,519340,323680,520260,326400,0,0,0,sky130_fd_sc_hd__diode_2,8.222094608888869e-15,5.314661279953725e-07
ANTENNA_32,0,0,0,395600,380800,396520,383520,0,0,0,sky130_fd_sc_hd__diode_2,5.7411952457202785e-15,-1.4581495122456545e-07
ANTENNA_33,0,0,0,136160,138720,137080,141440,0,0,0,sky130_fd_sc_hd__diode_2,5.41519344014578e-15,-7.308046860998729e-07
ANTENNA_34,0,0,0,188600,146880,189520,149600,0,0,0,sky130_fd_sc_hd__diode_2,5.41519344014578e-15,-7.295831210285542e-07
ANTENNA_35,0,0,0,235060,103360,235980,106080,0,0,0,sky130_fd_sc_hd__diode_2,5.41519344014578e-15,-7.259979497575841e-07
ANTENNA_36,0,0,0,266340,97920,267260,100640,0,0,0,sky130_fd_sc_hd__diode_2,5.41519344014578e-15,-7.258745426952373e-07
ANTENNA_37,0,0,0,327520,473280,328440,476000,0,0,0,sky130_fd_sc_hd__diode_2,7.968071122073199e-15,-1.6215658149576484e-08
ANTENNA_38,0,0,0,299920,484160,300840,486880,0,0,0,sky130_fd_sc_hd__diode_2,7.968071122073199e-15,-1.6392981194712775e-08
ANTENNA_39,0,0,0,383640,364480,384560,367200,0,0,0,sky130_fd_sc_hd__diode_2,7.265997699346105e-15,-8.592932090323302e-07
