src,tar,src_type,tar_type,is_net,arc_delay
_14021_/A1,_14021_/Y,pin,pin,0,2.843894009174619e-10
_14021_/A2,_14021_/Y,pin,pin,0,1.4759085620319468e-10
_14021_/B1,_14021_/Y,pin,pin,0,9.108707538230121e-11
_14022_/A1,_14022_/Y,pin,pin,0,3.070180776276743e-10
_14022_/A2,_14022_/Y,pin,pin,0,3.269729487165307e-10
_14022_/B1,_14022_/Y,pin,pin,0,2.976266733067945e-10
_14022_/C1,_14022_/Y,pin,pin,0,3.20898446704021e-10
_14023_/A0,_14023_/X,pin,pin,0,4.5025377870544503e-10
_14023_/A1,_14023_/X,pin,pin,0,3.4349822986001755e-10
_14023_/S,_14023_/X,pin,pin,0,4.340490467047431e-10
_14024_/A1,_14024_/Y,pin,pin,0,2.1184275167396294e-10
_14024_/A2,_14024_/Y,pin,pin,0,1.326199566831221e-10
_14024_/B1,_14024_/Y,pin,pin,0,1.5872873848632452e-10
_14025_/A1,_14025_/Y,pin,pin,0,3.35587335698051e-10
_14025_/A2,_14025_/Y,pin,pin,0,3.922440983128439e-10
_14025_/B1,_14025_/Y,pin,pin,0,2.399022369647952e-10
_14025_/B2,_14025_/Y,pin,pin,0,3.348618604626097e-10
_14025_/C1,_14025_/Y,pin,pin,0,2.969616219594684e-10
_14026_/A1,_14026_/Y,pin,pin,0,2.6036570122123237e-10
_14026_/A2,_14026_/Y,pin,pin,0,2.4132998377446313e-10
_14026_/B1,_14026_/Y,pin,pin,0,1.888765810420523e-10
_14027_/A1,_14027_/Y,pin,pin,0,1.3652970420885424e-10
_14027_/A2,_14027_/Y,pin,pin,0,2.0886603557812577e-10
_14027_/B1,_14027_/Y,pin,pin,0,2.765777051827456e-10
_14028_/A,_14028_/Y,pin,pin,0,1.3890111283387796e-10
_14028_/B,_14028_/Y,pin,pin,0,1.3741999205230115e-10
_14029_/A1,_14029_/Y,pin,pin,0,1.4052034535971814e-10
_14029_/A2,_14029_/Y,pin,pin,0,1.545503308664209e-10
_14029_/B1,_14029_/Y,pin,pin,0,1.1904352503755433e-10
_14030_/A,_14030_/Y,pin,pin,0,8.51530373990883e-11
_14030_/B,_14030_/Y,pin,pin,0,1.727877285695456e-10
_14031_/A1,_14031_/Y,pin,pin,0,2.824231126741239e-10
_14031_/A2,_14031_/Y,pin,pin,0,1.465811083622981e-10
_14031_/B1,_14031_/Y,pin,pin,0,9.127640310246932e-11
_14032_/A1,_14032_/Y,pin,pin,0,3.5251382368706174e-10
_14032_/A2,_14032_/Y,pin,pin,0,4.0869835293833034e-10
_14032_/B1,_14032_/Y,pin,pin,0,2.565708479007611e-10
_14032_/B2,_14032_/Y,pin,pin,0,3.514223079204015e-10
_14032_/C1,_14032_/Y,pin,pin,0,3.132520631776714e-10
_14033_/A,_14033_/Y,pin,pin,0,1.5930715080436642e-10
_14033_/B,_14033_/Y,pin,pin,0,1.36664610184134e-10
_14034_/A0,_14034_/Y,pin,pin,0,3.479891097502019e-10
_14034_/A1,_14034_/Y,pin,pin,0,2.440101731782107e-10
_14034_/S,_14034_/Y,pin,pin,0,3.4779418234265336e-10
_14035_/A,_14035_/Y,pin,pin,0,1.5212192616687048e-10
_14035_/B,_14035_/Y,pin,pin,0,1.5164045019666617e-10
_14036_/A1,_14036_/Y,pin,pin,0,3.1174460235483537e-10
_14036_/A2,_14036_/Y,pin,pin,0,3.5837288692164293e-10
_14036_/A3,_14036_/Y,pin,pin,0,2.459489001349624e-10
_14036_/B1,_14036_/Y,pin,pin,0,1.2022539908063123e-10
_14036_/C1,_14036_/Y,pin,pin,0,2.2879009797804883e-10
_14037_/A1,_14037_/Y,pin,pin,0,3.051781882756899e-10
_14037_/A2,_14037_/Y,pin,pin,0,3.9417069608305155e-10
_14037_/B1,_14037_/Y,pin,pin,0,3.4942354565359324e-10
_14037_/B2,_14037_/Y,pin,pin,0,3.4883027022480917e-10
