pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
ANTENNA_1/DIODE,129260,466480,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_1,_02924_,7.299932880400206e-10,1.0000000150474662e+30,6.086853243658652e-09,6.238451089046748e-09,8.999999291493615e-16
ANTENNA_10/DIODE,357420,485520,0,-1,0,1,0,0.0,1.4999999020659516e-09,2,ANTENNA_10,net318,2.1841119191012837e-10,1.0000000150474662e+30,5.912895950643815e-09,5.584706475048051e-09,8.999999291493615e-16
ANTENNA_11/DIODE,340860,74800,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_11,net287,2.2695822998741733e-10,1.0000000150474662e+30,7.81144215977747e-09,7.648668365334288e-09,8.999999291493615e-16
ANTENNA_12/DIODE,293020,254320,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_12,net171,1.1435575819618293e-09,1.0000000150474662e+30,8.234827930664324e-09,7.681761893252315e-09,8.999999291493615e-16
ANTENNA_13/DIODE,533600,254320,0,-1,0,1,0,0.0,1.4999999020659516e-09,4,ANTENNA_13,net159,1.4252100610789853e-09,1.0000000150474662e+30,1.0027950025914834e-08,9.602300288236165e-09,8.999999291493615e-16
ANTENNA_14/DIODE,404340,273360,0,-1,0,1,0,0.0,1.4999999020659516e-09,4,ANTENNA_14,net159,1.425193185689011e-09,1.0000000150474662e+30,1.0026994345935236e-08,9.601357930932863e-09,8.999999291493615e-16
ANTENNA_15/DIODE,534060,289680,0,-1,0,1,0,0.0,1.4999999020659516e-09,4,ANTENNA_15,net159,1.4252107272128e-09,1.0000000150474662e+30,1.00279891057653e-08,9.602335815372953e-09,8.999999291493615e-16
ANTENNA_16/DIODE,347760,463760,0,-1,0,1,0,0.0,1.4999999020659516e-09,4,ANTENNA_16,net159,1.4251558821953836e-09,1.0000000150474662e+30,1.0024320928891939e-08,9.598685402067986e-09,8.999999291493615e-16
ANTENNA_17/DIODE,534520,276080,0,-1,0,1,0,0.0,1.4999999020659516e-09,4,ANTENNA_17,net158,1.153830031519476e-09,1.0000000150474662e+30,1.008343541997192e-08,9.553254187721905e-09,8.999999291493615e-16
ANTENNA_18/DIODE,368920,286960,0,-1,0,1,0,0.0,1.4999999020659516e-09,4,ANTENNA_18,net158,1.1537835131747443e-09,1.0000000150474662e+30,1.0082260359922657e-08,9.552099555776294e-09,8.999999291493615e-16
ANTENNA_19/DIODE,261740,276080,0,-1,0,1,0,0.0,1.4999999020659516e-09,4,ANTENNA_19,net158,1.1537418798113208e-09,1.0000000150474662e+30,1.0081120827010182e-08,9.550974233718534e-09,8.999999291493615e-16
ANTENNA_2/DIODE,242420,286960,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_2,_03460_,3.9766234749549767e-10,1.0000000150474662e+30,1.1768098495679169e-08,1.1584419645771504e-08,8.999999291493615e-16
ANTENNA_20/DIODE,549700,286960,0,-1,0,1,0,0.0,1.4999999020659516e-09,4,ANTENNA_20,net158,1.1538323629878278e-09,1.0000000150474662e+30,1.0083490487033941e-08,9.553306590248667e-09,8.999999291493615e-16
ANTENNA_21/DIODE,487600,273360,0,-1,0,1,0,0.0,1.4999999020659516e-09,4,ANTENNA_21,net154,1.3297901668707368e-09,1.0000000150474662e+30,9.350785923345484e-09,9.177436588458932e-09,8.999999291493615e-16
ANTENNA_22/DIODE,548320,278800,0,-1,0,1,0,0.0,1.4999999020659516e-09,4,ANTENNA_22,net154,1.3298038226139397e-09,1.0000000150474662e+30,9.351522223255415e-09,9.178156901157308e-09,8.999999291493615e-16
ANTENNA_23/DIODE,338560,452880,0,-1,0,1,0,0.0,1.4999999020659516e-09,4,ANTENNA_23,net154,1.3297428713698878e-09,1.0000000150474662e+30,9.347368212786478e-09,9.174030424219382e-09,8.999999291493615e-16
ANTENNA_24/DIODE,376740,477360,0,-1,0,1,0,0.0,1.4999999020659516e-09,4,ANTENNA_24,net154,1.3297468681727764e-09,1.0000000150474662e+30,9.347754570399047e-09,9.174409676404593e-09,8.999999291493615e-16
ANTENNA_25/DIODE,176640,333200,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_25,net151,1.2691913076068317e-09,1.0000000150474662e+30,9.323350980139367e-09,9.200804562681242e-09,8.999999291493615e-16
ANTENNA_26/DIODE,20240,235280,0,-1,0,1,0,0.0,1.4999999020659516e-09,3,ANTENNA_26,_06398_,4.3616477096719564e-10,1.0000000150474662e+30,1.109955150013775e-08,1.1042544656447717e-08,8.999999291493615e-16
ANTENNA_27/DIODE,22080,281520,0,-1,0,1,0,0.0,1.4999999020659516e-09,3,ANTENNA_27,_06398_,4.360672101189067e-10,1.0000000150474662e+30,1.109800962240115e-08,1.1041051628524201e-08,8.999999291493615e-16
ANTENNA_28/DIODE,20240,276080,0,-1,0,1,0,0.0,1.4999999020659516e-09,3,ANTENNA_28,_06398_,4.360668770519993e-10,1.0000000150474662e+30,1.1098003405152213e-08,1.1041046299453683e-08,8.999999291493615e-16
ANTENNA_29/DIODE,403880,216240,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_29,net73,1.521612003063666e-10,1.0000000150474662e+30,2.0355354901635536e-10,1.9010326646196063e-10,8.999999291493615e-16
ANTENNA_3/DIODE,99360,488240,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_3,_03883_,6.407298580590748e-10,1.0000000150474662e+30,5.633509658764524e-09,5.485017773310119e-09,8.999999291493615e-16
ANTENNA_30/DIODE,516120,325040,0,-1,0,1,0,0.0,1.4999999020659516e-09,2,ANTENNA_30,_07298_,2.1876918332441875e-10,1.0000000150474662e+30,1.053630072078704e-08,9.984492344017326e-09,8.999999291493615e-16
ANTENNA_31/DIODE,519800,325040,0,-1,0,1,0,0.0,1.4999999020659516e-09,2,ANTENNA_31,_07298_,2.1876898903538944e-10,1.0000000150474662e+30,1.0536288286289164e-08,9.98448079769787e-09,8.999999291493615e-16
ANTENNA_32/DIODE,396060,382160,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_32,_08249_,3.110879054357696e-10,1.0000000150474662e+30,5.939386760189791e-09,5.9438840516179425e-09,8.999999291493615e-16
ANTENNA_33/DIODE,136620,140080,0,-1,0,1,0,0.0,1.4999999020659516e-09,4,ANTENNA_33,_08799_,8.733148093575949e-10,1.0000000150474662e+30,4.097479244791202e-09,3.281154681289422e-09,8.999999291493615e-16
ANTENNA_34/DIODE,189060,148240,0,-1,0,1,0,0.0,1.4999999020659516e-09,4,ANTENNA_34,_08799_,8.737839896078015e-10,1.0000000150474662e+30,4.09896605546578e-09,3.2824620799232207e-09,8.999999291493615e-16
ANTENNA_35/DIODE,235520,104720,0,-1,0,1,0,0.0,1.4999999020659516e-09,4,ANTENNA_35,_08799_,8.752168434433827e-10,1.0000000150474662e+30,4.103363426821716e-09,3.286305449989868e-09,8.999999291493615e-16
ANTENNA_36/DIODE,266800,99280,0,-1,0,1,0,0.0,1.4999999020659516e-09,4,ANTENNA_36,_08799_,8.75267802680213e-10,1.0000000150474662e+30,4.103515305331484e-09,3.286439120842033e-09,8.999999291493615e-16
ANTENNA_37/DIODE,327980,474640,0,-1,0,1,0,0.0,1.4999999020659516e-09,2,ANTENNA_37,_09214_,3.901705347697515e-10,1.0000000150474662e+30,5.295761162926738e-09,5.6417834848332404e-09,8.999999291493615e-16
ANTENNA_38/DIODE,300380,485520,0,-1,0,1,0,0.0,1.4999999020659516e-09,2,ANTENNA_38,_09214_,3.898344980157731e-10,1.0000000150474662e+30,5.294297444891072e-09,5.640360623004881e-09,8.999999291493615e-16
ANTENNA_39/DIODE,384100,365840,0,-1,0,1,0,0.0,1.4999999020659516e-09,2,ANTENNA_39,_10051_,7.584869954335716e-10,1.0000000150474662e+30,5.3402362532040115e-09,5.177417161661424e-09,8.999999291493615e-16
ANTENNA_4/DIODE,321540,420240,0,-1,0,1,0,0.0,1.4999999020659516e-09,2,ANTENNA_4,net339,1.633615187568438e-10,1.0000000150474662e+30,5.834890348666022e-09,5.4541540173147496e-09,8.999999291493615e-16
ANTENNA_40/DIODE,199640,357680,0,-1,0,1,0,0.0,1.4999999020659516e-09,2,ANTENNA_40,_10051_,7.579132876855965e-10,1.0000000150474662e+30,5.332979391425852e-09,5.170293082557009e-09,8.999999291493615e-16
ANTENNA_41/DIODE,175260,455600,0,-1,0,1,0,0.0,1.4999999020659516e-09,3,ANTENNA_41,_10100_,4.1409300988171083e-10,1.0000000150474662e+30,5.184762841281554e-09,4.980360568396236e-09,8.999999291493615e-16
ANTENNA_42/DIODE,235980,333200,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_42,_10112_,9.124763167278616e-10,1.0000000150474662e+30,5.4416879891050485e-09,5.142104075872567e-09,8.999999291493615e-16
ANTENNA_43/DIODE,230000,458320,0,-1,0,1,0,0.0,1.4999999020659516e-09,3,ANTENNA_43,_10498_,8.357388114887954e-10,1.0000000150474662e+30,5.353998133728055e-09,5.167584582466134e-09,8.999999291493615e-16
ANTENNA_44/DIODE,333040,455600,0,-1,0,1,0,0.0,1.4999999020659516e-09,3,ANTENNA_44,_10498_,8.357817771198484e-10,1.0000000150474662e+30,5.354909848875877e-09,5.168482086759241e-09,8.999999291493615e-16
ANTENNA_45/DIODE,226320,278800,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_45,_10664_,2.87011858723929e-10,1.0000000150474662e+30,5.218852017208064e-09,5.766266575335521e-09,8.999999291493615e-16
ANTENNA_46/DIODE,277380,477360,0,-1,0,1,0,0.0,1.4999999020659516e-09,2,ANTENNA_46,_10915_,6.428220178378297e-10,1.0000000150474662e+30,5.386439738686022e-09,4.987416701851544e-09,8.999999291493615e-16
ANTENNA_47/DIODE,344080,477360,0,-1,0,1,0,0.0,1.4999999020659516e-09,2,ANTENNA_47,_10915_,6.428404475400384e-10,1.0000000150474662e+30,5.386778134663928e-09,4.987750656937351e-09,8.999999291493615e-16
ANTENNA_48/DIODE,108560,295120,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_48,_11158_,4.638678607893354e-10,1.0000000150474662e+30,5.18610621114135e-09,5.1592863314908755e-09,8.999999291493615e-16
ANTENNA_49/DIODE,362480,172720,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_49,_11401_,3.802499426441841e-10,1.0000000150474662e+30,8.664784445500118e-09,8.463990397444832e-09,8.999999291493615e-16
ANTENNA_5/DIODE,350060,382160,0,-1,0,1,0,0.0,1.4999999020659516e-09,2,ANTENNA_5,net339,1.6327246499248105e-10,1.0000000150474662e+30,5.83371084772466e-09,5.453015816669904e-09,8.999999291493615e-16
ANTENNA_50/DIODE,448960,262480,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_50,_11904_,8.197365009010582e-10,1.0000000150474662e+30,1.0165698505204546e-08,9.695723335312323e-09,8.999999291493615e-16
ANTENNA_51/DIODE,525780,194480,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_51,_12042_,7.272553115278413e-10,1.0000000150474662e+30,1.002565230834307e-08,9.706375259099786e-09,8.999999291493615e-16
ANTENNA_52/DIODE,407100,164560,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_52,_12263_,4.16148032700292e-10,1.0000000150474662e+30,7.974096050133994e-09,8.753775482261972e-09,8.999999291493615e-16
ANTENNA_53/DIODE,367080,96560,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_53,_13209_,4.887013016485753e-10,1.0000000150474662e+30,5.784022594212956e-09,5.791694679402326e-09,8.999999291493615e-16
ANTENNA_54/DIODE,451260,123760,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_54,cs_registers_i.csr_mtvec_o\[14\],2.0875239037376758e-10,1.0000000150474662e+30,2.696276313329804e-09,2.7303204142015147e-09,8.999999291493615e-16
