src,tar,src_type,tar_type
_004412_,ANTENNA_1,net,cell
_004412_,ANTENNA_10,net,cell
_004478_,ANTENNA_100,net,cell
_007912_,ANTENNA_1000,net,cell
_008061_,ANTENNA_1001,net,cell
_008089_,ANTENNA_1002,net,cell
_008089_,ANTENNA_1003,net,cell
_008242_,ANTENNA_1004,net,cell
_008242_,ANTENNA_1005,net,cell
_008242_,ANTENNA_1006,net,cell
_008247_,ANTENNA_1007,net,cell
_008247_,ANTENNA_1008,net,cell
_008265_,ANTENNA_1009,net,cell
_004479_,ANTENNA_101,net,cell
_008265_,ANTENNA_1010,net,cell
_008302_,ANTENNA_1011,net,cell
_008324_,ANTENNA_1012,net,cell
_008324_,ANTENNA_1013,net,cell
_008324_,ANTENNA_1014,net,cell
_008327_,ANTENNA_1015,net,cell
_008329_,ANTENNA_1016,net,cell
_008329_,ANTENNA_1017,net,cell
_008329_,ANTENNA_1018,net,cell
_008329_,ANTENNA_1019,net,cell
_004479_,ANTENNA_102,net,cell
_008329_,ANTENNA_1020,net,cell
_008329_,ANTENNA_1021,net,cell
_008329_,ANTENNA_1022,net,cell
_008329_,ANTENNA_1023,net,cell
_008330_,ANTENNA_1024,net,cell
_008332_,ANTENNA_1025,net,cell
_008332_,ANTENNA_1026,net,cell
_008332_,ANTENNA_1027,net,cell
_008332_,ANTENNA_1028,net,cell
_008332_,ANTENNA_1029,net,cell
_004479_,ANTENNA_103,net,cell
_008332_,ANTENNA_1030,net,cell
_008332_,ANTENNA_1031,net,cell
_008332_,ANTENNA_1032,net,cell
_008332_,ANTENNA_1033,net,cell
_008332_,ANTENNA_1034,net,cell
_008332_,ANTENNA_1035,net,cell
_008332_,ANTENNA_1036,net,cell
_008473_,ANTENNA_1037,net,cell
_008473_,ANTENNA_1038,net,cell
_008490_,ANTENNA_1039,net,cell
_004479_,ANTENNA_104,net,cell
_008529_,ANTENNA_1040,net,cell
_008687_,ANTENNA_1041,net,cell
_008687_,ANTENNA_1042,net,cell
_008748_,ANTENNA_1043,net,cell
_008821_,ANTENNA_1044,net,cell
_008858_,ANTENNA_1045,net,cell
_008862_,ANTENNA_1046,net,cell
_008867_,ANTENNA_1047,net,cell
_008872_,ANTENNA_1048,net,cell
_008872_,ANTENNA_1049,net,cell
_004484_,ANTENNA_105,net,cell
_008872_,ANTENNA_1050,net,cell
_008872_,ANTENNA_1051,net,cell
_008999_,ANTENNA_1052,net,cell
_008999_,ANTENNA_1053,net,cell
_008999_,ANTENNA_1054,net,cell
_009060_,ANTENNA_1055,net,cell
_009084_,ANTENNA_1056,net,cell
_009119_,ANTENNA_1057,net,cell
_009135_,ANTENNA_1058,net,cell
_009135_,ANTENNA_1059,net,cell
_004484_,ANTENNA_106,net,cell
_009135_,ANTENNA_1060,net,cell
_009135_,ANTENNA_1061,net,cell
_009135_,ANTENNA_1062,net,cell
_009135_,ANTENNA_1063,net,cell
_009135_,ANTENNA_1064,net,cell
_009135_,ANTENNA_1065,net,cell
_009135_,ANTENNA_1066,net,cell
_009135_,ANTENNA_1067,net,cell
_009135_,ANTENNA_1068,net,cell
_009135_,ANTENNA_1069,net,cell
_004484_,ANTENNA_107,net,cell
_009135_,ANTENNA_1070,net,cell
_009135_,ANTENNA_1071,net,cell
_009135_,ANTENNA_1072,net,cell
_009135_,ANTENNA_1073,net,cell
_009135_,ANTENNA_1074,net,cell
_009135_,ANTENNA_1075,net,cell
_009135_,ANTENNA_1076,net,cell
_009135_,ANTENNA_1077,net,cell
_009135_,ANTENNA_1078,net,cell
_009135_,ANTENNA_1079,net,cell
_004484_,ANTENNA_108,net,cell
_009135_,ANTENNA_1080,net,cell
_009363_,ANTENNA_1081,net,cell
_009363_,ANTENNA_1082,net,cell
_009363_,ANTENNA_1083,net,cell
_009363_,ANTENNA_1084,net,cell
_009363_,ANTENNA_1085,net,cell
_009363_,ANTENNA_1086,net,cell
_009367_,ANTENNA_1087,net,cell
_009367_,ANTENNA_1088,net,cell
_009442_,ANTENNA_1089,net,cell
_004484_,ANTENNA_109,net,cell
_009554_,ANTENNA_1090,net,cell
_009554_,ANTENNA_1091,net,cell
_009602_,ANTENNA_1092,net,cell
_009602_,ANTENNA_1093,net,cell
_009602_,ANTENNA_1094,net,cell
_009648_,ANTENNA_1095,net,cell
_009997_,ANTENNA_1096,net,cell
_009997_,ANTENNA_1097,net,cell
_009999_,ANTENNA_1098,net,cell
_009999_,ANTENNA_1099,net,cell
_004412_,ANTENNA_11,net,cell
_004484_,ANTENNA_110,net,cell
_009999_,ANTENNA_1100,net,cell
_010071_,ANTENNA_1101,net,cell
_010071_,ANTENNA_1102,net,cell
_010071_,ANTENNA_1103,net,cell
_010081_,ANTENNA_1104,net,cell
_010081_,ANTENNA_1105,net,cell
_010081_,ANTENNA_1106,net,cell
_010081_,ANTENNA_1107,net,cell
_010183_,ANTENNA_1108,net,cell
_010217_,ANTENNA_1109,net,cell
_004484_,ANTENNA_111,net,cell
_010217_,ANTENNA_1110,net,cell
_010217_,ANTENNA_1111,net,cell
_010217_,ANTENNA_1112,net,cell
_010217_,ANTENNA_1113,net,cell
_010371_,ANTENNA_1114,net,cell
_010371_,ANTENNA_1115,net,cell
_010374_,ANTENNA_1116,net,cell
_010374_,ANTENNA_1117,net,cell
_010374_,ANTENNA_1118,net,cell
_010374_,ANTENNA_1119,net,cell
_004484_,ANTENNA_112,net,cell
_010382_,ANTENNA_1120,net,cell
_010460_,ANTENNA_1121,net,cell
_010469_,ANTENNA_1122,net,cell
_010481_,ANTENNA_1123,net,cell
_010481_,ANTENNA_1124,net,cell
_010481_,ANTENNA_1125,net,cell
_010481_,ANTENNA_1126,net,cell
_010481_,ANTENNA_1127,net,cell
_010481_,ANTENNA_1128,net,cell
_010481_,ANTENNA_1129,net,cell
_004484_,ANTENNA_113,net,cell
_010481_,ANTENNA_1130,net,cell
_010481_,ANTENNA_1131,net,cell
_010481_,ANTENNA_1132,net,cell
_010529_,ANTENNA_1133,net,cell
_010715_,ANTENNA_1134,net,cell
_010758_,ANTENNA_1135,net,cell
_011065_,ANTENNA_1136,net,cell
_011189_,ANTENNA_1137,net,cell
_011189_,ANTENNA_1138,net,cell
_011189_,ANTENNA_1139,net,cell
_004484_,ANTENNA_114,net,cell
_011189_,ANTENNA_1140,net,cell
_011189_,ANTENNA_1141,net,cell
_011189_,ANTENNA_1142,net,cell
_011189_,ANTENNA_1143,net,cell
_011189_,ANTENNA_1144,net,cell
_011286_,ANTENNA_1145,net,cell
_011356_,ANTENNA_1146,net,cell
_011455_,ANTENNA_1147,net,cell
_011455_,ANTENNA_1148,net,cell
_011455_,ANTENNA_1149,net,cell
_004484_,ANTENNA_115,net,cell
_011455_,ANTENNA_1150,net,cell
_011455_,ANTENNA_1151,net,cell
_011455_,ANTENNA_1152,net,cell
_011455_,ANTENNA_1153,net,cell
_011483_,ANTENNA_1154,net,cell
_011483_,ANTENNA_1155,net,cell
_011496_,ANTENNA_1156,net,cell
_011496_,ANTENNA_1157,net,cell
_011496_,ANTENNA_1158,net,cell
_011496_,ANTENNA_1159,net,cell
_004497_,ANTENNA_116,net,cell
_011496_,ANTENNA_1160,net,cell
_011496_,ANTENNA_1161,net,cell
_011496_,ANTENNA_1162,net,cell
_011496_,ANTENNA_1163,net,cell
_011496_,ANTENNA_1164,net,cell
_011496_,ANTENNA_1165,net,cell
_011505_,ANTENNA_1166,net,cell
_011505_,ANTENNA_1167,net,cell
_011505_,ANTENNA_1168,net,cell
_011505_,ANTENNA_1169,net,cell
_004497_,ANTENNA_117,net,cell
_011535_,ANTENNA_1170,net,cell
_011535_,ANTENNA_1171,net,cell
_011581_,ANTENNA_1172,net,cell
_011581_,ANTENNA_1173,net,cell
_011581_,ANTENNA_1174,net,cell
_011581_,ANTENNA_1175,net,cell
_011581_,ANTENNA_1176,net,cell
_011581_,ANTENNA_1177,net,cell
_011581_,ANTENNA_1178,net,cell
_011581_,ANTENNA_1179,net,cell
_004497_,ANTENNA_118,net,cell
_011581_,ANTENNA_1180,net,cell
_011581_,ANTENNA_1181,net,cell
_011588_,ANTENNA_1182,net,cell
_011588_,ANTENNA_1183,net,cell
_011588_,ANTENNA_1184,net,cell
_011588_,ANTENNA_1185,net,cell
_011588_,ANTENNA_1186,net,cell
_011588_,ANTENNA_1187,net,cell
_011591_,ANTENNA_1188,net,cell
_011591_,ANTENNA_1189,net,cell
_004497_,ANTENNA_119,net,cell
_011591_,ANTENNA_1190,net,cell
_011591_,ANTENNA_1191,net,cell
_011591_,ANTENNA_1192,net,cell
_011591_,ANTENNA_1193,net,cell
_011591_,ANTENNA_1194,net,cell
_011591_,ANTENNA_1195,net,cell
_011591_,ANTENNA_1196,net,cell
_011591_,ANTENNA_1197,net,cell
_011657_,ANTENNA_1198,net,cell
_011787_,ANTENNA_1199,net,cell
