src,tar,src_type,tar_type
ANTENNA_1/DIODE,ANTENNA_1,pin,cell
ANTENNA_10/DIODE,ANTENNA_10,pin,cell
ANTENNA_100/DIODE,ANTENNA_100,pin,cell
ANTENNA_1000/DIODE,ANTENNA_1000,pin,cell
ANTENNA_1001/DIODE,ANTENNA_1001,pin,cell
ANTENNA_1002/DIODE,ANTENNA_1002,pin,cell
ANTENNA_1003/DIODE,ANTENNA_1003,pin,cell
ANTENNA_1004/DIODE,ANTENNA_1004,pin,cell
ANTENNA_1005/DIODE,ANTENNA_1005,pin,cell
ANTENNA_1006/DIODE,ANTENNA_1006,pin,cell
ANTENNA_1007/DIODE,ANTENNA_1007,pin,cell
ANTENNA_1008/DIODE,ANTENNA_1008,pin,cell
ANTENNA_1009/DIODE,ANTENNA_1009,pin,cell
ANTENNA_101/DIODE,ANTENNA_101,pin,cell
ANTENNA_1010/DIODE,ANTENNA_1010,pin,cell
ANTENNA_1011/DIODE,ANTENNA_1011,pin,cell
ANTENNA_1012/DIODE,ANTENNA_1012,pin,cell
ANTENNA_1013/DIODE,ANTENNA_1013,pin,cell
ANTENNA_1014/DIODE,ANTENNA_1014,pin,cell
ANTENNA_1015/DIODE,ANTENNA_1015,pin,cell
ANTENNA_1016/DIODE,ANTENNA_1016,pin,cell
ANTENNA_1017/DIODE,ANTENNA_1017,pin,cell
ANTENNA_1018/DIODE,ANTENNA_1018,pin,cell
ANTENNA_1019/DIODE,ANTENNA_1019,pin,cell
ANTENNA_102/DIODE,ANTENNA_102,pin,cell
ANTENNA_1020/DIODE,ANTENNA_1020,pin,cell
ANTENNA_1021/DIODE,ANTENNA_1021,pin,cell
ANTENNA_1022/DIODE,ANTENNA_1022,pin,cell
ANTENNA_1023/DIODE,ANTENNA_1023,pin,cell
ANTENNA_1024/DIODE,ANTENNA_1024,pin,cell
ANTENNA_1025/DIODE,ANTENNA_1025,pin,cell
ANTENNA_1026/DIODE,ANTENNA_1026,pin,cell
ANTENNA_1027/DIODE,ANTENNA_1027,pin,cell
ANTENNA_1028/DIODE,ANTENNA_1028,pin,cell
ANTENNA_1029/DIODE,ANTENNA_1029,pin,cell
ANTENNA_103/DIODE,ANTENNA_103,pin,cell
ANTENNA_1030/DIODE,ANTENNA_1030,pin,cell
ANTENNA_1031/DIODE,ANTENNA_1031,pin,cell
ANTENNA_1032/DIODE,ANTENNA_1032,pin,cell
ANTENNA_1033/DIODE,ANTENNA_1033,pin,cell
ANTENNA_1034/DIODE,ANTENNA_1034,pin,cell
ANTENNA_1035/DIODE,ANTENNA_1035,pin,cell
ANTENNA_1036/DIODE,ANTENNA_1036,pin,cell
ANTENNA_1037/DIODE,ANTENNA_1037,pin,cell
ANTENNA_1038/DIODE,ANTENNA_1038,pin,cell
ANTENNA_1039/DIODE,ANTENNA_1039,pin,cell
ANTENNA_104/DIODE,ANTENNA_104,pin,cell
ANTENNA_1040/DIODE,ANTENNA_1040,pin,cell
ANTENNA_1041/DIODE,ANTENNA_1041,pin,cell
ANTENNA_1042/DIODE,ANTENNA_1042,pin,cell
ANTENNA_1043/DIODE,ANTENNA_1043,pin,cell
ANTENNA_1044/DIODE,ANTENNA_1044,pin,cell
ANTENNA_1045/DIODE,ANTENNA_1045,pin,cell
ANTENNA_1046/DIODE,ANTENNA_1046,pin,cell
ANTENNA_1047/DIODE,ANTENNA_1047,pin,cell
ANTENNA_1048/DIODE,ANTENNA_1048,pin,cell
ANTENNA_1049/DIODE,ANTENNA_1049,pin,cell
ANTENNA_105/DIODE,ANTENNA_105,pin,cell
ANTENNA_1050/DIODE,ANTENNA_1050,pin,cell
ANTENNA_1051/DIODE,ANTENNA_1051,pin,cell
ANTENNA_1052/DIODE,ANTENNA_1052,pin,cell
ANTENNA_1053/DIODE,ANTENNA_1053,pin,cell
ANTENNA_1054/DIODE,ANTENNA_1054,pin,cell
ANTENNA_1055/DIODE,ANTENNA_1055,pin,cell
