cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
ANTENNA_1,0,0,0,566720,261120,567640,263840,0,0,0,sky130_fd_sc_hd__diode_2,6.326438261065534e-15,-9.234693720827636e-08
ANTENNA_10,0,0,0,573620,261120,574540,263840,0,0,0,sky130_fd_sc_hd__diode_2,6.326438261065534e-15,-9.248338272982437e-08
ANTENNA_100,0,0,0,422280,119680,423200,122400,0,0,0,sky130_fd_sc_hd__diode_2,6.326438261065534e-15,-4.78740993514748e-08
ANTENNA_1000,0,0,0,502780,614720,503700,617440,0,0,0,sky130_fd_sc_hd__diode_2,7.32160541233335e-15,-2.2614486283600854e-08
ANTENNA_1001,0,0,0,918620,524960,919540,527680,0,0,0,sky130_fd_sc_hd__diode_2,6.338373802325294e-15,-4.3917825109929254e-07
ANTENNA_1002,0,0,0,778780,587520,779700,590240,0,0,0,sky130_fd_sc_hd__diode_2,6.338420389137393e-15,-1.0534310312948492e-08
ANTENNA_1003,0,0,0,778320,228480,779240,231200,0,0,0,sky130_fd_sc_hd__diode_2,6.338420389137393e-15,-9.048694238344979e-09
ANTENNA_1004,0,0,0,35880,609280,36800,612000,0,0,0,sky130_fd_sc_hd__diode_2,6.338420389137393e-15,-4.2338410111142366e-08
ANTENNA_1005,0,0,0,452640,715360,453560,718080,0,0,0,sky130_fd_sc_hd__diode_2,6.338420389137393e-15,-4.219117499815184e-08
ANTENNA_1006,0,0,0,716220,826880,717140,829600,0,0,0,sky130_fd_sc_hd__diode_2,6.338420389137393e-15,-4.120649776950813e-08
ANTENNA_1007,0,0,0,674820,859520,675740,862240,0,0,0,sky130_fd_sc_hd__diode_2,6.338420389137393e-15,-1.5216151894037466e-08
ANTENNA_1008,0,0,0,700580,829600,701500,832320,0,0,0,sky130_fd_sc_hd__diode_2,6.338420389137393e-15,-1.5210527948283925e-08
ANTENNA_1009,0,0,0,804540,127840,805460,130560,0,0,0,sky130_fd_sc_hd__diode_2,6.338427165400971e-15,-2.1728206775151193e-05
ANTENNA_101,0,0,0,123280,176800,124200,179520,0,0,0,sky130_fd_sc_hd__diode_2,6.326438261065534e-15,-4.2939632294292096e-08
ANTENNA_1010,0,0,0,783840,587520,784760,590240,0,0,0,sky130_fd_sc_hd__diode_2,6.338427165400971e-15,-2.154160938516725e-05
ANTENNA_1011,0,0,0,584200,720800,585120,723520,0,0,0,sky130_fd_sc_hd__diode_2,6.338420389137393e-15,-0.0001434341975254938
ANTENNA_1012,0,0,0,79120,535840,80040,538560,0,0,0,sky130_fd_sc_hd__diode_2,6.338420389137393e-15,-1.763714507774239e-08
ANTENNA_1013,0,0,0,100280,410720,101200,413440,0,0,0,sky130_fd_sc_hd__diode_2,6.338420389137393e-15,-1.75617049791299e-08
ANTENNA_1014,0,0,0,74980,718080,75900,720800,0,0,0,sky130_fd_sc_hd__diode_2,6.338420389137393e-15,-1.7431673882128962e-08
ANTENNA_1015,0,0,0,575920,783360,576840,786080,0,0,0,sky130_fd_sc_hd__diode_2,6.33968924449238e-15,-1.4168205780151766e-05
