src,tar,src_type,tar_type
output19/X,amp[0],pin,net
output20/X,amp[10],pin,net
_107452_/X,amp[11],pin,net
output21/X,amp[1],pin,net
output22/X,amp[2],pin,net
output23/X,amp[3],pin,net
output24/X,amp[4],pin,net
output25/X,amp[5],pin,net
output26/X,amp[6],pin,net
output27/X,amp[7],pin,net
output28/X,amp[8],pin,net
output29/X,amp[9],pin,net
clk,ANTENNA_1847/DIODE,net,pin
clk,clkbuf_0_clk/A,net,pin
din[0],input1/A,net,pin
din[1],input2/A,net,pin
din[2],input3/A,net,pin
din[3],input4/A,net,pin
din[4],input5/A,net,pin
din[5],input6/A,net,pin
din[6],input7/A,net,pin
din[7],input8/A,net,pin
output30/X,douten,pin,net
dstrb,input9/A,net,pin
ena,_072516_/A,net,pin
output31/X,qnt_cnt[0],pin,net
output32/X,qnt_cnt[1],pin,net
output33/X,qnt_cnt[2],pin,net
output34/X,qnt_cnt[3],pin,net
output35/X,qnt_cnt[4],pin,net
output36/X,qnt_cnt[5],pin,net
qnt_val[0],input10/A,net,pin
qnt_val[1],input11/A,net,pin
qnt_val[2],input12/A,net,pin
qnt_val[3],input13/A,net,pin
qnt_val[4],input14/A,net,pin
qnt_val[5],input15/A,net,pin
qnt_val[6],input16/A,net,pin
qnt_val[7],input17/A,net,pin
output37/X,rlen[0],pin,net
output38/X,rlen[1],pin,net
output39/X,rlen[2],pin,net
output40/X,rlen[3],pin,net
rst,input18/A,net,pin
output41/X,size[0],pin,net
output42/X,size[1],pin,net
output43/X,size[2],pin,net
output44/X,size[3],pin,net
_000000_,_102175_/A,net,pin
_000000_,_102169_/A,net,pin
_000000_,_102168_/A,net,pin
_000000_,_102167_/A,net,pin
_000000_,_102166_/A,net,pin
_000000_,_082189_/A,net,pin
_000000_,_079632_/S0,net,pin
_000000_,_078418_/S0,net,pin
_000000_,_078392_/S0,net,pin
_000000_,_077714_/A,net,pin
_000000_,_075800_/A,net,pin
_000000_,_075796_/A,net,pin
_000000_,_075736_/A,net,pin
_000000_,_073359_/A0,net,pin
_059600_/Y,_000000_,pin,net
_106896_/SUM,_000001_,pin,net
_000001_,_094513_/A1,net,pin
_107008_/SUM,_000002_,pin,net
_000002_,_094588_/A1,net,pin
_107021_/SUM,_000003_,pin,net
_000003_,_094662_/A1,net,pin
_106883_/SUM,_000004_,pin,net
_000004_,_094735_/A1,net,pin
_106909_/SUM,_000005_,pin,net
_000005_,_094807_/A1,net,pin
_106922_/SUM,_000006_,pin,net
_000006_,_094880_/A1,net,pin
_106935_/SUM,_000007_,pin,net
_000007_,_094949_/A1,net,pin
_106948_/SUM,_000008_,pin,net
_000008_,_095018_/A1,net,pin
_106961_/SUM,_000009_,pin,net
_000009_,_094293_/A1,net,pin
_106974_/SUM,_000010_,pin,net
_000010_,_094359_/A1,net,pin
_101520_/SUM,_000011_,pin,net
_000011_,_094444_/A1,net,pin
_107007_/SUM,_000012_,pin,net
_000012_,_095411_/B1,net,pin
_107006_/SUM,_000013_,pin,net
_000013_,_095491_/B,net,pin
_000014_,_107446_/D,net,pin
_072520_/X,_000014_,pin,net
_000015_,_107447_/D,net,pin
_072526_/X,_000015_,pin,net
_000016_,_107448_/D,net,pin
_072532_/X,_000016_,pin,net
_000017_,_107449_/D,net,pin
_072538_/X,_000017_,pin,net
_000018_,dfdct_dout\[0\]$_DFFE_PP_/D,net,pin
_072547_/Y,_000018_,pin,net
_000019_,dfdct_dout\[10\]$_DFFE_PP_/D,net,pin
_072549_/X,_000019_,pin,net
_000020_,dfdct_dout\[11\]$_DFFE_PP_/D,net,pin
_072551_/X,_000020_,pin,net
_000021_,dfdct_dout\[1\]$_DFFE_PP_/D,net,pin
_072553_/Y,_000021_,pin,net
_000022_,dfdct_dout\[2\]$_DFFE_PP_/D,net,pin
_072554_/X,_000022_,pin,net
_000023_,dfdct_dout\[3\]$_DFFE_PP_/D,net,pin
_072555_/X,_000023_,pin,net
_000024_,dfdct_dout\[4\]$_DFFE_PP_/D,net,pin
_072556_/X,_000024_,pin,net
_000025_,dfdct_dout\[5\]$_DFFE_PP_/D,net,pin
_072557_/X,_000025_,pin,net
_000026_,dfdct_dout\[6\]$_DFFE_PP_/D,net,pin
_072558_/X,_000026_,pin,net
_000027_,dfdct_dout\[7\]$_DFFE_PP_/D,net,pin
_072559_/X,_000027_,pin,net
_000028_,dfdct_dout\[8\]$_DFFE_PP_/D,net,pin
_072560_/X,_000028_,pin,net
_000029_,dfdct_dout\[9\]$_DFFE_PP_/D,net,pin
_072562_/X,_000029_,pin,net
_000030_,dqnr_doe$_DFFE_PP_/D,net,pin
_072563_/X,_000030_,pin,net
_000031_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.mult_res\[10\]$_DFFE_PP_/D,net,pin
_072564_/X,_000031_,pin,net
_000032_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.mult_res\[11\]$_DFFE_PP_/D,net,pin
_072565_/X,_000032_,pin,net
_000033_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.mult_res\[12\]$_DFFE_PP_/D,net,pin
_072566_/X,_000033_,pin,net
_000034_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.mult_res\[13\]$_DFFE_PP_/D,net,pin
_072567_/X,_000034_,pin,net
_000035_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.mult_res\[14\]$_DFFE_PP_/D,net,pin
_072568_/X,_000035_,pin,net
_000036_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.mult_res\[17\]$_DFFE_PP_/D,net,pin
_072569_/X,_000036_,pin,net
_000037_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.mult_res\[9\]$_DFFE_PP_/D,net,pin
_072571_/Y,_000037_,pin,net
_000038_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.result\[10\]$_DFFE_PP_/D,net,pin
_072589_/Y,_000038_,pin,net
_000039_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.result\[11\]$_DFFE_PP_/D,net,pin
_072601_/Y,_000039_,pin,net
_000040_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.result\[12\]$_DFFE_PP_/D,net,pin
_072613_/Y,_000040_,pin,net
_000041_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.result\[13\]$_DFFE_PP_/D,net,pin
_072624_/Y,_000041_,pin,net
_000042_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.result\[14\]$_DFFE_PP_/D,net,pin
_072639_/Y,_000042_,pin,net
_000043_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.result\[15\]$_DFFE_PP_/D,net,pin
_072655_/X,_000043_,pin,net
_000044_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.result\[16\]$_DFFE_PP_/D,net,pin
_072663_/X,_000044_,pin,net
_000045_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.result\[17\]$_DFFE_PP_/D,net,pin
_072672_/Y,_000045_,pin,net
_000046_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.result\[18\]$_DFFE_PP_/D,net,pin
_072679_/Y,_000046_,pin,net
_000047_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.result\[19\]$_DFFE_PP_/D,net,pin
_072686_/X,_000047_,pin,net
_000048_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.result\[20\]$_DFFE_PP_/D,net,pin
_072702_/X,_000048_,pin,net
_000049_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.result\[21\]$_DFFE_PP_/D,net,pin
_072719_/Y,_000049_,pin,net
_000050_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.result\[8\]$_DFFE_PP_/D,net,pin
_072723_/Y,_000050_,pin,net
_000051_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_0.macu.result\[9\]$_DFFE_PP_/D,net,pin
_072727_/Y,_000051_,pin,net
_000052_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.macu.mult_res\[0\]$_DFFE_PP_/D,net,pin
_072728_/X,_000052_,pin,net
_000053_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.macu.mult_res\[10\]$_DFFE_PP_/D,net,pin
_072735_/X,_000053_,pin,net
_000054_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.macu.mult_res\[11\]$_DFFE_PP_/D,net,pin
_072751_/Y,_000054_,pin,net
_000055_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.macu.mult_res\[12\]$_DFFE_PP_/D,net,pin
_072756_/X,_000055_,pin,net
_000056_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.macu.mult_res\[13\]$_DFFE_PP_/D,net,pin
_072764_/X,_000056_,pin,net
_000057_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.macu.mult_res\[14\]$_DFFE_PP_/D,net,pin
_072768_/X,_000057_,pin,net
_000058_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.macu.mult_res\[15\]$_DFFE_PP_/D,net,pin
_072772_/X,_000058_,pin,net
_000059_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.macu.mult_res\[16\]$_DFFE_PP_/D,net,pin
_072778_/X,_000059_,pin,net
_000060_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.macu.mult_res\[17\]$_DFFE_PP_/D,net,pin
_072784_/X,_000060_,pin,net
_000061_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.macu.mult_res\[18\]$_DFFE_PP_/D,net,pin
_072810_/Y,_000061_,pin,net
_000062_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.macu.mult_res\[1\]$_DFFE_PP_/D,net,pin
_072813_/Y,_000062_,pin,net
_000063_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.macu.mult_res\[2\]$_DFFE_PP_/D,net,pin
_072814_/X,_000063_,pin,net
_000064_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.macu.mult_res\[3\]$_DFFE_PP_/D,net,pin
_072815_/X,_000064_,pin,net
_000065_,fdct_zigzag.dct_mod.dct_block_0.dct_unit_1.macu.mult_res\[4\]$_DFFE_PP_/D,net,pin
_072816_/X,_000065_,pin,net
