net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
amp[0],2310,-1,0,4.402235102974716e-16,0.3024015724658966,0.13782145455479622,13.430538177490234
amp[10],17535,-1,0,2.03287314417969e-15,1.5626287460327148,0.470244862139225,33.31895446777344
amp[11],5750,-1,0,7.574669422578018e-16,0.7052216529846191,0.052244911435991526,14.71998405456543
amp[1],13875,-1,0,2.1672600034592683e-15,1.8112856149673462,0.3559741973876953,28.884929656982422
amp[2],8355,-1,0,1.2005452182853164e-15,1.1137950420379639,0.08674921095371246,22.229686737060547
amp[3],16590,-1,0,2.6663436744427636e-15,1.0105327367782593,1.6558116902597249,31.996150970458984
amp[4],13870,-1,0,2.3490614377855374e-15,0.9429413080215454,1.4061190411448479,27.54911231994629
amp[5],19310,-1,0,3.097248816468813e-15,1.4145112037658691,1.682736118324101,34.84005355834961
amp[6],7750,-1,0,1.2274046330427502e-15,0.6528425812721252,0.5745629370212555,20.074573516845703
amp[7],1630,-1,0,2.087633136005411e-16,0.17010225355625153,0.038661062717437744,12.6000337600708
amp[8],4810,-1,0,6.215613529037965e-16,0.48462796211242676,0.136933334171772,15.998541831970215
amp[9],7750,-1,0,9.958908350421263e-16,0.8101500272750854,0.18574092909693718,20.721479415893555
clk,976870,-1,2,1.90278782313813e-13,143.40899486094713,38.07569958863314,250.5008885860443
din[0],2190,-1,1,2.941008295391837e-15,0.21332068741321564,0.20368846133351326,13.76930046081543
din[1],14095,-1,1,3.2915399633605836e-15,1.3826792240142822,0.16385981440544128,29.510011672973633
din[2],14095,-1,1,3.604770629672856e-15,1.2202720642089844,0.63949865847826,29.324295043945312
din[3],4895,-1,1,2.3429966818831966e-15,0.39443516731262207,0.20356061309576035,18.068758010864258
din[4],5355,-1,1,2.908816172956727e-15,0.4543816149234772,0.2684345981106162,18.97254180908203
din[5],14215,-1,1,4.188279768575082e-15,1.1824555397033691,0.7778240693733096,29.649362564086914
din[6],10415,-1,1,3.027707623257472e-15,1.0186406373977661,0.26406792644411325,25.05093002319336
din[7],10835,-1,1,3.023830541699652e-15,1.0912408828735352,0.18759048730134964,25.273000717163086
douten,2310,-1,0,3.796759011618397e-16,0.3184035122394562,0.061271894723176956,13.430538177490234
dstrb,3620,-1,1,8.290435768172188e-15,0.3964354395866394,0.0,16.51156234741211
ena,9070,-1,1,1.0879340302445174e-14,0.9859743118286133,0.27036554366350174,17.951324462890625
qnt_cnt[0],5595,-1,0,9.073299405166634e-16,0.5651728510856628,0.3421578109264374,18.90206527709961
qnt_cnt[1],4675,-1,0,6.380850598805966e-16,0.5238143801689148,0.1142706647515297,17.792858123779297
qnt_cnt[2],18795,-1,0,3.6300456693024504e-15,1.2661608457565308,2.363884747028351,35.351985931396484
qnt_cnt[3],23815,-1,0,4.2222839062426056e-15,2.6926143169403076,1.5296692694537342,41.615814208984375
qnt_cnt[4],25355,-1,0,5.139946695803706e-15,1.2648839950561523,3.875068325549364,43.42457962036133
qnt_cnt[5],13005,-1,0,2.3775755314054325e-15,1.5822738409042358,0.7953012296929955,28.5495662689209
qnt_val[0],4895,-1,1,2.6947760293832487e-15,0.508776843547821,0.0,18.068758010864258
qnt_val[1],5815,-1,1,2.9755888389799675e-15,0.6529808044433594,0.13660878036171198,19.336101531982422
qnt_val[2],5355,-1,1,2.9162431695964894e-15,0.3291761875152588,0.4010673761367798,18.623361587524414
qnt_val[3],8335,-1,1,3.4046023446765612e-15,0.5530407428741455,0.6655623074620962,22.390348434448242
qnt_val[4],6735,-1,1,3.0821760769306596e-15,0.6095576882362366,0.2866180744022131,20.450637817382812
qnt_val[5],10415,-1,1,3.901698876365798e-15,1.5791306495666504,0.13656844571232796,18.902578353881836
qnt_val[6],7195,-1,1,3.1898280352960504e-15,0.8207669258117676,0.18306224851403385,20.99991226196289
qnt_val[7],10875,-1,1,3.5395080116363328e-15,0.937264084815979,0.4162440299987793,25.78717613220215
rlen[0],2990,-1,0,3.6825000903853043e-16,0.36824992299079895,0.0,14.261042594909668
rlen[1],1630,-1,0,2.8718689134348495e-16,0.21402046084403992,0.07316694036126137,12.6000337600708
rlen[2],5050,-1,0,8.646925254133684e-16,0.5191924571990967,0.3455005050636828,15.321017265319824
rlen[3],8430,-1,0,1.2535325289711116e-15,0.7201368808746338,0.5333968847990036,20.905078887939453
rst,9890,-1,1,1.604913643931012e-14,1.4766672849655151,0.26446979492902756,15.408395767211914
size[0],2990,-1,0,5.102664117113834e-16,0.32046061754226685,0.18980646133422852,14.261042594909668
size[1],13890,-1,0,1.915683594828216e-15,1.2560542821884155,0.6596298301592469,26.11757469177246
size[2],1630,-1,0,2.9688168635062285e-16,0.19994911551475525,0.09693247824907303,12.6000337600708
size[3],8430,-1,0,1.3935995911949772e-15,0.8559991121292114,0.5375996213406324,22.857391357421875
_000000_,514340,-1,14,1.9078805917928376e-13,51.58712695911527,55.74692987790331,723.2191987633705
_000001_,12960,-1,1,4.202502722308902e-15,1.3457773923873901,0.8927251072600484,39.64052200317383
_000002_,1840,-1,1,2.370840137167103e-15,0.04617895558476448,0.3606608808040619,25.565176010131836
_000003_,4600,-1,1,3.0312022694396062e-15,0.2811031937599182,0.7860984317958355,28.892797470092773
_000004_,5260,-1,1,2.965992167445813e-15,0.49543288350105286,0.5065601542592049,30.561328887939453
_000005_,3220,-1,1,2.6340376260762478e-15,0.273914635181427,0.3961236886680126,27.228986740112305
_000006_,15920,-1,1,5.564345354245421e-15,1.7885494232177734,1.8117906097322702,31.559917449951172
_000007_,15200,-1,1,4.858832977752475e-15,1.9649800062179565,0.929852694272995,42.2825927734375
_000008_,20560,-1,1,5.618332269688095e-15,2.1956303119659424,1.4586929015349597,49.08421325683594
_000009_,4460,-1,1,2.8299406766666433e-15,0.31955665349960327,0.546384684741497,29.25921630859375
_000010_,23220,-1,1,6.434755140294519e-15,2.323932409286499,2.1468127677217126,33.299720764160156
_000011_,2160,-1,1,2.347023900030917e-15,0.23279723525047302,0.15022578439675272,26.48619842529297
_000012_,2740,-1,1,3.0897297049960366e-15,0.3746844232082367,0.20904522016644478,27.180152893066406
_000013_,8320,-1,1,4.0468070551752475e-15,0.7061383128166199,0.8606682275421917,33.96634292602539
_000014_,7125,-1,1,3.589932306502855e-15,1.1138169765472412,0.47011584881693125,32.641090393066406
_000015_,9900,-1,1,3.5266771565513246e-15,0.8077071905136108,0.7129690535366535,35.90325164794922
_000016_,4680,-1,1,2.8770719191924775e-15,0.2853679656982422,0.585703993216157,29.53511619567871
_000017_,12000,-1,1,4.809351430556247e-15,1.1927320957183838,1.610619495389983,36.9077033996582
