src,tar,src_type,tar_type,is_net,arc_delay
_059595_/A,_059595_/Y,pin,pin,0,1.7431754650854003e-10
_059596_/A,_059596_/X,pin,pin,0,2.1125091953511088e-10
_059597_/A,_059597_/X,pin,pin,0,2.0929191713037198e-10
_059598_/A,_059598_/X,pin,pin,0,2.462273995806896e-10
_059599_/A,_059599_/X,pin,pin,0,2.4117516317367915e-10
_059600_/A,_059600_/Y,pin,pin,0,1.6754264642315775e-10
_059601_/A,_059601_/Y,pin,pin,0,2.536225951477178e-10
_059602_/A,_059602_/X,pin,pin,0,2.4498164608033335e-10
_059603_/A,_059603_/Y,pin,pin,0,2.1060388155635934e-10
_059604_/A,_059604_/X,pin,pin,0,2.503849905188815e-10
_059605_/A,_059605_/X,pin,pin,0,2.3109206215288225e-10
_059606_/A,_059606_/X,pin,pin,0,2.3615109867591855e-10
_059607_/A,_059607_/X,pin,pin,0,2.466480353291445e-10
_059608_/A,_059608_/Y,pin,pin,0,1.7254561668345048e-10
_059609_/A,_059609_/X,pin,pin,0,2.1797837146397825e-10
_059610_/A,_059610_/X,pin,pin,0,2.2454726966714134e-10
_059611_/A,_059611_/X,pin,pin,0,2.1413884554455365e-10
_059612_/A,_059612_/Y,pin,pin,0,9.785379451177079e-11
_059613_/A,_059613_/Y,pin,pin,0,1.5189442759133698e-10
_059614_/A,_059614_/X,pin,pin,0,4.123326957650164e-10
_059615_/A,_059615_/X,pin,pin,0,4.931712260791699e-10
_059616_/A,_059616_/X,pin,pin,0,2.396732257103906e-10
_059616_/B,_059616_/X,pin,pin,0,3.3831629164815524e-10
_059617_/A,_059617_/Y,pin,pin,0,1.7741248747871197e-10
_059618_/A,_059618_/X,pin,pin,0,2.462975379202703e-10
_059619_/A,_059619_/X,pin,pin,0,4.6287912391917985e-10
_059620_/A,_059620_/X,pin,pin,0,3.8781061695303265e-10
_059621_/A,_059621_/X,pin,pin,0,2.7687116488372965e-10
_059622_/A,_059622_/Y,pin,pin,0,2.1591836651957408e-10
_059622_/B,_059622_/Y,pin,pin,0,2.047887831535533e-10
_059623_/A,_059623_/Y,pin,pin,0,1.6716310280440183e-10
_059624_/A,_059624_/X,pin,pin,0,3.7270753150409064e-10
_059625_/A,_059625_/X,pin,pin,0,3.8289735271312964e-10
_059626_/A,_059626_/X,pin,pin,0,3.5709957213470034e-10
_059626_/B,_059626_/X,pin,pin,0,3.5804637033010067e-10
_059627_/A,_059627_/Y,pin,pin,0,1.715293185267086e-10
_059627_/B,_059627_/Y,pin,pin,0,2.0005852530147195e-10
_059628_/A,_059628_/Y,pin,pin,0,1.4947039439494603e-10
_059629_/A,_059629_/X,pin,pin,0,3.193173225835011e-10
_059630_/A,_059630_/X,pin,pin,0,3.8490932663393096e-10
_059631_/A,_059631_/X,pin,pin,0,3.830274986071913e-10
_059632_/A,_059632_/X,pin,pin,0,3.111804147692965e-10
_059633_/A,_059633_/X,pin,pin,0,2.9021979264243214e-10
_059634_/A,_059634_/X,pin,pin,0,1.849314174018346e-10
_059634_/B,_059634_/X,pin,pin,0,2.0668358691189326e-10
_059635_/A,_059635_/X,pin,pin,0,2.4866433911974184e-10
_059636_/A,_059636_/X,pin,pin,0,2.031959600579114e-10
_059637_/A,_059637_/X,pin,pin,0,2.531380105530445e-10
_059638_/A,_059638_/X,pin,pin,0,2.320397624044901e-10
_059638_/B,_059638_/X,pin,pin,0,2.36785868690248e-10
_059639_/A,_059639_/X,pin,pin,0,3.1562014113362125e-10
_059639_/B,_059639_/X,pin,pin,0,3.161859107869702e-10
_059640_/A,_059640_/X,pin,pin,0,2.6651494899887496e-10
_059640_/B,_059640_/X,pin,pin,0,3.196961029239276e-10
_059641_/A,_059641_/X,pin,pin,0,4.1312464560405715e-10
_059642_/A,_059642_/X,pin,pin,0,5.093447330573042e-10
_059643_/A,_059643_/X,pin,pin,0,2.7731780760653635e-10
_059643_/B,_059643_/X,pin,pin,0,4.321186186651005e-10
_059644_/A,_059644_/Y,pin,pin,0,1.1081521117395354e-10
_059645_/A,_059645_/X,pin,pin,0,3.374522605792407e-10
_059646_/A,_059646_/X,pin,pin,0,3.4112618285675467e-10
_059646_/B,_059646_/X,pin,pin,0,3.4388661362960704e-10
_059647_/A,_059647_/X,pin,pin,0,2.3663701553822136e-10
_059647_/B,_059647_/X,pin,pin,0,2.3829799244978744e-10
_059648_/A,_059648_/X,pin,pin,0,3.7877814773601415e-10
_059649_/A,_059649_/X,pin,pin,0,4.142350074065604e-10
_059650_/A,_059650_/X,pin,pin,0,2.5033228268078744e-10
_059650_/B,_059650_/X,pin,pin,0,2.3479182487129435e-10
_059651_/A,_059651_/X,pin,pin,0,2.8536353835484363e-10
_059652_/A,_059652_/X,pin,pin,0,2.1362876745367743e-10
_059653_/A,_059653_/Y,pin,pin,0,1.5222234583944783e-10
_059653_/B,_059653_/Y,pin,pin,0,1.5653293938822088e-10
_059654_/A,_059654_/Y,pin,pin,0,1.5919290885513249e-10
_059655_/A,_059655_/X,pin,pin,0,3.62995716818304e-10
_059656_/A,_059656_/X,pin,pin,0,3.664910874778826e-10
_059657_/A,_059657_/X,pin,pin,0,2.9376578947193366e-10
_059657_/B,_059657_/X,pin,pin,0,2.656329323169615e-10
_059658_/A,_059658_/Y,pin,pin,0,1.0047237347654558e-10
_059659_/A,_059659_/X,pin,pin,0,4.189990576719538e-10
_059660_/A,_059660_/X,pin,pin,0,3.0918995141959726e-10
_059660_/B,_059660_/X,pin,pin,0,3.275780202649514e-10
_059661_/A,_059661_/Y,pin,pin,0,1.7142350039467402e-10
_059662_/A,_059662_/X,pin,pin,0,2.782969965586801e-10
_059663_/A,_059663_/Y,pin,pin,0,1.593636056451686e-10
_059663_/B,_059663_/Y,pin,pin,0,1.4224670052964683e-10
_059664_/A,_059664_/Y,pin,pin,0,1.3604276039025365e-10
_059665_/A,_059665_/X,pin,pin,0,2.1008156325663663e-10
_059666_/A,_059666_/Y,pin,pin,0,1.7350329506449214e-10
_059666_/B,_059666_/Y,pin,pin,0,1.6855583595543067e-10
_059667_/A,_059667_/Y,pin,pin,0,1.6685434978125357e-10
_059668_/A,_059668_/X,pin,pin,0,2.266514753657134e-10
_059669_/A,_059669_/X,pin,pin,0,3.0106228621207265e-10
_059670_/A,_059670_/X,pin,pin,0,5.01172048306131e-10
_059671_/A,_059671_/Y,pin,pin,0,1.923248782453868e-10
_059671_/B,_059671_/Y,pin,pin,0,3.014291038994088e-10
_059672_/A,_059672_/Y,pin,pin,0,1.3501054441089622e-10
_059673_/A,_059673_/X,pin,pin,0,3.8291603221551895e-10
_059674_/A,_059674_/X,pin,pin,0,3.4256264491716593e-10
_059675_/A,_059675_/Y,pin,pin,0,1.769069335466611e-10
_059675_/B,_059675_/Y,pin,pin,0,2.2539353716766186e-10
_059676_/A,_059676_/Y,pin,pin,0,1.3895308514921823e-10
_059677_/A,_059677_/X,pin,pin,0,3.8107320077251927e-10
_059678_/A,_059678_/Y,pin,pin,0,1.6944912140104407e-10
_059678_/B,_059678_/Y,pin,pin,0,2.0896634422840066e-10
_059679_/A,_059679_/X,pin,pin,0,2.966789036662476e-10
_059679_/B,_059679_/X,pin,pin,0,2.647961572233015e-10
_059680_/A,_059680_/Y,pin,pin,0,1.865741311446456e-10
_059680_/B,_059680_/Y,pin,pin,0,1.63747612691445e-10
_059681_/A,_059681_/Y,pin,pin,0,1.6980264416766033e-10
_059682_/A,_059682_/X,pin,pin,0,1.8769520659933647e-10
_059683_/A,_059683_/X,pin,pin,0,2.150203209927426e-10
_059684_/A,_059684_/X,pin,pin,0,2.582593028321867e-10
_059685_/A,_059685_/X,pin,pin,0,1.9716747678977242e-10
_059686_/A,_059686_/X,pin,pin,0,3.632061595926217e-10
_059687_/A,_059687_/X,pin,pin,0,3.0783986471050184e-10
_059688_/A,_059688_/Y,pin,pin,0,2.1874829725376799e-10
_059688_/B,_059688_/Y,pin,pin,0,1.4491750854883634e-10
_059689_/A,_059689_/Y,pin,pin,0,1.509647545860915e-10
_059690_/A,_059690_/Y,pin,pin,0,2.604812199269446e-10
_059690_/B,_059690_/Y,pin,pin,0,3.24508531157619e-10
_059691_/A,_059691_/Y,pin,pin,0,2.512452468295123e-10
