pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
ANTENNA_1/DIODE,253000,354960,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_1,_01217_,1.5327158431333032e-09,1.0000000150474662e+30,1.8052002115354071e-09,1.5214886017744789e-09,8.999999291493615e-16
ANTENNA_10/DIODE,267260,4080,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_10,net120,1.7431948939883313e-10,1.0000000150474662e+30,1.308486874407322e-09,1.3528657083483608e-09,8.999999291493615e-16
ANTENNA_2/DIODE,202860,183600,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_2,_01375_,6.926730855560947e-10,1.0000000150474662e+30,1.1118930220987977e-09,8.26904766881853e-10,8.999999291493615e-16
ANTENNA_3/DIODE,276460,112880,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_3,_01406_,7.509726729360011e-10,1.0000000150474662e+30,2.123307085710735e-09,1.6300026883797614e-09,8.999999291493615e-16
ANTENNA_4/DIODE,367080,191760,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_4,_01668_,2.385638075974583e-10,1.0000000150474662e+30,2.4805411058537175e-09,2.789212416587361e-09,8.999999291493615e-16
ANTENNA_5/DIODE,253920,306000,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_5,_01756_,1.7635878868382804e-10,1.0000000150474662e+30,1.0612333234405469e-09,1.4531519321181463e-09,8.999999291493615e-16
ANTENNA_6/DIODE,255300,311440,0,-1,0,1,0,0.0,1.4999999020659516e-09,2,ANTENNA_6,_01758_,3.868879105972667e-10,1.0000000150474662e+30,6.831608612145601e-10,5.631777821868411e-10,8.999999291493615e-16
ANTENNA_7/DIODE,259900,308720,0,-1,0,1,0,0.0,1.4999999020659516e-09,2,ANTENNA_7,_01758_,3.868805276141529e-10,1.0000000150474662e+30,6.830796484003088e-10,5.631008992423858e-10,8.999999291493615e-16
ANTENNA_8/DIODE,277840,248880,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_8,_02111_,3.209563170791796e-10,1.0000000150474662e+30,2.940707677367982e-09,2.6978097533714163e-09,8.999999291493615e-16
ANTENNA_9/DIODE,358340,360400,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,ANTENNA_9,_04092_,7.151545466932419e-10,1.0000000150474662e+30,2.092885864612981e-09,1.7427228549138363e-09,8.999999291493615e-16
_06213_/A,254620,213710,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06213_,net27,1.63253188745216e-10,1.0000000150474662e+30,1.7626454462682517e-10,1.5341583559091987e-10,4.5380001907385954e-15
_06213_/B_N,256860,213485,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06213_,net28,1.732093218853592e-10,1.0000000150474662e+30,1.8318237204884014e-10,1.5575260525757528e-10,1.4969999735607435e-15
_06213_/Y,255145,214055,0,-1,0,0,1,1.4283199460413815e-13,1.493239976113614e-09,0,_06213_,_01031_,2.9389771172283474e-10,1.0000000150474662e+30,5.180045836716829e-10,3.687105620819864e-10,-1
_06217_/A,254342,205180,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06217_,net26,2.0987755977586176e-10,1.0000000150474662e+30,2.1844652475788706e-10,1.8843684945757389e-10,9.102000057793162e-15
_06217_/B,252227,205180,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06217_,net23,2.8961880116362693e-10,1.0000000150474662e+30,2.6837093658471645e-10,2.1366380886789216e-10,9.12200019974373e-15
_06217_/C_N,246377,205220,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06217_,net1,2.310671237681916e-10,1.0000000150474662e+30,2.3034668616972453e-10,1.934323257124504e-10,2.502999935070113e-15
_06217_/D_N,247225,205200,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06217_,net12,2.1153673257501282e-10,1.0000000150474662e+30,2.16111462059132e-10,1.796652965291301e-10,2.51900017568551e-15
_06217_/Y,250946,204677,0,-1,0,0,1,1.1170400135472949e-13,1.4977500351065487e-09,0,_06217_,_01035_,7.356609210695808e-10,1.0000000150474662e+30,9.75215241894034e-10,4.486572224848828e-10,-1
_06218_/A,255537,208265,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06218_,_01031_,2.9390145872554285e-10,1.0000000150474662e+30,5.188960927604569e-10,3.695518613344717e-10,1.742799935128877e-14
_06218_/B,252177,208255,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06218_,_01035_,7.356625864041177e-10,1.0000000150474662e+30,9.761628172455517e-10,4.495263050685594e-10,1.809600002667961e-14
_06218_/Y,254267,207723,0,-1,0,0,1,9.338480509712976e-13,1.4961178962380473e-09,0,_06218_,_01036_,1.528726450983342e-10,1.0000000150474662e+30,6.28741836372626e-10,1.185250564361695e-09,-1
_06219_/A,371880,191920,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06219_,net29,1.623829959385148e-10,1.0000000150474662e+30,1.6483200915295981e-10,1.5126309926838388e-10,2.466999976020621e-15
_06219_/B,371020,191920,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06219_,_01036_,1.5331458325107405e-10,1.0000000150474662e+30,6.352560699696141e-10,1.191446941106733e-09,2.500999878523409e-15
_06219_/Y,371276,191768,0,-1,0,0,1,8.606999932648379e-14,1.4944788739867931e-09,0,_06219_,net99,9.346646373531442e-11,1.0000000150474662e+30,1.3232948070651673e-09,6.906193950051431e-10,-1
_06228_/A0,158342,246215,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06228_,dp.rf.rf\[12\]\[0\],1.0449749399121799e-10,-6.451368772530941e-09,1.0982695863859249e-09,1.0694707341940557e-09,1.5740000330264877e-15
_06228_/A1,157642,246215,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06228_,dp.rf.rf\[13\]\[0\],1.0298357305815742e-10,-6.465047164283533e-09,1.0972184272262098e-09,1.0690088814158116e-09,1.4800000223093497e-15
_06228_/A2,162735,246155,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06228_,dp.rf.rf\[14\]\[0\],8.765235759433665e-11,-6.434553334599968e-09,1.0793264060282581e-09,1.0555732954387054e-09,1.5099999175978472e-15
_06228_/A3,162242,246155,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06228_,dp.rf.rf\[15\]\[0\],8.869521783694267e-11,-6.422096188174464e-09,1.08020969946665e-09,1.0561153063193274e-09,1.5180000379055457e-15
_06228_/S0,160735,246025,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06228_,net218,5.794750235210699e-10,1.0000000150474662e+30,9.610838791473952e-10,7.488365483254711e-10,4.089000307376826e-15
_06228_/S1,163520,246185,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06228_,net223,5.606868302976409e-10,1.0000000150474662e+30,8.08463684887073e-10,6.361687843181585e-10,2.7439998668052747e-15
_06228_/X,166765,246160,0,-1,0,0,1,1.611430037800829e-13,1.5063559288819306e-09,0,_06228_,_01045_,1.358570894671729e-10,-6.465047164283533e-09,1.4001054760015563e-09,1.6519954293414685e-09,-1
_06230_/A,273400,94025,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06230_,net17,4.546835408181238e-10,1.0000000150474662e+30,3.784801083650535e-10,2.661644793455764e-10,9.107000093280804e-15
_06230_/B_N,277030,94002,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06230_,net16,4.1895198421570967e-10,1.0000000150474662e+30,3.645327928403219e-10,2.708926694072744e-10,2.475999912843435e-15
_06230_/Y,274615,94153,0,-1,0,0,1,2.545270038570996e-13,1.4968259964831532e-09,0,_06230_,_01047_,8.996298705987726e-10,1.0000000150474662e+30,1.1882432815468746e-09,6.542492658745402e-10,-1
_06234_/A_N,216015,137545,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06234_,net17,4.701280476027137e-10,1.0000000150474662e+30,4.043406720555254e-10,2.8934371565370043e-10,2.4790001035426097e-15
_06234_/B,219787,137545,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_06234_,net15,6.421199127970567e-10,1.0000000150474662e+30,5.120488477672325e-10,3.364760414736878e-10,9.31099950829753e-15
_06234_/Y,218454,137040,0,-1,0,0,1,5.218600074644031e-13,1.499102952884357e-09,0,_06234_,_01051_,2.457169467895426e-10,1.0000000150474662e+30,7.651591582558126e-10,7.798636736389142e-10,-1
